N	2gram	Losev_Prob_3	UchenyiS
1	и в	44	14
2	а не	18	10
3	не только	14	10
4	прежде всего	3	8
5	и не	35	8
6	не может	7	7
7	в этом	17	7
8	то что	23	7
9	может быть	28	6
10	в искусстве	4	6
11	то же	13	5
12	и только	6	5
13	художественное произведение	8	5
14	в художественном	3	5
15	все это	5	5
16	хотя бы	3	5
17	перестает быть	1	5
18	с другой	7	4
19	но и	10	4
20	что такое	3	4
21	в их	2	4
22	в этой	3	4
23	то ни	6	3
24	и то	14	3
25	это не	9	3
26	было бы	8	3
27	как и	10	3
28	для этого	6	3
29	в частности	2	3
30	в своей	5	3
31	бы то	4	3
32	произведения искусства	1	3
33	в то	9	3
34	все же	6	3
35	но в	12	3
36	истории литературы	1	3
37	пришлось бы	1	3
38	только к	2	3
39	у нас	10	3
40	другой стороны	5	3
41	для него	3	3
42	не как	1	3
43	ни было	3	3
44	как такового	1	3
45	что все	2	2
46	крайней мере	5	2
47	же не	2	2
48	одним из	1	2
49	и с	9	2
50	художественного произведения	14	2
51	художественном произведении	3	2
52	до сих	2	2
53	а как	2	2
54	это было	2	2
55	самом деле	3	2
56	в буквальном	2	2
57	должна быть	1	2
58	мы не	7	2
59	о чем	2	2
60	является в	2	2
61	если бы	3	2
62	что мы	8	2
63	ничего не	3	2
64	не столько	2	2
65	если не	3	2
66	том что	12	2
67	на первый	4	2
68	но даже	4	2
69	мы и	2	2
70	этого термина	2	2
71	литературы и	2	2
72	ни от	4	2
73	нам представляется	2	2
74	нас в	4	2
75	но не	3	2
76	в сторону	1	2
77	не все	1	2
78	в его	9	2
79	по крайней	5	2
80	по существу	2	2
81	что и	9	2
82	по себе	25	2
83	конце концов	3	2
84	сих пор	2	2
85	но это	8	2
86	могли бы	4	2
87	в том	21	2
88	тех или	5	2
89	это уже	3	2
90	и для	2	2
91	что он	9	2
92	в себе	8	2
93	при таком	2	2
94	формы и	3	2
95	в самом	3	2
96	и у	2	2
97	только в	19	2
98	не в	13	2
99	для всех	1	2
100	и является	4	2
101	как принцип	1	2
102	все они	2	2
103	не есть	35	2
104	или иных	4	2
105	конечно нет	1	2
106	бы и	1	2
107	всех этих	2	2
108	представляется нам	1	2
109	сколько угодно	4	2
110	не могут	1	2
111	метода как	1	2
112	могут быть	2	2
113	в конце	5	2
114	смысле этого	1	2
115	же самое	9	2
116	как раз	8	2
117	тем что	4	2
118	что она	1	2
119	таким образом	9	2
120	даже и	16	2
121	для себя	2	1
122	и это	9	1
123	понимая под	1	1
124	художественным произведением	3	1
125	гораздо больше	2	1
126	об этом	3	1
127	же как	3	1
128	в этот	1	1
129	даже не	2	1
130	свести только	1	1
131	то есть	34	1
132	в виду	10	1
133	сам по	6	1
134	входит в	1	1
135	л толстого	1	1
136	первую очередь	3	1
137	данном случае	7	1
138	или иначе	1	1
139	только при	4	1
140	перестают быть	1	1
141	с самим	3	1
142	было сделать	1	1
143	самыми разнообразными	1	1
144	только более	1	1
145	в пределах	1	1
146	или по	4	1
147	что для	3	1
148	слова а	2	1
149	никогда не	6	1
150	произведение как	1	1
151	так и	10	1
152	и индивидуального	1	1
153	и вы	1	1
154	одной стороны	1	1
155	той же	1	1
156	относится к	1	1
157	отлична от	1	1
158	столько же	2	1
159	до конца	1	1
160	часто бывает	3	1
161	с тем	5	1
162	мы имеем	2	1
163	со своими	1	1
164	именно к	1	1
165	об ее	2	1
166	об искусстве	1	1
167	и даже	14	1
168	остается в	1	1
169	можно сказать	6	1
170	не вполне	1	1
171	или менее	1	1
172	никогда и	1	1
173	стороны в	1	1
174	но использование	1	1
175	произведения как	1	1
176	в порядке	3	1
177	искусства и	2	1
178	как на	2	1
179	о том	6	1
180	является предметом	2	1
181	в ней	5	1
182	и потому	7	1
183	в котором	2	1
184	только для	1	1
185	нужно будет	1	1
186	и что	7	1
187	она в	1	1
188	первый план	2	1
189	все его	1	1
190	быть в	2	1
191	из которых	2	1
192	для первого	1	1
193	как самодовлеющая	1	1
194	было когда	1	1
195	несомненно и	1	1
196	он будет	2	1
197	строго говоря	1	1
198	все в	1	1
199	пушкин и	1	1
200	является только	5	1
201	в той	3	1
202	он может	1	1
203	в данном	9	1
204	этих слов	1	1
205	что же	8	1
206	не то	2	1
207	бы в	2	1
208	переходит в	2	1
209	того что	8	1
210	в которых	3	1
211	поскольку он	1	1
212	более точно	1	1
213	образом на	1	1
214	речи в	1	1
215	произведения в	2	1
216	на его	1	1
217	ней не	1	1
218	это значит	4	1
219	само же	1	1
220	если нет	2	1
221	к проблеме	2	1
222	за пределы	5	1
223	на то	3	1
224	быть не	1	1
225	л толстой	2	1
226	и вся	1	1
227	его как	3	1
228	отнюдь не	10	1
229	она не	3	1
230	для тех	1	1
231	еще раз	1	1
232	этом случае	5	1
233	первый взгляд	2	1
234	независимо от	1	1
235	его на	1	1
236	но тут	2	1
237	в своем	5	1
238	что с	1	1
239	но для	1	1
240	имеет свою	3	1
241	и все	3	1
242	что только	1	1
243	которых она	1	1
244	нельзя сводить	1	1
245	было у	1	1
246	более или	1	1
247	как таковое	1	1
248	и действительно	1	1
249	не существует	1	1
250	впрочем для	1	1
251	которое мы	5	1
252	представляется что	1	1
253	присущей ему	1	1
254	он уже	1	1
255	по мнению	2	1
256	в которой	2	1
257	о котором	1	1
258	больше чем	1	1
259	бы ни	1	1
260	понятие формы	1	1
261	не было	5	1
262	так или	1	1
263	находятся в	3	1
264	таком понимании	1	1
265	он в	2	1
266	это же	3	1
267	тогда когда	1	1
268	с одной	2	1
269	как таковыми	1	1
270	с которыми	2	1
271	в качестве	3	1
272	но именно	2	1
273	без этого	1	1
274	и уточнить	1	1
275	тем более	3	1
276	случае он	1	1
277	в известном	2	1
278	начала и	1	1
279	не ставит	1	1
