N	3gram	Vygotskiy__2	Otkroven
1	для того чтобы	13	3
2	искать не в	2	2
3	это было бы	2	2
4	не может быть	8	2
5	но и в	1	2
6	не могут быть	1	2
7	с тем что	3	2
8	до самого конца	1	2
9	нет ничего кроме	1	2
10	и никогда не	2	2
11	как будто бы	1	1
12	по сравнению с	2	1
13	действующие лица в	1	1
14	не в том	2	1
15	указывали на то	1	1
16	потому что в	1	1
17	том что в	2	1
18	того чтобы сделать	1	1
19	в самом деле	11	1
20	все это было	1	1
21	и в том	2	1
22	и не очень	1	1
23	он не только	1	1
24	все его творчество	1	1
25	о том как	1	1
26	бросается в глаза	1	1
27	и когда он	2	1
28	и не может	2	1
29	во всяком случае	2	1
30	том случае если	4	1
31	сам по себе	4	1
32	он должен был	1	1
33	само по себе	3	1
34	после того как	1	1
35	тем что у	1	1
36	о том что	4	1
37	в этом отношении	5	1
38	и в самом	4	1
39	ли может быть	1	1
40	заключает в себе	2	1
41	и характер его	1	1
42	в том что	17	1
43	на то что	6	1
44	в том случае	4	1
45	и то что	2	1
46	он никогда не	1	1
47	но и тут	1	1
48	не так как	1	1
49	друг с другом	1	1
50	вместо того чтобы	1	1
51	а не только	1	1
52	как и в	2	1
53	от того что	1	1
