N	3gram	Losev_Vesc_1	DiskursI
1	в том что	4	13
2	с одной стороны	3	9
3	по природе своей	1	5
4	о том что	4	5
5	не в том	1	3
6	не может быть	6	3
7	и как бы	1	3
8	в свою очередь	4	3
9	с другой стороны	2	3
10	в то же	1	3
11	по своей природе	1	2
12	мы имеем дело	2	2
13	и того же	1	2
14	и в особенности	1	2
15	подобно тому как	4	2
16	то же самое	1	2
17	а в том	1	2
18	одной стороны и	1	2
19	и не только	4	2
20	тот или иной	1	2
21	сами по себе	3	2
22	в основе своей	2	2
23	по крайней мере	4	2
24	в данном случае	2	2
25	в том чтобы	1	2
26	не только в	4	2
27	более или менее	1	2
28	можно сказать что	3	2
29	одного и того	1	2
30	отнюдь не предполагает	1	1
31	здесь как и	1	1
32	и тому же	1	1
33	ни о чем	1	1
34	дело в том	2	1
35	и даже не	3	1
36	свидетельствует о том	3	1
37	как раз и	1	1
38	о том как	1	1
39	с точки зрения	3	1
40	тому как мы	1	1
41	до сих пор	1	1
42	из них в	1	1
43	сам по себе	3	1
44	имеем дело не	2	1
45	только то что	2	1
46	когда она еще	1	1
47	из того что	2	1
48	в различных областях	1	1
49	не есть она	2	1
50	и что это	1	1
51	вместе с тем	1	1
52	есть она сама	2	1
53	ту или иную	2	1
54	одно и то	4	1
55	уже было сказано	1	1
56	только потому что	1	1
57	что не есть	3	1
58	содержит в себе	4	1
59	дело не с	2	1
60	она еще не	1	1
61	и есть само	1	1
62	один из наиболее	1	1
63	и потому что	1	1
64	как будто бы	1	1
65	суть то что	1	1
66	о чем не	1	1
67	во всяком случае	2	1
68	в новое время	1	1
69	в свое время	2	1
70	как вещь в	2	1
71	она могла бы	2	1
72	в этом отношении	1	1
73	в нем нет	1	1
74	они предстают перед	1	1
75	только в учебниках	1	1
76	от этого зависит	1	1
77	это и есть	1	1
78	прежде всего к	1	1
79	не только потому	1	1
80	не может существовать	1	1
81	к одному и	1	1
82	заключается в том	1	1
83	в своей индивидуальной	1	1
84	если бы я	2	1
85	на то что	2	1
86	предстают перед нами	1	1
87	в результате этого	1	1
88	и то же	4	1
89	тех или иных	1	1
90	тем не менее	3	1
91	в себе не	1	1
92	в том или	1	1
93	одному и тому	1	1
94	что не только	1	1
95	но и к	1	1
