N	3gram	Trubetskoy_1	Hudozhes
1	о том что	4	9
2	по отношению к	1	8
3	в то же	2	8
4	то же время	2	8
5	в том что	3	6
6	в самом деле	1	4
7	в связи с	3	3
8	но в то	1	3
9	в этом отношении	2	3
10	с точки зрения	6	3
11	тем не менее	3	3
12	так или иначе	3	2
13	о том как	1	2
14	в первую очередь	1	2
15	не в том	1	2
16	на то что	2	2
17	речь идет о	1	2
18	так и от	2	2
19	до сих пор	5	2
20	не может быть	1	2
21	к созерцательности и	1	1
22	не только для	2	1
23	с одной стороны	7	1
24	с самого начала	2	1
25	не потому что	1	1
26	так и в	1	1
27	а в том	1	1
28	и потому что	2	1
29	друг с другом	5	1
30	не только от	1	1
31	мы уже говорили	1	1
32	при этом не	1	1
33	и в то	1	1
34	и в этом	2	1
35	не только не	1	1
36	но и для	2	1
37	уже говорили о	1	1
38	еще и потому	1	1
39	заключает в себе	2	1
40	в таком случае	1	1
41	во всяком случае	6	1
42	что все эти	1	1
43	ничего общего с	2	1
44	с тем что	1	1
45	между этими двумя	2	1
46	можно сказать лишь	1	1
47	в первом случае	1	1
48	так и остается	1	1
49	этой точки зрения	2	1
50	могло бы быть	1	1
51	состоит в том	1	1
52	вследствие того что	1	1
53	сих пор еще	2	1
54	в отличие от	1	1
55	более или менее	5	1
56	это главным образом	1	1
57	лишь то что	1	1
58	сами по себе	1	1
59	то же самое	2	1
60	но все же	4	1
61	в конце концов	3	1
62	в данном случае	1	1
63	не исключая и	1	1
64	на пути к	2	1
65	но при этом	1	1
66	как бы в	1	1
67	не может не	1	1
68	до известной степени	1	1
69	он равнодушен к	1	1
70	но и от	1	1
71	в свою очередь	1	1
72	с этой точки	2	1
73	а между тем	1	1
