N	2gram	Losev_Dial_1	SlovoVZh
1	не может	12	16
2	может быть	17	14
3	точки зрения	17	14
4	как бы	11	13
5	и его	1	13
6	таким образом	1	12
7	и в	18	12
8	и не	30	10
9	если бы	12	9
10	так как	11	9
11	прежде всего	10	8
12	сказать что	10	7
13	для нас	1	7
14	в ней	3	6
15	в том	9	6
16	только в	3	6
17	при этом	1	6
18	в нем	16	6
19	все время	1	6
20	должна быть	3	5
21	то же	10	5
22	в виду	5	5
23	можно сказать	6	5
24	отнюдь не	9	5
25	как в	2	5
26	но в	6	5
27	и др	1	5
28	в жизни	1	5
29	а не	14	5
30	как и	2	5
31	что мы	1	5
32	и следовательно	2	5
33	том что	9	5
34	никогда не	9	5
35	хотя бы	6	5
36	то что	13	5
37	мы все	1	4
38	на самом	3	4
39	к нему	8	4
40	в этом	12	4
41	все же	5	4
42	в самом	3	4
43	уже не	2	4
44	не только	13	4
45	ни было	2	4
46	отношение к	5	4
47	от того	1	4
48	так и	9	4
49	с другой	6	4
50	что не	7	4
51	не в	6	4
52	его в	1	4
53	дело в	1	4
54	и является	2	4
55	и к	1	4
56	жизни и	3	4
57	здесь не	1	3
58	самом деле	3	3
59	в котором	4	3
60	ясно что	8	3
61	еще не	2	3
62	мы не	1	3
63	и вообще	4	3
64	о том	4	3
65	но и	7	3
66	между тем	1	3
67	точка зрения	2	3
68	нуждается в	3	3
69	того что	2	3
70	быть и	4	3
71	когда он	1	3
72	и наконец	1	3
73	все эти	2	3
74	только на	3	3
75	конечно не	3	3
76	в себе	11	3
77	в поэзии	1	3
78	да и	6	3
79	для него	2	3
80	не к	1	3
81	и по	1	3
82	и с	5	3
83	точек зрения	3	3
84	до сих	2	3
85	ни в	15	3
86	и пр	5	3
87	в них	3	3
88	и уже	1	3
89	в своей	2	3
90	так же	4	3
91	в такой	1	3
92	тем не	1	3
93	этой точки	2	3
94	и более	4	3
95	из этого	1	3
96	не должна	2	3
97	по себе	25	3
98	сих пор	2	3
99	не менее	2	3
100	все это	11	3
101	но для	1	3
102	и для	2	3
103	бы мы	1	3
104	это как	1	3
105	с ним	6	3
106	или не	5	3
107	отношении к	3	3
108	в каком	8	3
109	значения и	1	2
110	как не	2	2
111	и то	9	2
112	как это	4	2
113	и совершенно	2	2
114	вещи и	2	2
115	по природе	1	2
116	мы имеем	2	2
117	нас и	1	2
118	почти исключительно	1	2
119	не остается	1	2
120	и та	3	2
121	но мы	1	2
122	и что	12	2
123	в чем	6	2
124	но конечно	2	2
125	в данном	3	2
126	в его	3	2
127	что и	3	2
128	следовательно только	1	2
129	относится к	2	2
130	в своем	5	2
131	кроме того	1	2
132	его к	1	2
133	в какой	1	2
134	и потому	3	2
135	и так	2	2
136	бы не	1	2
137	с одной	2	2
138	выражение в	1	2
139	уже в	1	2
140	тому же	2	2
141	в душе	1	2
142	он не	3	2
143	не так	1	2
144	эта последняя	1	2
145	в корне	2	2
146	к ним	2	2
147	мы можем	4	2
148	но что	3	2
149	одно и	4	2
150	но все	3	2
151	выражение и	1	2
152	в особенности	5	2
153	на примере	1	2
154	рождается из	2	2
155	с другими	2	2
156	это не	9	2
157	до известной	1	2
158	форму и	2	2
159	как же	5	2
160	оно не	1	2
161	одной стороны	2	2
162	можем сказать	2	2
163	зависит от	1	2
164	другой стороны	4	2
165	его как	1	2
166	была бы	3	2
167	там где	1	2
168	смысл и	4	2
169	имеет место	1	2
170	ни на	6	2
171	вместе с	1	2
172	можно найти	2	2
173	в отношении	5	2
174	к его	1	2
175	но не	4	2
176	общего с	5	2
177	место в	1	2
178	точку зрения	3	2
179	быть только	1	2
180	с этой	2	2
181	она не	6	2
182	еще раз	1	2
183	с точки	12	2
184	такой же	2	2
185	этой стороны	2	2
186	в то	6	2
187	и притом	4	2
188	известной степени	1	2
189	ясность и	1	2
190	ничего не	17	2
191	этих двух	1	2
192	и все	3	2
193	все они	1	2
194	в этих	5	2
195	есть уже	1	2
196	но это	8	2
197	между ними	1	2
198	стороны и	3	2
199	им не	1	2
200	могут быть	3	2
201	как только	2	2
202	же самое	1	2
203	на это	1	2
204	что в	13	2
205	бы даже	1	2
206	и другие	1	2
207	не есть	40	2
208	к этому	2	2
209	если же	1	2
210	а между	1	1
211	и это	2	1
212	ни его	1	1
213	закономерности но	2	1
214	например в	1	1
215	же как	2	1
216	как мы	4	1
217	вещами и	1	1
218	и о	3	1
219	чтобы не	2	1
220	с жизнью	1	1
221	даже наиболее	1	1
222	сам по	6	1
223	друг о	1	1
224	миром и	1	1
225	при чтении	1	1
226	ее до	1	1
227	это и	4	1
228	характер и	1	1
229	показать что	1	1
230	бы действительно	1	1
231	тем же	1	1
232	только то	4	1
233	с самого	1	1
234	зрения не	1	1
235	то время	1	1
236	по преимуществу	1	1
237	идет речь	2	1
238	проникает в	1	1
239	однако эта	1	1
240	и больше	2	1
241	не стремится	1	1
242	можно было	5	1
243	мы уже	1	1
244	и интересно	1	1
245	отличная от	1	1
246	часто в	1	1
247	жизнь и	3	1
248	та же	3	1
249	что уже	2	1
250	же просто	1	1
251	на что	2	1
252	для этого	2	1
253	к другу	2	1
254	он как	1	1
255	же форма	1	1
256	на себя	1	1
257	и он	5	1
258	итак всякая	1	1
259	им она	1	1
260	в субъективизме	1	1
261	но при	1	1
262	не нужно	2	1
263	на их	1	1
264	столь же	1	1
265	так если	1	1
266	во всех	1	1
267	положения и	1	1
268	то мы	2	1
269	все в	1	1
270	не требует	1	1
271	друг к	2	1
272	этого бытия	1	1
273	то в	7	1
274	самый принцип	1	1
275	коем случае	1	1
276	формы как	1	1
277	менее всего	1	1
278	себе и	2	1
279	явлениями и	1	1
280	крайней мере	4	1
281	и можно	1	1
282	что они	3	1
283	именно в	2	1
284	сама по	8	1
285	каково бы	1	1
286	или может	1	1
287	не входят	1	1
288	если она	3	1
289	что именно	2	1
290	не зная	2	1
291	в современной	2	1
292	и следа	1	1
293	что здесь	2	1
294	как например	2	1
295	перед нами	1	1
296	кто не	1	1
297	в новой	1	1
298	хотя и	4	1
299	месяц и	1	1
300	мы увидим	2	1
301	ли он	1	1
302	более или	3	1
303	себе не	5	1
304	следующим образом	1	1
305	бы показать	1	1
306	пор не	1	1
307	как нечто	1	1
308	о самом	2	1
309	что это	11	1
310	формы в	1	1
311	если мы	2	1
312	не то	6	1
313	себя в	1	1
314	думать что	3	1
315	это ни	1	1
316	в вещи	1	1
317	есть в	1	1
318	мере два	1	1
319	не можем	1	1
320	дальше и	2	1
321	и теоретическая	1	1
322	в виде	2	1
323	что она	7	1
324	при помощи	1	1
325	зрительный образ	1	1
326	на одну	1	1
327	себе в	1	1
328	и их	2	1
329	для другой	1	1
330	всяком случае	2	1
331	не как	2	1
332	и вот	6	1
333	вовсе не	7	1
334	ничего общего	4	1
335	относится не	1	1
336	можно с	1	1
337	чувства в	1	1
338	у него	1	1
339	из нее	1	1
340	она будет	1	1
341	кто же	1	1
342	на этом	2	1
343	природой и	1	1
344	есть выражение	1	1
345	или иных	1	1
346	мы берем	1	1
347	не бывает	1	1
348	самом же	1	1
349	даже и	3	1
350	бы они	1	1
351	бы это	1	1
352	здесь мы	1	1
353	и только	1	1
354	что все	1	1
