N	2gram	Potebnia_M_4	Tragedij
1	и в	23	18
2	в этом	23	9
3	не только	10	8
4	он сам	1	7
5	и с	4	7
6	и на	3	7
7	может быть	26	7
8	как бы	5	7
9	и не	18	7
10	но в	8	6
11	и его	2	6
12	в образе	2	6
13	же время	3	6
14	что он	4	6
15	у него	1	6
16	то же	14	5
17	все же	1	5
18	что это	7	5
19	это не	7	5
20	как и	14	5
21	в то	4	5
22	так и	6	5
23	не может	11	5
24	я не	2	4
25	еще не	3	4
26	в себе	14	4
27	в этой	1	4
28	в нем	7	4
29	об этом	2	4
30	том что	12	4
31	что я	11	4
32	и что	7	4
33	но и	11	4
34	и даже	2	4
35	прежде всего	1	4
36	так же	4	4
37	но это	3	4
38	все это	5	4
39	этот образ	2	4
40	что в	17	4
41	и все	4	4
42	то что	29	4
43	в мире	2	3
44	своего рода	1	3
45	как в	7	3
46	в своем	8	3
47	и как	2	3
48	все эти	3	3
49	при этом	15	3
50	то есть	34	3
51	должно быть	5	3
52	тем самым	4	3
53	что с	1	3
54	и сам	1	3
55	с ним	5	3
56	к нему	5	3
57	в его	5	3
58	один из	2	3
59	уже в	5	3
60	для него	5	3
61	никто не	2	3
62	как будто	1	3
63	как это	1	3
64	если б	4	2
65	вряд ли	1	2
66	в первом	3	2
67	и до	3	2
68	что эти	3	2
69	и за	1	2
70	а как	2	2
71	никогда не	3	2
72	и то	5	2
73	не был	1	2
74	столь же	2	2
75	отношение к	2	2
76	отличие от	1	2
77	так что	5	2
78	и я	2	2
79	как говорит	1	2
80	перед нами	1	2
81	имеет в	2	2
82	в самом	3	2
83	бы и	5	2
84	то и	4	2
85	и лучше	1	2
86	он не	2	2
87	что же?	1	2
88	что она	2	2
89	ее жизни	1	2
90	но все	1	2
91	что все	4	2
92	его в	4	2
93	в глазах	2	2
94	в это	2	2
95	нет в	1	2
96	с тем	7	2
97	не мог	1	2
98	я увидел	1	2
99	вопрос о	2	2
100	одном из	2	2
101	но эта	2	2
102	не в	11	2
103	что этот	1	2
104	человека перед	1	2
105	но они	1	2
106	не имеет	5	2
107	не могут	2	2
108	к тому	3	2
109	и это	2	2
110	но при	1	2
111	в ее	2	2
112	данном случае	2	2
113	как у	1	2
114	а что	2	2
115	ничего не	1	2
116	и здесь	2	2
117	о том	8	2
118	в глаза	1	2
119	теперь и	1	2
120	времени в	1	2
121	что и	7	2
122	в том	23	2
123	по мнению	1	2
124	между этими	1	2
125	на всем	1	2
126	уже не	3	2
