1	и т п	5	9
2	в большинстве случаев	1	8
3	до сих пор	2	7
4	сам по себе	1	5
5	по отношению к	3	5
6	в то же	4	5
7	то же время	4	5
8	в отличие от	1	4
9	и т д	4	4
10	можно было бы	1	3
11	к тому же	5	3
12	более или менее	1	3
13	как и в	2	3
14	с другой стороны	5	3
15	это вовсе не	1	2
16	но при этом	1	2
17	тем не менее	1	2
18	друг от друга	1	2
19	том что он	4	2
20	в отношении к	1	2
21	хотя и не	1	2
22	для своих целей	1	2
23	то время как	4	2
24	в то время	5	2
25	в конце концов	4	2
26	ни в одном	1	2
27	на то что	2	2
28	но и в	2	1
29	то же самое	2	1
30	мы не только	1	1
31	в том числе	1	1
32	почти каждый из	1	1
33	не мог бы	1	1
34	как один из	1	1
35	в книге об	1	1
36	то ни было	2	1
37	до конца и	1	1
38	при всех возможных	1	1
39	и каждый из	1	1
40	сплошь да рядом	1	1
41	большей или меньшей	1	1
42	же как и	1	1
43	о которых мы	1	1
44	где он с	1	1
45	в другом случае	1	1
46	в значительной степени	1	1
47	что в рамках	1	1
48	т п в	1	1
49	в одном из	4	1
50	в его творчестве	1	1
51	всего его творчества	1	1
52	не только их	1	1
53	смысле этого слова	1	1
54	и в их	1	1
55	на этот раз	1	1
56	между тем с	1	1
57	мы не найдем	1	1
58	в том что	9	1
59	а может быть	1	1
60	у него не	1	1
61	а между тем	1	1
62	как мы уже	1	1
63	т е в	2	1
64	каждый из них	2	1
65	этого слова с	1	1
66	того типа который	1	1
67	с одной стороны	3	1
68	этой точки зрения	1	1
69	но прежде всего	1	1
70	и в том	1	1
71	бы то ни	2	1
72	о том что	3	1
73	во множественном числе	1	1
74	может быть даже	2	1
75	ставит нас перед	1	1
76	что он не	1	1
77	во всяком случае	2	1
78	после того как	3	1
79	в том же	1	1
80	чтобы не сказать	1	1
81	в той же	1	1
82	так или иначе	1	1
