N	3gram	Medvedev_U_1	Analitik
1	в том что	2	6
2	в данном случае	1	5
3	с одной стороны	1	4
4	в этом случае	1	4
5	в этом отношении	2	3
6	по крайней мере	2	3
7	в этом смысле	2	2
8	в то же	3	2
9	и то что	2	2
10	тех или иных	2	2
11	с другой стороны	3	2
12	на то что	1	2
13	не только в	1	2
14	в конечном счете	4	2
15	то же время	3	2
16	а не только	1	2
17	так или иначе	1	1
18	хотя бы и	2	1
19	бы это было	1	1
20	в первую очередь	1	1
21	по его собственному	1	1
22	в противном случае	2	1
23	а между тем	2	1
24	и т.д в	1	1
25	еще ничего не	2	1
26	то же самое	2	1
27	можно сказать что	1	1
28	же самое что	1	1
29	они относятся к	1	1
30	более или менее	1	1
31	нам представляется что	1	1
32	в самом деле	2	1
33	не случайно и	1	1
34	друг с другом	1	1
35	то что все	1	1
36	не может быть	4	1
