N	3gram	Berdyaev_M_2	Sovremen
1	с точки зрения	1	5
2	не может быть	8	4
3	может быть и	2	2
4	так как он	2	2
5	что иное как	3	1
6	и в этом	3	1
7	и не было	1	1
8	и есть не	1	1
9	и в новых	1	1
10	одни и те	1	1
11	он уже не	1	1
12	в этом направлении	1	1
13	по отношению к	2	1
14	одна и та	2	1
15	на самом деле	1	1
16	как и во	2	1
17	и той же	2	1
18	так же как	3	1
19	а не только	1	1
20	до сих пор	3	1
21	есть не что	3	1
22	друг на друга	1	1
23	и та же	2	1
24	а может быть	1	1
25	и те же	2	1
26	той или иной	1	1
27	был прежде всего	1	1
28	одной и той	2	1
29	не что иное	3	1
30	со всеми его	1	1
31	в том что	2	1
32	может не быть	1	1
33	она не может	1	1
