N	2gram	Potebnia_M_4	Psycholo
1	то что	29	37
2	и в	23	30
3	в том	23	27
4	что в	17	24
5	и что	7	23
6	потому что	33	23
7	том что	12	21
8	того чтобы	4	20
9	таким образом	24	20
10	для того	6	20
11	как бы	5	19
12	на то	7	17
13	что он	4	17
14	не только	10	16
15	и мы	5	16
16	если мы	2	16
17	в этом	23	14
18	в самом	3	14
19	то есть	34	13
20	в нас	3	13
21	так же	4	13
22	показать что	1	12
23	в сущности	2	12
24	с одной	1	12
25	одной стороны	1	12
26	вместе с	6	12
27	может быть	26	11
28	если бы	13	11
29	что мы	10	11
30	как на	1	11
31	о том	8	10
32	и то	5	9
33	никогда не	3	9
34	увидим что	1	9
35	и когда	2	9
36	так как	14	9
37	с другой	2	9
38	не может	11	9
39	сказать что	8	9
40	самом деле	3	8
41	мы имеем	4	8
42	на деле	2	8
43	что это	7	8
44	при этом	15	8
45	заключается в	1	8
46	с тем	7	8
47	не в	11	8
48	к тому	3	8
49	и это	2	8
50	тому что	2	8
51	того что	14	8
52	мы видим	2	8
53	а не	12	8
54	могут быть	7	8
55	и т	7	7
56	то же	14	7
57	зависимости от	1	7
58	но не	1	7
59	все же	1	7
60	и как	2	7
61	в нем	7	7
62	точки зрения	4	7
63	по себе	11	7
64	этих двух	1	7
65	мы можем	10	7
66	как это	1	7
67	мы уже	3	6
68	что если	6	6
69	в своем	8	6
70	и если	3	6
71	что она	2	6
72	на этом	1	6
73	что все	4	6
74	ясно что	1	6
75	как и	14	6
76	что с	1	6
77	и его	2	6
78	как будто	1	6
79	когда мы	6	6
80	или в	1	6
81	и здесь	2	6
82	о котором	1	6
83	по мнению	1	6
84	и тем	4	6
85	уже в	5	6
86	тем что	10	6
87	но и	11	6
88	именно в	3	6
89	и не	18	6
90	и для	2	6
91	жизни и	1	6
92	в искусстве	3	6
93	и есть	3	5
94	еще не	3	5
95	по этому	1	5
96	в себе	14	5
97	в этой	1	5
98	было бы	8	5
99	рядом с	1	5
100	во внимание	1	5
101	сих пор	4	5
102	стоит только	1	5
103	с и	2	5
104	только не	3	5
