N	2gram	Savitsky_P_1	Narrotol
1	не только	17	31
2	но и	6	27
3	и не	12	23
4	может быть	5	15
5	в качестве	9	14
6	в частности	2	14
7	как и	1	13
8	а не	2	13
9	а в	4	13
10	в этом	10	12
11	только в	7	12
12	и в	14	11
13	в данном	1	11
14	во времени	1	9
15	то что	4	9
16	то же	9	8
17	представляет собой	1	8
18	не может	4	8
19	в том	9	8
20	со стороны	2	8
21	но в	9	7
22	том что	4	7
23	если бы	4	7
24	в самом	1	6
25	не в	5	6
26	в этой	1	6
27	в себе	3	6
28	в его	2	6
29	как бы	4	6
30	как раз	2	6
31	а также	4	6
32	и на	1	5
33	точки зрения	3	5
34	тем самым	3	5
35	потому что	3	5
36	столь же	3	5
37	на себя	1	4
38	еще не	1	4
39	с его	1	4
40	но не	3	4
41	все же	1	4
42	хотя и	3	4
43	из этих	1	4
44	в нем	3	4
45	в мире	2	4
46	из них	2	4
47	по себе	4	4
48	и тем	2	4
49	в то	7	4
50	одна из	2	4
51	того чтобы	1	4
52	никогда не	1	4
53	в ней	6	4
54	же время	7	4
55	того что	2	4
56	или иной	1	4
57	прежде всего	3	4
58	и конца	1	4
59	как известно	1	3
60	также и	1	3
61	и то	1	3
62	мы не	3	3
63	но как	1	3
64	в своем	4	3
65	и как	3	3
66	к чему	2	3
67	для того	3	3
68	и с	2	3
69	это не	3	3
70	начала и	2	3
71	в жизни	2	3
72	в современной	1	3
73	в ходе	1	3
74	и ее	1	3
75	не менее	2	3
76	в русской	4	3
77	и о	5	3
78	еще в	1	3
79	когда в	1	3
80	сводится к	3	3
81	между тем	3	3
82	представляют собой	1	3
83	именно в	2	3
84	не было	2	3
85	в начале	2	3
86	но для	1	3
87	что в	4	3
88	в сфере	2	2
89	и через	1	2
90	переход от	2	2
91	тем же	1	2
92	не вполне	1	2
93	если в	2	2
94	отличие от	1	2
95	в е	2	2
96	отнюдь не	2	2
97	в известном	1	2
98	на две	1	2
99	на то	1	2
100	не могла	1	2
101	и еще	1	2
102	и вот	2	2
103	заключает в	2	2
104	одно и	1	2
105	и иных	1	2
106	для них	2	2
107	в этих	1	2
108	в отличие	1	2
109	того кто	1	2
110	она не	1	2
111	не имеет	1	2
112	казалось бы	1	2
113	этих двух	1	2
114	как она	1	2
115	в смене	1	2
116	к жизни	1	2
117	ли не	1	2
118	с ее	1	2
119	происходит и	1	2
120	другой стороны	1	2
121	в пределах	8	2
122	особенно в	1	2
123	точек зрения	2	2
124	историю в	1	2
125	никак не	2	2
126	внутреннего зрения	1	2
127	с другой	5	2
128	и только	1	2
129	же в	4	2
130	известном смысле	1	2
131	с ними	3	2
132	всяком случае	1	2
133	себя в	1	2
134	только на	1	2
135	сами по	3	2
136	к ним	1	2
137	не о	2	2
138	друг друга	1	2
139	мы можем	1	2
140	каждый из	1	2
141	при отсутствии	1	2
142	где в	2	2
143	в области	11	2
144	в результате	1	2
145	было и	1	2
146	и притом	1	2
147	что не	1	2
148	что мы	3	2
149	происходящего в	1	2
150	вместе с	1	2
151	да и	2	2
152	она может	1	2
153	или иным	1	2
154	сливаются в	1	2
155	хотя бы	8	2
156	только что	1	2
157	исключительно в	2	2
158	но возможно	1	2
159	во всяком	1	2
160	и т	3	1
161	же как	1	1
162	и есть	2	1
163	выражается в	1	1
164	и утверждается	1	1
165	из всех	1	1
166	например в	2	1
167	от первой	1	1
168	этом не	1	1
169	невозможно ни	1	1
170	от церкви	1	1
171	слова о	1	1
172	в некотором	1	1
173	мы и	1	1
174	последней в	1	1
175	он был	1	1
176	в различных	1	1
177	бы она	1	1
178	и главное	1	1
179	различия между	1	1
180	первой половины	4	1
181	не все	1	1
182	и я	1	1
183	что именно	1	1
184	с этим	2	1
185	утверждается возможность	1	1
186	человеческого бытия	1	1
187	не два	1	1
188	и к	4	1
189	существования при	1	1
190	в которой	1	1
191	что это	1	1
192	во многих	1	1
193	на территории	1	1
194	мы именуем	1	1
195	мира но	1	1
196	но на	1	1
197	главным образом	2	1
198	т д	1	1
199	в реальной	1	1
200	не как	1	1
201	в силу	2	1
202	друг с	1	1
203	какой бы	1	1
204	и по	1	1
205	ее по	1	1
206	его в	1	1
207	сознания к	1	1
208	например с	1	1
209	видения в	1	1
210	на свои	1	1
