N	3gram	Berdyaev_M_2	Problemy
1	с точки зрения	1	9
2	до сих пор	3	8
3	не может быть	8	8
4	по отношению к	2	5
5	как и все	1	4
6	в романах достоевского	1	4
7	с самим собою	2	3
8	сам по себе	1	3
9	преступления и наказания	1	3
10	к одному знаменателю	1	3
11	как и в	2	3
12	а следовательно и	1	2
13	по своей природе	1	2
14	и в словах	1	2
15	преступлении и наказании	1	2
16	но и в	1	2
17	в том что	2	2
18	друг на друга	1	2
19	о том что	2	2
20	сих пор не	1	2
21	в преступлении и	1	2
22	той или иной	1	2
23	к настасье филипповне	2	2
24	в братьях карамазовых	2	2
25	в отношении к	2	2
26	сама по себе	1	2
27	в конце романа	1	2
28	во всех его	1	2
29	мы увидим что	2	2
30	в последний раз	1	2
31	с самим собой	1	2
32	а не к	1	1
33	по замыслу достоевского	1	1
34	прежде всего как	1	1
35	у достоевского почти	1	1
36	и к нему	1	1
37	том что все	1	1
38	ивана карамазова в	1	1
39	также и в	2	1
40	том что он	1	1
41	а между тем	1	1
42	мышкина и рогожина	2	1
43	же как и	3	1
44	действие романа начинается	1	1
45	и во многих	1	1
46	не могли быть	1	1
47	и там и	6	1
48	он сам по	1	1
49	в свою противоположность	2	1
50	иван карамазов не	1	1
51	между тем как	1	1
52	а может быть	1	1
53	в себе и	1	1
54	у достоевского и	1	1
55	в письме к	1	1
56	до конца принять	1	1
57	он остается в	1	1
58	может быть и	2	1
59	ибо и в	1	1
60	его жизнь в	1	1
61	в значительной степени	1	1
62	перейти в свою	1	1
63	так же как	3	1
64	все творчество достоевского	2	1
65	как в сне	1	1
66	в конце концов	1	1
67	у нее нет	1	1
68	сне смешного человека	2	1
69	в xx веке	1	1
70	по сравнению с	1	1
71	и в нем	1	1
72	с ним как	1	1
73	в xix веке	1	1
74	ни на что	1	1
75	потому что она	3	1
76	он уже не	1	1
77	что у достоевского	1	1
78	знать друг друга	1	1
79	как бы не	1	1
80	в этом он	2	1
81	в сне смешного	2	1
82	берет на себя	1	1
83	и он сам	1	1
84	своей духовной жизни	1	1
85	он не принимает	1	1
86	жизни в этом	1	1
87	и не знает	1	1
88	природа человека и	1	1
89	он никогда не	1	1
90	ставрогин иван карамазов	1	1
91	если бы не	1	1
92	может быть лишь	2	1
93	после того как	2	1
94	есть прежде всего	5	1
95	никогда не бывает	2	1
96	и во всем	1	1
97	к тому что	3	1
98	его отношения к	1	1
99	творчестве достоевского но	1	1
100	в высшей степени	3	1
