N	3gram	Ircho_Kome_1	Hudozhes
1	о том что	3	9
2	и т п	5	8
3	то же время	4	8
4	по отношению к	3	8
5	в то же	4	8
6	в том что	9	6
7	можно было бы	1	4
8	к тому что	1	4
9	в этом отношении	3	3
10	тем не менее	1	3
11	как и в	2	3
12	и т д	4	3
13	том что в	1	2
14	мы уже знаем	1	2
15	что же касается	1	2
16	что он не	1	2
17	в первую очередь	2	2
18	до сих пор	2	2
19	в первой половине	2	2
20	не только в	1	2
21	в значительной степени	1	2
22	так или иначе	1	2
23	что у него	1	2
24	речь идет о	3	2
25	на то что	2	2
26	во второй половине	2	2
27	на то чтобы	1	2
28	не означает что	1	1
29	и в конце	1	1
30	как мы помним	1	1
31	а между тем	1	1
32	в чем не	1	1
33	из поля зрения	1	1
34	в следующем году	1	1
35	состоит в том	1	1
36	как было сказано	1	1
37	но при этом	1	1
38	том что он	4	1
39	то же самое	2	1
40	же как и	1	1
41	с самого начала	1	1
42	более или менее	1	1
43	в отличие от	1	1
44	случайно именно в	1	1
45	ничего не знаем	1	1
46	не случайно именно	1	1
47	каждый из них	2	1
48	с этой точки	1	1
49	непосредственное участие в	1	1
50	в это время	1	1
51	первой из них	1	1
52	именно в этой	1	1
53	мы узнаем о	1	1
54	в высшей степени	1	1
55	в самую суть	1	1
56	по своему происхождению	1	1
57	в конце концов	4	1
58	во всяком случае	2	1
59	в стороне от	1	1
60	в данном случае	1	1
61	ни в чем	1	1
62	как будто бы	1	1
63	именно в это	1	1
64	этой точки зрения	1	1
65	едва ли можно	1	1
66	во времени и	1	1
67	друг от друга	1	1
68	с одной стороны	3	1
69	же как мы	1	1
70	не вызывает сомнений	1	1
71	в ответ на	1	1
72	между тем не	1	1
73	и каждый из	1	1
