1	в том что	6	11
2	о том что	5	7
3	по отношению к	1	7
4	к тому что	1	4
5	в то же	13	4
6	на наш взгляд	1	4
7	то же время	12	4
8	но при этом	1	3
9	тем не менее	2	3
10	том что в	2	3
11	в соответствии с	3	3
12	с одной стороны	1	3
13	в конечном счете	4	3
14	как и в	1	3
15	до сих пор	1	2
16	не только в	2	2
17	хотя бы и	1	2
18	в этой связи	2	2
19	и т п	2	2
20	то же самое	1	2
21	в финале рассказа	1	2
22	и в то	2	2
23	и т д	1	2
24	к тому же	1	2
25	дело не только	1	2
26	отставного коллежского асессора	1	2
27	в данном случае	2	2
28	не только для	1	1
29	и его и	1	1
30	не обладает никакой	1	1
31	дело в том	3	1
32	у него в	1	1
33	о свободе воли	2	1
34	все более и	1	1
35	мы узнаем что	1	1
36	один ряд с	1	1
37	в художественном мире	1	1
38	да и в	1	1
39	в один ряд	1	1
40	он вовсе не	1	1
41	том что после	1	1
42	а кто же	1	1
43	заключается в том	1	1
44	для него было	1	1
45	я не могу	1	1
46	совершенно иного рода	1	1
47	же самое время	1	1
48	с самим собой	1	1
49	это уже не	2	1
50	мысли и чувства	1	1
51	не то что	1	1
52	и в других	1	1
53	с его лица	2	1
54	м м бахтина	1	1
55	и все же	3	1
56	что он не	1	1
57	с самого начала	3	1
58	человека и его	2	1
59	можно сказать что	2	1
60	по сути дела	3	1
61	была одной из	1	1
62	и в самом	1	1
63	более и более	1	1
64	бы то ни	1	1
65	точно так же	2	1
66	страх перед жизнью	1	1
67	с другой стороны	1	1
68	внешнего и внутреннего	1	1
69	жизни и с	1	1
70	то и другое	1	1
71	это не означает	2	1
72	принципиально важно для	1	1
73	при этом он	2	1
74	в настоящее время	1	1
75	все та же	1	1
76	героя делает его	1	1
