N	3gram	Propp_Morf_1	Literetu
1	в е годы	1	8
2	в этом отношении	1	5
3	по отношению к	4	4
4	в данном случае	1	4
5	с одной стороны	1	4
6	о том что	1	4
7	в том что	3	4
8	с точки зрения	2	3
9	не может быть	9	3
10	состоит в том	2	2
11	подобно тому как	5	2
12	какого бы то	1	2
13	бы то ни	3	2
14	то ни было	2	2
15	с другой стороны	4	2
16	а и в	1	2
17	на то что	2	2
18	это уже не	1	1
19	хотя и не	1	1
20	уже не может	1	1
21	начинается с того	2	1
22	на самом деле	4	1
23	на свое место	1	1
24	о том как	1	1
25	и там где	1	1
26	так как мы	1	1
27	со всеми другими	1	1
28	то что в	2	1
29	но это не	1	1
30	с тех пор	1	1
31	и тем не	1	1
32	и не всегда	1	1
33	который может быть	1	1
34	там где есть	1	1
35	другой стороны у	1	1
36	на первый взгляд	3	1
37	в связи с	8	1
38	для того чтобы	2	1
39	на вопрос что	1	1
40	что несмотря на	1	1
41	более или менее	2	1
42	которое может быть	2	1
43	с того что	2	1
44	по собственному усмотрению	1	1
45	к тому что	3	1
46	тем не менее	4	1
