N	3gram	Potebnia_M_3	StatiiOP
1	в том что	16	16
2	о том что	1	11
3	в этом отношении	2	9
4	и т д	3	6
5	том что он	2	5
6	до сих пор	3	5
7	вместе с тем	4	5
8	для того чтобы	3	5
9	к тому что	2	5
10	что он не	3	4
11	после того как	1	4
12	и т п	2	3
13	с другой стороны	4	3
14	только потому что	2	2
15	не только по	3	2
16	в том же	2	2
17	но все это	1	2
18	сами по себе	1	2
19	нет сомнения что	1	2
20	не в том	5	2
21	в этих словах	1	2
22	для него самого	1	2
23	более или менее	3	2
24	но и с	1	2
25	так и в	2	2
26	не только не	2	2
27	в самом деле	1	2
28	на то что	1	2
29	за то что	1	2
30	по этому поводу	1	2
31	в том смысле	3	2
32	тем не менее	3	2
33	или лучше сказать	2	2
34	к тому же	1	2
35	том что она	1	1
36	не нуждаются в	1	1
37	а между тем	2	1
38	того что и	1	1
39	и теперь еще	1	1
40	есть нечто совершенно	1	1
41	там где нет	1	1
42	одним и тем	3	1
43	не говоря уже	1	1
44	на самом деле	1	1
45	но и по	2	1
46	при таких условиях	1	1
47	так что в	1	1
48	каждого из них	1	1
49	и как он	1	1
50	должно было быть	1	1
51	между тем в	1	1
52	но столь же	1	1
53	сам по себе	5	1
54	эти слова имеют	1	1
55	не следует однако	2	1
56	говоря уже о	1	1
57	одно и то	5	1
58	уже на первом	1	1
59	том что слово	1	1
60	в чем же	1	1
61	в данном случае	1	1
62	и тем же	3	1
63	том смысле что	1	1
64	потому что оно	2	1
65	и то же	5	1
66	те или другие	1	1
67	мы видели выше	1	1
68	в котором была	1	1
69	так или иначе	1	1
70	но вместе с	2	1
71	так и на	1	1
72	в том самом	1	1
73	и в том	2	1
74	тем что в	1	1
75	потому что они	1	1
76	в свое время	1	1
77	при некотором внимании	1	1
78	та что в	1	1
79	по отношению к	5	1
80	то же время	5	1
81	уже потому что	1	1
82	заключается в том	1	1
83	в то время	4	1
84	в том чтобы	2	1
85	имея в виду	1	1
86	в свою очередь	3	1
87	что мне представляется	1	1
88	ничего общего с	1	1
89	таких условиях и	1	1
90	в связь с	1	1
91	как бы ни	2	1
92	в то же	5	1
93	него самого и	1	1
94	таким образом в	1	1
95	что в ней	2	1
96	как мы видели	1	1
