N	2gram	Propp_Russ_1	Myslijsy
1	потому что	10	49
2	для нас	6	31
3	то есть	3	30
4	и в	36	24
5	может быть	8	23
6	то что	6	20
7	и не	6	19
8	в том	17	18
9	а не	2	18
10	что в	19	16
11	не только	22	15
12	того же	1	14
13	при этом	6	13
14	было бы	1	13
15	то же	3	12
16	но не	2	12
17	мы можем	2	12
18	не может	4	12
19	мы не	6	11
20	таким образом	6	11
21	вместе с	10	11
22	если бы	1	11
23	что и	7	11
24	что мы	1	11
25	только в	4	11
26	тогда как	2	10
27	как в	5	10
28	в себе	1	10
29	тогда когда	1	10
30	так что	2	10
31	так как	15	10
32	независимо от	2	9
33	в нем	2	9
34	то и	1	9
35	но и	16	9
36	как бы	5	9
37	точно так	1	9
38	и на	10	8
39	а только	1	8
40	в этом	12	8
41	том что	19	8
42	в одно	1	8
43	могут быть	2	8
44	под влиянием	1	8
45	а в	9	8
46	в чем	1	7
47	во всех	4	7
48	с этим	2	7
49	как и	10	7
50	всяком случае	1	7
51	того как	5	7
52	не могут	1	7
53	быть может	1	7
54	тем что	4	7
55	того что	4	7
56	во всяком	1	7
57	и т	10	6
58	между двумя	2	6
59	что если	1	6
60	и как	2	6
61	и того	1	6
62	одного и	1	6
63	тем не	3	6
64	в то	1	6
65	не имеет	6	6
66	связи с	4	6
67	свою очередь	2	6
68	между тем	7	6
69	на другие	2	6
70	не можем	3	6
71	в одном	3	6
72	заметить что	1	6
73	не было	2	6
74	этого слова	3	6
75	в свою	3	6
76	только как	1	6
77	по поводу	1	6
78	воспоминание о	1	5
79	а и	5	5
80	что они	7	5
81	все же	5	5
82	уже в	1	5
83	на то	1	5
84	не менее	3	5
85	и наоборот	1	5
86	с ним	2	5
87	судя по	2	5
88	так и	7	5
89	по мере	1	5
90	о том	8	5
91	тот же	1	5
92	бы ни	1	5
93	слова в	3	5
94	из них	8	5
95	от того	1	5
96	в них	6	5
97	что не	1	5
98	и их	4	5
99	только для	2	5
100	или не	1	5
101	же в	1	5
102	в которой	1	5
103	к другому	2	4
104	еще не	4	4
105	но в	2	4
106	уже не	6	4
107	из этих	4	4
108	как он	2	4
109	главным образом	2	4
110	одно целое	1	4
111	с тем	8	4
112	такой же	2	4
113	место в	1	4
114	одном из	1	4
115	между прочим	2	4
116	они не	1	4
117	подобно тому	1	4
118	одна из	4	4
119	должны быть	1	4
120	и сами	1	4
121	в некоторых	4	4
122	то время	1	4
123	так в	4	4
124	без сомнения	1	4
125	и что	4	4
126	что он	1	4
127	в других	11	4
128	влияние на	1	4
129	там где	2	4
130	если не	1	4
131	с а	1	4
132	тому как	1	4
133	от него	1	4
134	во время	14	4
135	в таком	1	4
136	говоря о	1	3
137	например в	2	3
138	но тем	2	3
139	тем же	1	3
140	с таким	1	3
141	полагает что	6	3
142	но она	2	3
143	но даже	2	3
144	не совсем	4	3
145	же что	1	3
146	только тогда	1	3
147	если в	3	3
148	очевидно что	1	3
149	относится к	1	3
150	которые не	3	3
151	хотя и	2	3
152	их содержания	1	3
153	что это	3	3
154	в целом	2	3
155	думать что	3	3
156	во многих	5	3
157	что она	2	3
158	т д	9	3
159	слова а	1	3
160	не как	1	3
161	так например	6	3
162	на все	2	3
163	его в	1	3
164	от одного	1	3
165	это не	10	3
166	и тем	1	3
167	далеко не	3	3
168	в этих	3	3
169	и при	1	3
170	быть не	1	3
171	в ней	2	3
172	которых мы	1	3
173	оно не	1	3
174	как не	2	3
175	те же	1	3
176	не с	3	3
177	и вообще	1	3
178	находится в	2	3
179	но мы	1	3
180	от них	3	3
181	и во	1	3
182	как например	3	3
183	и у	5	3
184	одно из	5	3
185	не так	1	3
186	от другого	1	3
187	т п	1	3
188	они с	1	3
189	что на	4	3
190	что для	1	3
191	только по	2	3
192	но это	4	3
193	и для	2	3
194	и все	1	3
195	или нет	1	3
196	с ними	5	3
197	нет но	1	3
198	от слова	1	3
199	все что	1	3
200	как на	1	3
201	таком случае	1	2
202	самом деле	1	2
203	на самом	2	2
204	воспоминания о	2	2
205	на две	1	2
206	не имеют	1	2
207	с в	4	2
208	не во	1	2
209	вопрос о	1	2
210	явление не	1	2
211	с его	1	2
212	разницы между	1	2
213	совсем не	1	2
214	только потому	1	2
215	значение и	2	2
216	не все	1	2
217	с которыми	1	2
218	по отношению	1	2
219	в общем	1	2
220	в животном	1	2
221	что во	1	2
222	его на	1	2
223	общего с	1	2
224	в слово	1	2
225	указывают на	1	2
226	все эти	2	2
227	в нашем	2	2
228	всех этих	2	2
229	состоит в	8	2
230	но вместе	1	2
231	и по	8	2
232	на этом	3	2
233	но все	3	2
234	в каждом	2	2
235	связанные с	3	2
236	разница между	2	2
237	в жизни	2	2
238	мы знаем	1	2
239	не столько	1	2
240	их в	3	2
241	тому что	4	2
242	что есть	1	2
243	а а	25	2
244	и его	1	2
245	сказать что	1	2
246	что ему	2	2
247	вытекает из	1	2
248	все свои	1	2
249	к ней	2	2
250	на природу	1	2
251	животных и	4	2
252	не знали	2	2
253	от общего	1	2
254	у нас	8	2
255	к таким	3	2
256	можно думать	1	2
257	его с	4	2
258	не противоречит	1	2
259	и это	1	2
260	что все	1	2
261	на другой	1	2
262	к нам	2	2
263	в собственном	1	2
264	что у	2	2
265	видно из	1	2
266	было в	1	2
267	замечается и	1	2
268	после того	2	2
269	стремление к	1	2
270	и здесь	2	2
271	и поэтому	2	2
272	внимание на	1	2
273	нас в	1	2
274	связь между	2	2
275	и следовательно	1	2
276	один из	8	2
277	слово с	1	2
278	мы видим	2	2
279	в какой	2	2
280	случаи когда	1	2
281	есть в	1	2
282	в нашей	1	2
283	не дает	1	2
284	и других	7	2
285	заключить что	1	2
286	прибавить что	1	2
287	но что	2	2
288	у него	2	2
289	связано с	1	2
290	к которому	1	2
291	такое же	2	2
292	а с	4	2
293	себя и	2	2
294	между ними	1	2
295	света и	1	2
296	не на	2	2
297	в связи	4	2
298	так же	3	2
299	и потому	2	2
300	как это	8	2
301	или по	1	2
302	для обозначения	2	2
303	не дают	1	2
304	некоторое время	1	2
305	все это	6	2
306	в его	2	2
307	или в	2	2
308	о котором	1	2
309	а к	1	2
310	сходство между	2	2
311	мы должны	2	2
312	на более	1	2
313	нам не	1	2
314	но если	1	2
315	имеет место	2	2
316	у и	2	2
317	но эти	3	2
318	к этому	4	2
