N	2gram	Propp_Morf_1	Myslijsy
1	потому что	3	33
2	то что	8	29
3	может быть	52	26
4	таким образом	21	24
5	в этом	14	23
6	и в	13	23
7	в том	6	23
8	и не	12	18
9	что в	8	17
10	при этом	1	15
11	только в	2	15
12	в себе	1	14
13	для нас	2	14
14	как и	3	14
15	того что	3	14
16	то же	7	14
17	так как	16	14
18	если бы	2	13
19	а не	11	12
20	том что	4	12
21	не может	14	11
22	не в	3	11
23	но и	4	11
24	по отношению	4	10
25	для меня	1	10
26	тем что	4	10
27	мы можем	2	10
28	не только	4	10
29	что мы	2	10
30	между тем	5	9
31	не есть	1	9
32	о том	2	8
33	отношению к	4	8
34	мы не	8	8
35	было бы	3	8
36	но в	2	8
37	то это	3	8
38	сказать что	2	8
39	вовсе не	4	7
40	на то	2	7
41	что это	1	7
42	с тем	2	7
43	и т	41	7
44	с этим	11	7
45	это не	6	7
46	как в	3	7
47	язык есть	1	7
48	что такое	3	7
49	в силу	1	7
50	и что	2	7
51	могут быть	16	7
52	что и	7	7
53	в которой	3	6
54	когда мы	1	6
55	так и	6	6
56	независимо от	3	6
57	для того	2	6
58	что не	1	6
59	тем и	2	6
60	заметить что	8	6
61	того как	2	6
62	в лес	7	6
63	в ряду	1	6
64	и к	4	6
65	мысль о	1	6
66	тех пор	1	6
67	такие же	1	5
68	во всяком	2	5
69	говорить о	3	5
70	не менее	5	5
71	к нему	3	5
72	должно быть	1	5
73	а в	7	5
74	не можем	1	5
75	что же	2	5
76	для него	1	5
77	хотя и	3	5
78	в его	1	5
79	этом случае	8	5
80	не имеет	2	5
81	так что	1	5
82	находится в	1	5
83	есть нечто	3	5
84	и то	1	5
85	как бы	3	5
86	и с	1	4
87	но есть	3	4
88	тогда как	2	4
89	видно что	1	4
90	так же	3	4
91	предположить что	1	4
92	и все	1	4
93	сих пор	1	4
94	быть названо	3	4
95	точки зрения	2	4
96	хотя бы	4	4
97	до сих	1	4
98	на котором	3	4
99	того чтобы	3	4
100	в одном	1	4
101	между ними	1	4
102	в таком	1	4
103	в той	1	4
104	могли бы	1	4
105	на вопрос	2	4
106	можно сказать	2	4
107	есть то	1	4
108	с другими	1	4
109	в то	3	4
110	на основании	1	4
111	тем не	5	4
112	мы имеем	9	4
113	и может	1	4
114	между собою	2	4
115	и тем	2	4
116	от того	3	4
117	же самое	1	4
118	его в	2	4
119	если же	5	4
120	в каком	2	4
121	что он	4	4
122	только на	1	4
123	как же	2	4
124	а именно	1	4
125	и более	1	4
126	в данном	1	4
127	и тот	1	3
128	все эти	2	3
129	то мы	4	3
130	на его	4	3
131	еще не	3	3
132	должны быть	1	3
133	не всегда	9	3
134	не будет	1	3
135	т д	39	3
136	связи с	10	3
137	кроме того	1	3
138	ведет к	1	3
139	том случае	1	3
140	там где	5	3
141	самом деле	4	3
142	бы не	1	3
143	там же	1	3
144	между прочим	1	3
145	есть всегда	1	3
146	и есть	2	3
147	то в	3	3
148	слова не	1	3
149	до этого	1	3
150	те же	1	3
151	со стороны	3	3
152	например в	2	3
153	на самом	4	3
154	более чем	1	3
155	только что	2	3
156	в этих	13	3
157	с точки	2	3
158	образом мы	5	3
159	пор не	1	3
160	связанная с	1	3
161	в нее	1	3
162	так то	1	3
163	всяком случае	2	3
164	в первом	3	3
165	и таким	2	3
166	уже не	2	3
167	в каждом	1	3
168	что эти	2	3
169	с ними	1	3
170	в них	1	3
171	и другим	3	3
172	мы уже	1	3
173	формы в	1	3
174	так называемых	2	3
175	не от	2	3
176	и на	1	3
177	к тому	4	3
178	их в	1	3
179	заметим что	2	3
180	при помощи	9	3
181	известной степени	1	3
182	ее не	1	3
183	и до	1	3
184	которое в	1	3
185	что например	1	3
186	в которых	2	3
187	все более	1	3
188	и их	2	3
189	ту же	2	3
190	в виду	1	3
191	ответить на	1	3
192	этот вопрос	2	3
193	и по	2	3
194	но это	6	3
195	по-видимому не	1	2
196	как мы	6	2
197	и здесь	5	2
198	не значит	2	2
199	данном случае	1	2
200	требует чтобы	3	2
201	но так	1	2
202	в состоянии	1	2
203	значение и	1	2
204	бы они	2	2
205	даже не	3	2
206	вопрос что	2	2
207	и для	2	2
208	никто не	3	2
209	и многие	1	2
210	образом что	1	2
211	сама она	1	2
212	большинстве случаев	3	2
213	стремится к	1	2
214	после того	1	2
215	форма есть	1	2
216	только о	1	2
217	явления и	1	2
218	в виде	2	2
219	самых разнообразных	2	2
220	человека а	1	2
221	в большинстве	3	2
222	эту мысль	1	2
223	можно лишь	1	2
224	даже в	1	2
225	дело не	2	2
226	от него	1	2
227	в голову	1	2
228	относятся к	2	2
229	в другой	1	2
230	в это	1	2
231	в нашем	3	2
232	следует сказать	1	2
233	лишь один	1	2
234	до известной	1	2
235	каким образом	1	2
236	такое же	1	2
237	таком случае	1	2
238	в образе	4	2
239	оно не	2	2
240	например с	2	2
241	уже было	1	2
