N	2gram	Tiupa_Teor_1	NovoeSre
1	а не	9	17
2	и в	18	16
3	не может	4	16
4	совсем не	1	12
5	нового времени	3	12
6	и не	13	11
7	что в	9	9
8	в том	16	8
9	он не	3	8
10	в этом	8	7
11	может быть	17	7
12	не будет	2	7
13	как и	4	7
14	с его	5	6
15	не в	7	6
16	ни в	2	6
17	никогда не	4	6
18	лишь в	6	6
19	не знает	3	6
20	должен быть	1	5
21	с ее	3	5
22	и к	3	5
23	не только	16	5
24	в жизни	2	5
25	все это	2	5
26	в нем	4	5
27	со всех	1	4
28	не во	1	4
29	быть может	1	4
30	о том	1	4
31	всех сторон	1	4
32	в них	2	4
33	то что	3	4
34	это не	2	4
35	прежде всего	2	4
36	не было	1	4
37	должно быть	1	4
38	и потому	2	4
39	по своему	2	4
40	не менее	4	4
41	и для	2	4
42	потому что	3	4
43	с другой	7	3
44	начало нового	1	3
45	в ее	5	3
46	вопрос о	1	3
47	человека и	1	3
48	еще не	4	3
49	во всех	1	3
50	за пределы	2	3
51	как в	5	3
52	духа и	1	3
53	к ним	1	3
54	подобно тому	1	3
55	в мире	19	3
56	но и	9	3
57	это было	2	3
58	не означает	1	3
59	с тем	1	3
60	в своей	6	3
61	к жизни	2	3
62	тому как	1	3
63	в прошлом	1	3
64	она не	1	3
65	не существует	1	3
66	жизни не	1	3
67	в основе	3	3
68	жизни в	2	3
69	к тому	2	3
70	сказать что	3	3
71	и это	2	2
72	же как	1	2
73	связана с	1	2
74	роль в	2	2
75	переход к	1	2
76	можно было	1	2
77	так и	10	2
78	времени и	2	2
79	мира и	1	2
80	для этого	1	2
81	мира а	1	2
82	но она	2	2
83	я не	2	2
84	жизни как	4	2
85	и что	3	2
86	и на	1	2
87	времени в	2	2
88	но не	9	2
89	в центре	1	2
90	ни к	3	2
91	хотя и	3	2
92	но в	9	2
93	который в	2	2
94	все эти	2	2
95	с одной	2	2
96	себя в	6	2
97	с их	2	2
98	есть в	2	2
99	в себе	9	2
100	уже не	4	2
101	не могла	1	2
102	у него	1	2
103	что она	2	2
104	и заключается	1	2
105	что все	1	2
106	и даже	2	2
107	на уровне	2	2
108	и т.п	4	2
109	этом смысле	2	2
110	личность в	1	2
111	к более	1	2
112	духовной жизни	1	2
113	но я	1	2
114	том что	9	2
115	вместе с	2	2
116	так же	2	2
117	мы говорим	1	2
118	место в	5	2
119	одной стороны	2	2
120	такого рода	8	2
121	другой стороны	5	2
122	по существу	1	2
123	не могли	1	2
124	если нет	1	2
125	как будто	2	2
126	войны и	1	2
127	как это	8	2
128	в то	6	2
129	в мировой	1	2
130	того чтобы	1	2
131	жизнью в	1	2
132	и от	1	2
133	в русском	1	2
134	все они	1	2
135	а в	13	2
136	могут быть	4	2
137	свободы и	1	2
138	сама жизнь	1	2
139	можно назвать	1	2
140	также что	1	1
141	обращена к	1	1
142	ни одно	1	1
143	для себя	1	1
144	перед лицом	2	1
145	этого мира	1	1
146	по преимуществу	4	1
147	приводит к	5	1
148	и до	1	1
149	можно лишь	1	1
150	с собой	1	1
151	на нее	1	1
152	не с	3	1
153	и религии	1	1
154	героя но	1	1
155	можно сказать	3	1
156	говорить о	3	1
157	на себя	2	1
158	как я	1	1
159	в виду	5	1
160	во внешних	1	1
161	думаю что	1	1
