N	2gram	Berdyaev_N_1	Freidism
1	и не	11	23
2	не может	16	20
3	прежде всего	4	18
4	в этом	7	15
5	в его	1	15
6	и пр	3	15
7	может быть	7	13
8	и его	1	12
9	все эти	2	11
10	как и	7	11
11	то что	4	11
12	но в	2	10
13	с ним	1	10
14	так и	2	10
15	и потому	4	10
16	с его	6	9
17	во всех	3	9
18	и в	16	9
19	не только	5	8
20	он не	8	8
21	в своей	3	8
22	еще не	3	8
23	что он	1	8
24	только в	1	8
25	так как	1	8
26	все это	5	8
27	и все	4	8
28	все что	1	8
29	в самом	1	7
30	мы уже	1	7
31	ни в	6	7
32	к нему	1	7
33	всяком случае	1	7
34	сказать что	3	7
35	во всяком	1	7
36	в ней	5	6
37	за пределы	3	6
38	и с	2	6
39	на протяжении	2	6
40	никогда не	6	6
41	протяжении всей	1	6
42	хотя бы	2	6
43	и на	2	5
44	в чем	1	5
45	и к	5	5
46	в этой	1	5
47	что такое	3	5
48	не в	6	5
49	мы должны	1	5
50	в то	2	5
51	в каком	1	5
52	могут быть	2	5
53	для этого	2	5
54	можно сказать	1	5
55	для того	1	5
56	в большинстве	1	5
57	большинстве случаев	1	5
58	а в	2	5
59	но и	3	5
60	с этим	2	5
61	в период	1	5
62	в свою	1	5
63	что в	9	5
64	смысле слова	3	4
65	в зависимости	1	4
66	мы не	2	4
67	в которой	1	4
68	говорить о	1	4
69	я не	2	4
70	зависимости от	1	4
71	совсем не	12	4
72	но не	2	4
73	не было	4	4
74	из этих	1	4
75	с их	2	4
76	в нем	5	4
77	с другими	1	4
78	в жизни	5	4
79	во время	1	4
80	не менее	4	4
81	в основе	3	4
82	потому что	4	4
83	и для	4	4
84	к тому	3	4
85	того чтобы	2	4
86	характер и	1	4
87	конечно не	3	4
88	уже не	2	4
89	в котором	1	4
90	от того	1	4
91	себя и	1	4
92	в мир	1	4
93	в более	1	4
94	в этих	1	4
95	человека и	3	3
96	и есть	10	3
97	на место	1	3
98	на себя	1	3
99	как в	3	3
100	жизни к	4	3
101	в себе	2	3
102	но ведь	1	3
103	всех своих	1	3
104	что все	2	3
105	было бы	1	3
106	такой же	2	3
107	мысли и	2	3
108	нет никакого	1	3
109	одна из	2	3
110	мыслей и	1	3
111	к себе	1	3
112	не могут	1	3
113	бы он	1	3
114	она не	3	3
115	с ее	5	3
116	приводит к	1	3
117	и что	2	3
118	на всех	1	3
119	и она	1	3
120	себя в	2	3
121	у него	2	3
122	в них	4	3
123	и т.п	2	3
124	и оно	1	3
125	вместе с	2	3
126	по своему	4	3
127	и от	2	3
128	но это	6	3
129	сам человек	1	3
130	не знает	6	3
131	от всех	1	3
132	для настоящего	1	3
133	жизни и	8	3
134	в такой	1	2
135	это и	2	2
136	и до	1	2
137	высшей степени	6	2
138	большую роль	4	2
139	как не	8	2
140	того же	1	2
141	и явления	1	2
142	в ее	3	2
143	себе и	1	2
144	отличие от	1	2
145	значение для	1	2
146	в своем	1	2
147	от этого	1	2
148	в этот	1	2
149	человек не	1	2
150	что она	2	2
151	освобождение от	1	2
152	их в	1	2
153	но все	1	2
154	в одну	2	2
155	в глубине	1	2
156	них не	1	2
157	это было	3	2
158	это не	4	2
159	своей основе	1	2
160	этого не	1	2
161	всю жизнь	1	2
162	так называемый	1	2
163	том что	2	2
164	в эту	1	2
165	но если	1	2
166	мы конечно	1	2
167	в отличие	1	2
168	сих пор	1	2
169	но во	1	2
170	как это	2	2
171	но для	2	2
172	в формы	1	2
173	и мысли	1	2
174	человека так	1	2
175	в области	1	2
176	когда мы	2	2
177	должны быть	1	2
178	социальные и	1	2
179	в стихии	1	2
180	оно не	1	2
181	для себя	1	2
182	оно может	1	2
183	в виду	1	2
184	роль в	2	2
185	стремление к	2	2
186	до сих	1	2
187	той социальной	1	2
188	нуждается в	1	2
189	вся жизнь	1	2
190	мир в	1	2
191	каждого человека	2	2
192	с одной	2	2
193	для всех	1	2
194	и у	1	2
195	уже в	1	2
196	из них	1	2
197	человека на	1	2
198	в прошлом	3	2
199	в конце	1	2
200	и даже	2	2
201	в высшей	6	2
202	с другой	3	2
203	человека в	1	2
204	социальной жизни	1	2
205	ничем не	1	2
206	связано с	1	2
207	одной стороны	2	2
208	зависит от	2	2
209	а не	17	2
210	для сознания	1	2
211	что мы	1	2
212	так же	2	2
213	только для	1	2
214	это уже	1	2
215	всего они	1	2
216	не существует	3	2
217	формы и	2	2
218	в силах	1	2
219	все они	2	2
220	и начинается	2	2
221	связанный с	1	2
222	есть и	1	2
223	как на	1	2
224	они не	1	2
225	же как	2	1
226	и через	1	1
227	должно стать	2	1
228	жизни мы	1	1
229	права и	2	1
230	не имеют	2	1
231	ведь и	2	1
232	и этот	1	1
233	со всех	4	1
234	вопрос о	3	1
235	но она	2	1
236	оно есть	1	1
237	жизни как	2	1
238	то это	1	1
239	в будущем	2	1
240	не способен	1	1
241	жизни это	1	1
242	всех сторон	4	1
243	и воля	1	1
244	не был	1	1
245	бытия а	1	1
246	что его	1	1
247	только потому	1	1
248	силы и	2	1
249	нет и	2	1
250	в свои	2	1
251	в истории	3	1
252	в центре	2	1
253	и нет	1	1
254	борьбы со	1	1
255	то нет	1	1
256	возврата в	1	1
257	возврата и	1	1
258	он в	1	1
259	по преимуществу	1	1
260	дальше и	1	1
261	вообще не	1	1
262	идей и	1	1
263	стихии которая	1	1
264	все другие	1	1
265	в нее	1	1
266	в основу	1	1
267	это конечно	1	1
268	может остаться	1	1
269	из всех	1	1
270	он стремится	1	1
271	ли это?	1	1
272	теми которые	1	1
273	всех народов	1	1
274	и которые	1	1
275	заложенных в	1	1
276	должны перейти	1	1
277	этом смысле	2	1
278	свою противоположность	1	1
279	во многом	1	1
280	для них	1	1
281	жизни от	1	1
282	не всегда	1	1
283	он и	1	1
284	рода и	1	1
285	и было	2	1
286	во внешнюю	1	1
287	не больше	1	1
288	особенно для	1	1
289	он конечно	1	1
290	и культуры	2	1
291	что вся	1	1
292	не к	2	1
293	жизни с	1	1
294	они совсем	1	1
295	творчества и	1	1
296	нас к	1	1
297	и истории	1	1
298	рода в	1	1
299	к такой	1	1
300	и должно	2	1
301	друг друга	1	1
302	и политические	1	1
303	не по	1	1
304	мы живем	5	1
305	и отдельных	1	1
306	и оттуда	1	1
307	на путях	2	1
308	нам предстоит	1	1
309	человека во	2	1
310	не признают	1	1
311	человек как	1	1
312	а во	1	1
313	они являются	1	1
314	явление в	1	1
315	к ней	1	1
316	ли это	2	1
317	истории не	3	1
318	из глубины	2	1
319	нет ни	1	1
320	выход из	1	1
321	всего что	1	1
322	и культурный	1	1
323	отказаться от	1	1
324	на это	1	1
325	о том	4	1
326	наши дни	3	1
327	и это	2	1
328	эпохи не	1	1
329	при свете	1	1
330	свободно и	1	1
331	ни одно	1	1
332	то время	1	1
333	и когда	1	1
334	в мире	3	1
335	переход к	2	1
336	на нее	1	1
337	на заре	1	1
338	времени и	2	1
339	что представляется	1	1
340	не с	1	1
341	культуры на	1	1
342	с собой	1	1
343	к тем	1	1
344	мы в	1	1
345	в эпоху	9	1
346	и начало	3	1
347	познания и	2	1
348	а также	1	1
349	это я	1	1
350	невинным и	1	1
351	особого рода	1	1
352	и во	1	1
353	в которую	1	1
354	и власть	1	1
355	на ее	1	1
356	сторон жизни	1	1
357	но нет	1	1
358	я пытаюсь	1	1
359	уже во	1	1
360	все время	2	1
361	к которому	1	1
362	борьбы за	1	1
363	вступить в	1	1
364	и быть	1	1
365	во всем	1	1
366	живем в	5	1
367	который в	2	1
368	в обществе	2	1
369	жизни хочет	1	1
370	это совсем	2	1
371	есть в	2	1
372	противостоит не	1	1
373	эти черты	1	1
374	а это	1	1
375	от других	1	1
376	к содержанию	2	1
377	к своим	1	1
378	слова в	1	1
379	никакого ответа	1	1
380	бытия и	1	1
381	как будто	2	1
382	тем что	1	1
383	они будут	1	1
384	к той	1	1
385	не хотим	2	1
386	перейти к	3	1
387	лишь для	1	1
388	и только	1	1
389	за существование	1	1
390	знаем также	1	1
391	сами эти	1	1
392	государство и	2	1
393	нашей жизни	1	1
394	на них	1	1
395	в каких	1	1
396	с большим	1	1
397	во внешней	1	1
398	не начало	1	1
399	превращается в	1	1
400	процесс в	1	1
401	а на	1	1
402	еще достаточно	1	1
403	как ни	1	1
404	долгое время	1	1
405	культуры мы	1	1
406	жизнь в	1	1
407	себя на	1	1
408	эту эпоху	1	1
409	и пути	1	1
410	разобраться в	1	1
411	имея в	1	1
412	более широкого	1	1
413	мы говорим	2	1
414	нужно отнести	1	1
415	жизни которые	3	1
416	такого рода	2	1
417	связаны с	2	1
418	во вне	2	1
419	и целостности	1	1
420	распадается на	1	1
421	совести и	1	1
422	они сами	1	1
423	быть не	1	1
424	мира с	1	1
425	в это	1	1
426	борьбе за	1	1
427	и формы	2	1
428	ближе к	1	1
429	в смысле	2	1
430	в недрах	1	1
431	основанная на	1	1
432	идеология в	1	1
433	чтобы разобраться	1	1
434	которая в	1	1
435	чтобы понять	1	1
436	вся культура	1	1
437	мышления не	1	1
438	будто бы	1	1
439	с ужасом	1	1
440	или не	1	1
441	в том	8	1
442	основе их	1	1
443	время когда	1	1
444	к ее	3	1
445	нет ничего	1	1
446	на смену	1	1
447	весь мир	1	1
448	своей энергии	1	1
449	но можно	1	1
450	равно как	2	1
451	жизни а	1	1
452	который не	1	1
453	борьба и	2	1
454	только одна	1	1
455	является возврат	1	1
456	значение в	1	1
457	можно назвать	2	1
