N	3gram	Losev_Prob_3	Morfolog
1	и т д	13	47
2	в этих случаях	1	13
3	в этом случае	5	9
4	в связи с	7	8
5	не может быть	5	8
6	с точки зрения	2	4
7	с другой стороны	5	4
8	тем не менее	10	4
9	далеко не все	1	3
10	в первом случае	1	3
11	на самом деле	2	3
12	как и в	1	3
13	более или менее	1	2
14	в тех случаях	1	2
15	в настоящее время	2	2
16	в таких случаях	2	2
17	в собственном смысле	1	2
18	точно так же	3	2
19	мы приходим к	1	2
20	может быть и	3	2
21	то время как	4	2
22	с одной стороны	1	2
23	на первый взгляд	2	2
24	может быть заменен	1	2
25	это не значит	1	2
26	собственном смысле слова	1	2
27	в то время	4	2
28	тех случаях когда	1	2
29	случае не является	1	2
30	не значит что	2	2
31	для того чтобы	1	2
32	в том что	9	2
33	т д в	1	2
34	таким образом что	1	1
35	и может быть	1	1
36	бросается в глаза	1	1
37	хотя и не	2	1
38	вовсе не с	1	1
39	к другу и	1	1
40	то ни стало	1	1
41	этот вопрос мы	1	1
42	то это значит	2	1
43	а вовсе не	2	1
44	имеется и в	1	1
45	здесь перед нами	2	1
46	это было бы	1	1
47	т д можно	1	1
48	и по существу	1	1
49	это уже не	2	1
50	том что он	1	1
51	о том как	2	1
52	что иное как	4	1
53	что же касается	4	1
54	во что бы	1	1
55	тому что в	1	1
56	до сих пор	2	1
57	и действительно в	1	1
58	в таком случае	4	1
59	бы то ни	4	1
60	как то в	1	1
61	нечто иное чем	1	1
62	но это не	1	1
63	можно было бы	3	1
64	но если мы	1	1
65	и не всегда	1	1
66	одно и то	3	1
67	теми или другими	2	1
68	который может быть	1	1
69	можно сказать о	1	1
70	в том или	2	1
71	буквой а а	1	1
72	в данном случае	7	1
73	что бы то	1	1
74	на этот вопрос	1	1
75	в целом и	1	1
76	том или другом	1	1
77	чем это было	1	1
78	и то же	4	1
79	имеет ничего общего	3	1
80	то мы не	1	1
81	может фигурировать и	1	1
82	во втором случае	1	1
83	то это не	2	1
84	и к целому	1	1
85	иметь в виду	1	1
86	т д все	1	1
87	во всяком случае	6	1
88	так же и	1	1
89	но если бы	1	1
90	потому что они	2	1
91	не имеет ничего	3	1
92	в третий раз	1	1
93	мы уже видели	1	1
94	как бы они	1	1
95	может быть заменена	1	1
96	во всех этих	1	1
97	есть не что	4	1
98	друг к другу	1	1
99	в одном случае	1	1
100	но никто не	1	1
101	о том что	3	1
102	если бы мы	1	1
103	это значит что	2	1
104	этом случае он	1	1
105	той или иной	8	1
106	можно сказать что	2	1
107	на то что	1	1
108	с теми или	2	1
109	которые могут быть	1	1
110	то же в	1	1
111	в то же	4	1
112	иначе чем это	1	1
113	к тому что	1	1
114	не что иное	4	1
115	этих случаях не	1	1
116	дело не в	2	1
117	что и в	3	1
118	могло бы быть	2	1
119	того или другого	3	1
