N	2gram	Medvedev_F_2	IolandNe
1	и с	9	3
2	должен быть	1	2
3	и не	20	2
4	в этом	27	2
5	он не	6	2
6	что в	7	2
7	ничего не	4	2
8	же это	2	1
9	нет есть	1	1
10	все это	3	1
11	автора и	1	1
12	и др	3	1
13	и тот	1	1
14	как смерть	1	1
15	и в	38	1
16	и о	2	1
17	у всех	1	1
18	в эту	1	1
19	то и	3	1
20	бы в	5	1
21	как только	1	1
22	бы столь	1	1
23	того же	1	1
24	и со	1	1
25	с другой	3	1
26	и та	1	1
27	это было	3	1
28	а в	6	1
29	так то	1	1
30	того что	3	1
31	в художественном	2	1
32	не дает	1	1
33	и без	1	1
34	следовательно в	1	1
35	как о	4	1
36	на котором	2	1
37	другой стороны	4	1
38	и еще	1	1
39	не так	2	1
40	нее и	1	1
41	для него	7	1
42	нам в	1	1
43	в основе	5	1
44	что для	2	1
45	в значительной	3	1
46	говорить о	5	1
47	понятий и	3	1
48	и сам	1	1
49	художественном творчестве	1	1
50	есть только	2	1
51	а если	1	1
52	так и	8	1
53	от этого	3	1
54	произведения и	3	1
55	того чтобы	3	1
56	во многом	1	1
57	никогда не	2	1
58	следующим образом	1	1
59	не здесь	1	1
60	жизни и	3	1
61	факты и	1	1
62	тем что	8	1
63	в целом	3	1
64	очевидно что	2	1
65	в них	1	1
66	все эти	6	1
67	по существу	7	1
68	фундамент на	1	1
69	от нее	4	1
70	если бы	5	1
71	для того	3	1
