N	2gram	Medvedev_U_1	Problemy
1	и не	8	31
2	и в	14	29
3	в его	2	24
4	может быть	6	24
5	в этом	7	22
6	а не	10	22
7	в нем	1	19
8	для него	3	18
9	не только	10	15
10	то что	7	15
11	то же	5	14
12	не как	3	14
13	но и	4	14
14	в пределах	1	13
15	уже не	1	13
16	таким образом	2	12
17	как и	3	12
18	не может	7	12
19	в самом	2	10
20	этом смысле	2	10
21	в то	3	10
22	только в	2	10
23	с его	2	9
24	все же	3	9
25	это не	3	9
26	если бы	2	9
27	же время	3	9
28	о нем	1	9
29	но не	2	9
30	что в	1	8
31	по себе	2	8
32	в том	2	8
33	что он	2	8
34	до конца	1	8
35	в своем	1	8
36	в своей	3	8
37	а как	2	7
38	за пределы	1	7
39	но в	3	7
40	в себе	2	7
41	входит в	1	7
42	достоевского и	1	7
43	том что	2	7
44	не в	2	7
45	она не	1	7
46	так и	1	7
47	прежде всего	8	7
48	одним из	2	6
49	самом деле	2	6
50	что она	2	6
51	могут быть	2	6
52	говорит он	1	6
53	в конце	2	6
54	как раз	2	6
55	и потому	1	6
56	не могут	2	6
57	все это	5	6
58	должна быть	2	5
59	той же	1	5
60	у него	1	5
61	он не	1	5
62	было бы	3	5
63	он и	1	5
64	и это	1	5
65	ничего не	2	5
66	между тем	2	5
67	и др	1	5
68	конце концов	2	5
69	героя не	1	5
70	бы и	2	4
71	в этой	4	4
72	перестает быть	5	4
73	не значит	1	4
74	должно быть	1	4
75	что было	1	4
76	их в	1	4
77	в процессе	1	4
78	в произведении	1	4
79	и с	2	4
80	тем что	2	4
81	что и	2	4
82	превращается в	2	4
83	не было	1	4
84	его как	1	4
85	должна была	2	4
86	что же	1	4
87	но это	2	4
88	и для	2	4
89	он может	1	3
90	он знает	1	3
91	он в	1	3
92	не входит	1	3
93	в художественном	5	3
94	ее как	1	3
95	но именно	1	3
96	далеко не	1	3
97	художественного творчества	5	3
98	в их	4	3
99	никогда не	1	3
100	этом отношении	2	3
101	приводит к	1	3
102	все его	1	3
103	с другой	4	3
104	все в	1	3
105	и у	2	3
106	само по	1	3
107	по существу	2	3
108	и слово	1	3
109	бы в	1	3
110	сказать что	1	3
111	другой стороны	3	3
112	материал и	1	3
113	время не	1	3
114	художественного задания	2	3
115	как на	1	3
116	все что	1	3
117	в которой	1	2
118	из которых	1	2
119	в ней	1	2
120	бы то	3	2
121	толстого и	1	2
122	в той	1	2
123	его на	1	2
124	могли бы	2	2
125	на его	1	2
126	всех этих	2	2
127	в россии	4	2
128	принципа в	1	2
129	то ни	3	2
130	же не	2	2
131	а его	2	2
132	случайно и	1	2
133	со своими	1	2
134	как таковой	2	2
135	в котором	1	2
136	в которых	1	2
137	но он	1	2
138	друг другу	1	2
139	произведения в	1	2
140	для себя	1	2
141	данном случае	1	2
142	идет не	1	2
143	и что	1	2
144	художником и	1	2
145	слова а	1	2
146	начала и	1	2
147	отсюда и	1	2
148	вне его	1	2
149	какие мы	1	2
150	себе еще	1	2
151	тот же	1	2
152	сводить к	1	2
153	хотя бы	5	2
154	значимость и	1	2
155	конечно не	4	2
156	то и	1	2
157	ни было	3	2
158	или даже	1	2
159	его и	2	2
160	одно из	1	2
161	не о	3	2
162	и даже	1	2
163	до сих	2	2
164	него не	1	2
165	представляется нам	2	2
166	данного произведения	1	2
167	только как	1	2
168	в данном	1	2
169	друг с	1	2
170	сих пор	2	2
171	же в	1	2
172	не есть	2	2
173	у толстого	1	2
174	художественном произведении	2	1
175	своей совокупности	1	1
176	же как	1	1
177	художественного произведения	2	1
178	художественных произведений	2	1
179	прием и	2	1
180	из самых	1	1
181	она все	1	1
182	противном случае	2	1
183	их и	2	1
184	мы не	2	1
185	именно к	1	1
186	бы ни	1	1
187	но даже	2	1
188	этом плане	1	1
189	формы в	3	1
190	меньшей степени	2	1
191	во мне	1	1
192	заключенных в	1	1
193	первый план	1	1
194	но конечно	2	1
195	своей работе	1	1
196	своими собственными	1	1
197	учителя и	1	1
198	к которой	1	1
199	в качестве	1	1
200	нет и	1	1
201	автора уже	1	1
202	к сожалению	3	1
203	относится к	1	1
204	первый взгляд	1	1
205	концов не	1	1
206	независимо от	1	1
207	как нам	1	1
208	в противном	2	1
209	более или	1	1
210	не приходится	2	1
211	само художественное	2	1
212	пока для	1	1
213	в известном	1	1
214	имеем в	1	1
215	как принцип	2	1
216	сам автор	1	1
217	не следует	3	1
218	наконец он	2	1
219	только материал	1	1
220	мы полагаем	1	1
221	органического единства	1	1
222	же остается	1	1
223	и независимо	1	1
224	находит себе	1	1
225	или иных	2	1
226	что все	2	1
227	что такой	1	1
228	об этом	1	1
229	есть конечно	1	1
230	ее нельзя	2	1
231	с самим	1	1
232	быть не	1	1
233	к области	2	1
234	мы имеем	1	1
235	и вне	1	1
236	даны не	1	1
237	действительно слишком	1	1
238	остается в	1	1
239	он выдвигает	2	1
240	на первый	2	1
241	или менее	1	1
242	или точнее	3	1
243	почти не	1	1
244	не столько	2	1
245	существенно нового	1	1
246	признать что	1	1
247	строго говоря	1	1
248	дан в	1	1
249	является только	1	1
250	искусства не	1	1
251	его форма	1	1
252	по крайней	2	1
253	нас самих	1	1
254	и форм	1	1
255	подходят к	1	1
256	не то	1	1
257	основного принципа	1	1
258	так то	1	1
259	него уже	1	1
260	принцип единства	1	1
261	в области	3	1
262	с другом	1	1
263	у нас	3	1
264	искусства и	1	1
265	же самое	2	1
266	не принцип	1	1
267	и свое	1	1
268	мировоззрением и	1	1
269	не существует	1	1
270	только при	1	1
271	восприятия и	1	1
272	возникает проблема	1	1
273	именно этот	1	1
274	авторской индивидуальности	1	1
275	является в	2	1
276	для этого	3	1
277	даже не	1	1
278	в виду	1	1
279	тех кто	1	1
280	о том	1	1
281	можно сказать	1	1
282	оно перестает	1	1
283	быть тем	1	1
284	того как	1	1
285	и только	5	1
286	крайней мере	2	1
287	того что	1	1
288	большей или	1	1
289	или меньшей	1	1
290	художественного восприятия	1	1
291	и действительно	1	1
292	и так	1	1
293	вот почему	7	1
294	не все	2	1
295	он становится	1	1
296	не для	1	1
297	слово как	1	1
298	может служить	1	1
299	но что	1	1
300	это было	2	1
301	быть по	1	1
302	и материал	1	1
303	приходится признать	2	1
304	материалов и	1	1
305	и быть	1	1
306	только к	3	1
307	что для	1	1
308	полагаем что	1	1
309	такое понимание	1	1
310	художественной формы	2	1
311	что мы	2	1
312	знает только	1	1
313	если не	2	1
314	как элемент	1	1
315	этой же	1	1
316	в частности	3	1
317	бы это	1	1
318	к следующему	1	1
319	выражением духа	1	1
320	думает о	1	1
321	этом случае	1	1
322	выводам и	1	1
323	тех или	2	1
324	на слово	1	1
325	и единого	1	1
326	к голому	2	1
327	художественное творчество	1	1
328	и все	1	1
329	в большей	1	1
330	на одно	1	1
331	все они	2	1
332	ее в	1	1
333	в искусстве	6	1
334	все элементы	1	1
335	психики и	1	1
336	произведение а	2	1
337	а о	2	1
338	но если	1	1
339	это в	1	1
340	впервые в	1	1
341	основного художественного	1	1
342	слагается из	1	1
343	на своем	1	1
344	формальные функции	1	1
345	и эта	1	1
346	к этому	1	1
347	в таком	1	1
348	так всегда	1	1
