N	2gram	Kanaev_Sov_1	Dialekti
1	и не	6	27
2	а не	3	26
3	точки зрения	12	25
4	и в	7	24
5	значит что	1	24
6	это значит	1	24
7	не только	4	23
8	что такое	2	21
9	по себе	1	20
10	не может	17	19
11	ничего не	6	17
12	и есть	2	16
13	допустим что	1	16
14	и что	2	15
15	что все	2	14
16	с точки	5	14
17	в таком	2	14
18	таким образом	11	13
19	вовсе не	1	13
20	может быть	12	13
21	и даже	2	13
22	что это	2	12
23	не менее	2	11
24	не имеет	1	11
25	что же	5	11
26	отнюдь не	3	10
27	тем не	2	10
28	только не	1	10
29	законов природы	1	10
30	есть не	1	9
31	что она	3	9
32	ни в	1	9
33	в этом	7	8
34	отличается от	3	8
35	в виде	2	8
36	прежде всего	5	8
37	том что	1	8
38	если же	2	8
39	это и	1	7
40	в самом	2	7
41	как и	6	7
42	никогда не	1	7
43	ясно что	3	7
44	только на	1	7
45	но что	1	7
46	и нет	1	7
47	что в	2	7
48	самом деле	2	6
49	что иное	1	6
50	иное как	1	6
51	то же	3	6
52	если бы	1	6
53	и только	1	6
54	о том	1	6
55	так как	4	6
56	и пр	2	6
57	и все	3	6
58	все это	3	6
59	кроме того	1	6
60	но если	1	6
61	не что	1	6
62	есть то	1	6
63	вопрос о	4	5
64	что его	1	5
65	точка зрения	1	5
66	хотя и	1	5
67	и к	3	5
68	он не	1	5
69	по крайней	1	5
70	было бы	3	5
71	мы не	9	5
72	и тогда	1	5
73	в том	4	5
74	в то	1	5
75	и его	1	5
76	только в	1	5
77	уже не	2	5
78	крайней мере	1	5
79	но это	1	5
80	или нет	1	5
81	жизни и	4	5
82	и ничего	1	4
83	говорить о	2	4
84	нет и	4	4
85	конечно не	1	4
86	это не	4	4
87	если нет	1	4
88	делится на	1	4
89	но только	1	4
90	не могут	2	4
91	и это	1	4
92	с другой	1	4
93	или иной	2	4
94	у нас	3	4
95	так же	1	4
96	говорить что	1	4
97	сказать что	1	4
98	мы уже	1	3
99	той же	2	3
100	зависимости от	4	3
101	при условии	1	3
102	мере в	1	3
103	с этим	2	3
104	в своем	1	3
105	все же	3	3
106	все эти	5	3
107	в нем	3	3
108	он должен	2	3
109	не будет	1	3
110	должно быть	1	3
111	и значит	1	3
112	не в	3	3
113	раз и	1	3
114	из которых	2	3
115	она не	1	3
116	одна из	3	3
117	же время	1	3
118	ровно ничего	1	3
119	из двух	3	3
120	утверждает что	1	3
121	к нему	1	3
122	все время	1	3
123	быть и	2	3
124	или же	2	3
125	с одной	2	3
126	то и	2	3
127	из них	4	3
128	мы знаем	2	3
129	сами по	1	3
130	случае не	1	3
131	и прежде	1	3
132	не было	1	3
133	может ли	1	3
134	ни о	1	3
135	одной стороны	1	3
136	как бы	4	3
