N	4gram	Voloshinov_2	SlovoVZh
1	дело в том что	1	4
2	так как если бы	2	4
3	бы то ни было	4	3
4	но тем не менее	1	2
5	с одной стороны и	2	2
6	не может быть и	2	2
7	одно и то же	3	2
8	в коем случае нельзя	1	1
9	группы к которой принадлежит	1	1
10	все более и более	2	1
11	как мы уже сказали	1	1
12	бы они ни были	1	1
13	но в то же	5	1
14	ни в коем случае	2	1
15	и не может быть	1	1
16	сами по себе в	1	1
17	на самом же деле	3	1
18	по себе в своей	1	1
19	в то же время	8	1
20	бы оно ни было	1	1
21	более или менее широким	1	1
22	каких бы то ни	1	1
23	социальной группы к которой	1	1
24	внутренней и внешней речи	1	1
25	той социальной группы к	1	1
26	одним и тем же	2	1
27	ни на один миг	1	1
28	какой бы то ни	2	1
29	не может быть понято	1	1
