N	3gram	Bakhtin_Pr_2	UchenyiS
1	не может быть	6	4
2	с другой стороны	1	3
3	то же время	3	3
4	в то же	3	3
5	в самом деле	3	2
6	в этом смысле	5	2
7	до сих пор	2	2
8	хотя бы и	2	2
9	в этом отношении	2	2
10	в том что	4	2
11	по крайней мере	2	2
12	тех или иных	1	2
13	в конце концов	3	2
14	но прежде всего	1	1
15	для него не	1	1
16	и в их	1	1
17	в большей или	1	1
18	или меньшей степени	1	1
19	более или менее	1	1
20	имеем в виду	2	1
21	большей или меньшей	1	1
22	в этом случае	1	1
23	уже не как	1	1
24	не входит в	2	1
25	никогда не может	2	1
26	является одним из	1	1
27	само по себе	2	1
28	же время не	1	1
29	и независимо от	1	1
30	не было бы	1	1
31	он выдвигает в	1	1
32	но конечно не	1	1
33	насколько нам известно	1	1
34	можно сказать что	2	1
35	мы имеем в	2	1
36	на то что	2	1
37	и быть не	1	1
38	теории и истории	1	1
39	в ней не	1	1
40	литературного жанра в	1	1
41	друг с другом	2	1
42	быть не может	1	1
43	а не только	2	1
44	в данном случае	1	1
45	но именно этот	1	1
46	может быть в	1	1
47	но в то	3	1
48	не только в	1	1
49	он прежде всего	2	1
