N	2gram	Vygotskiy__4	Literetu
1	не только	7	24
2	при этом	2	19
3	но и	3	17
4	в том	21	16
5	а не	6	16
6	в частности	4	15
7	том что	22	14
8	может быть	22	13
9	и не	13	12
10	в этом	28	12
11	в своем	7	11
12	прежде всего	2	11
13	в русской	2	10
14	такого рода	1	10
15	то что	44	10
16	или иначе	1	9
17	в целом	5	8
18	так или	1	8
19	не в	2	8
20	и в	33	8
21	только в	4	8
22	как это	14	8
23	я не	4	7
24	как бы	25	7
25	в себе	6	7
26	в его	10	7
27	и я	1	6
28	то есть	13	6
29	как и	5	6
30	точки зрения	6	6
31	и сам	1	6
32	того что	4	6
33	связи с	2	6
34	в жизни	4	6
35	себя в	4	6
36	то же	9	5
37	как в	3	5
38	не столько	1	5
39	в то	3	5
40	казалось бы	5	5
41	а также	1	5
42	же время	2	5
43	в конечном	1	5
44	же в	1	5
45	что он	20	5
46	уже в	2	5
47	не может	10	5
48	с этой	4	5
49	с его	2	5
50	тем самым	3	5
51	в своей	4	4
52	еще не	1	4
53	столь же	2	4
54	но не	3	4
55	конечном счете	1	4
56	в этой	9	4
57	в художественном	2	4
58	все же	5	4
59	представляет собой	2	4
60	с собой	1	4
61	для этого	8	4
62	и его	5	4
63	никогда не	5	4
64	так и	3	4
65	из них	4	4
66	в конце	8	4
67	как раз	9	4
68	в связи	1	4
69	со стороны	2	4
70	это не	6	4
71	в своих	3	4
72	например в	3	3
73	и есть	4	3
74	тем же	1	3
75	века в	1	3
76	также и	2	3
77	самого себя	1	3
78	что его	3	3
79	по отношению	1	3
80	более чем	1	3
81	в самом	12	3
82	бы не	2	3
83	таким образом	13	3
84	исходя из	4	3
85	той же	4	3
86	его в	3	3
87	в душе	1	3
88	далеко не	3	3
89	несмотря на	1	3
90	в их	2	3
91	но в	2	3
92	что ему	2	3
93	дело в	1	3
94	одна из	4	3
95	в основе	3	3
96	не должен	1	3
97	в виду	2	3
98	в пределах	3	3
99	сводится к	2	3
100	один из	2	3
101	потому что	24	3
102	одно из	2	3
103	у него	6	3
104	и даже	1	3
105	с другой	2	3
106	этом как	1	3
107	и др	1	3
108	не было	3	3
109	быть это	2	3
110	да и	3	3
111	этой точки	1	3
112	жизни и	4	3
113	что в	21	3
114	а в	4	3
115	же и	1	3
116	во всяком	3	3
117	человека и	1	2
118	того же	1	2
119	не остается	1	2
120	и то	2	2
121	самом деле	12	2
122	к своей	3	2
123	от самого	1	2
124	из его	2	2
125	для своего	1	2
126	та же	3	2
127	в сущности	6	2
128	из того	1	2
129	то это	3	2
130	во мне	1	2
131	могло быть	1	2
132	нет не	1	2
133	относится к	1	2
134	общего с	1	2
135	вследствие которого	1	2
136	этой цели	2	2
137	только то	1	2
138	все эти	6	2
139	не оставляет	1	2
140	из этих	2	2
141	но без	1	2
142	тому же	3	2
143	как он	5	2
144	с чем	2	2
145	в нем	7	2
146	поскольку он	1	2
147	в нашей	2	2
148	это надо	1	2
149	подобно тому	1	2
150	на этом	3	2
151	было бы	12	2
152	несет в	3	2
153	что такое	1	2
154	как все	4	2
155	а как	2	2
156	всяком случае	3	2
157	с точки	4	2
158	мы в	3	2
159	даже в	2	2
160	на один	1	2
161	своего героя	1	2
162	виду не	1	2
163	жизни на	1	2
164	и является	2	2
165	в сознании	1	2
166	как будто	8	2
167	к тому	12	2
168	должен быть	1	2
169	своем составе	1	2
170	читателя в	2	2
171	в мире	3	2
172	в другом	1	2
173	о том	20	2
174	с одной	3	2
175	между тем	1	2
176	и только	7	2
177	что-то другое	1	2
178	хотя бы	2	2
179	от автора	1	2
180	только на	1	2
181	что не	4	2
182	так называемый	1	2
183	что для	5	2
184	для него	1	2
185	себе в	1	2
186	от читателя	1	2
187	от тех	1	2
188	тем что	3	2
189	одной стороны	3	2
190	за пределы	1	2
191	превращается в	1	2
192	не на	2	2
193	нет ничего	1	2
194	он один	1	2
195	автора в	1	2
196	тому как	2	2
197	для понимания	2	2
198	художественное произведение	1	2
199	можно было	4	2
200	это уже	1	2
201	не является	2	2
202	это как	1	2
203	которая в	1	2
204	все они	2	2
205	утверждал что	1	2
206	отношению к	1	2
207	на это	1	2
208	в искусстве	2	2
209	по поводу	4	2
210	которых не	1	1
211	этого романа	1	1
212	этой фразы	3	1
213	же как	3	1
214	от самой	1	1
215	с жизнью	1	1
216	переходит к	1	1
217	на самом	6	1
218	и казалось	1	1
219	приступать к	1	1
220	идет о	3	1
221	показать что	7	1
222	между двумя	2	1
223	к другому	1	1
224	по которым	2	1
225	на две	2	1
226	сам автор	2	1
227	мать и	2	1
228	когда это	1	1
229	каком отношении	1	1
230	от зрителя	2	1
231	и этот	3	1
232	и за	3	1
233	жизни для	2	1
234	есть не	1	1
235	событие это	1	1
236	мы не	5	1
237	превратилась в	1	1
238	вопрос о	2	1
239	нам в	2	1
240	не была	1	1
241	художественного произведения	1	1
242	на глазах	1	1
243	не вследствие	1	1
244	но даже	1	1
245	которое в	1	1
246	и он	3	1
247	его основная	1	1
248	это время	2	1
249	того не	2	1
250	ним и	1	1
251	он сам	1	1
252	на проблему	1	1
253	быть в	1	1
254	бы то	2	1
255	жизни однако	1	1
256	в чем	1	1
257	только после	5	1
258	тем как	1	1
259	но как	1	1
260	всем его	1	1
