N	2gram	Losev_Prob_1	Psycholo
1	в том	9	37
2	и в	32	32
3	и что	9	22
4	то есть	33	21
5	том что	12	21
6	потому что	16	21
7	таким образом	6	21
8	в искусстве	3	21
9	то что	42	21
10	что в	12	20
11	может быть	14	18
12	так же	9	18
13	точки зрения	3	17
14	не может	8	17
15	самом деле	6	16
16	что она	5	16
17	того чтобы	9	14
18	то же	10	13
19	в этом	19	13
20	при этом	6	13
21	для того	8	13
22	что он	7	13
23	в самом	6	12
24	заключается в	1	12
25	не только	17	12
26	по себе	15	12
27	если мы	11	12
28	так как	11	12
29	на то	8	11
30	было бы	8	11
31	с тем	5	11
32	в основе	1	11
33	и т	11	10
34	с точки	3	10
35	при помощи	13	10
36	но и	9	10
37	как и	3	10
38	и не	31	10
39	как в	4	9
40	никогда не	7	9
41	искусства и	3	9
42	тем что	7	9
43	что все	3	9
44	той же	1	8
45	что это	3	8
46	не в	4	8
47	не менее	19	8
48	т п	1	8
49	того что	7	8
50	в сущности	2	7
51	что они	3	7
52	и как	6	7
53	говорит что	1	7
54	все эти	8	7
55	ясно что	3	7
56	и его	3	7
57	как будто	3	7
58	к тому	3	7
59	можно было	3	7
60	только в	7	7
61	мы знаем	1	7
62	что для	2	7
63	а не	15	7
64	сказать что	13	7
65	что если	2	6
66	в этой	10	6
67	в художественном	1	6
68	он не	3	6
69	если бы	4	6
70	о том	11	6
71	все время	2	6
72	тот же	1	6
73	как бы	14	6
74	художественное произведение	1	6
75	же самое	9	6
76	художественном произведении	1	5
77	художественного произведения	1	5
78	на самом	6	5
79	показать что	1	5
80	и на	8	5
81	что его	3	5
82	только на	4	5
83	далеко не	5	5
84	сейчас же	3	5
85	все это	7	5
86	в то	6	5
87	есть только	8	5
88	утверждает что	1	5
89	и даже	11	5
90	до сих	3	5
91	отнюдь не	10	5
92	он говорит	1	5
93	сих пор	3	5
94	как раз	13	5
95	этом отношении	1	5
96	как на	1	5
97	ту же	1	4
98	же как	2	4
