N	4gram	Bakhtin_Pr_2	Narrotol
1	в то же время	3	3
2	той мере в какой	1	2
3	в той мере в	1	2
4	точке соприкосновения разных сознаний	1	1
5	и с точки зрения	1	1
6	одного и того же	1	1
7	в той или иной	2	1
8	и рождается в точке	1	1
9	в пределы одного сознания	2	1
10	и не может быть	1	1
11	по природе своей не	1	1
12	позицию по отношению к	1	1
13	в данном случае в	1	1
14	двух или нескольких сознаний	1	1
15	что с точки зрения	1	1
16	в точке соприкосновения разных	1	1
17	в то время как	1	1
18	рождается в точке соприкосновения	1	1
