N	4gram	Losev_Dial_2	Istorich
1	в то время как	3	3
2	о том что в	1	2
3	мы уже знаем что	1	2
4	до сих пор мы	1	2
5	все новые и новые	1	1
6	в том смысле что	3	1
7	одно и то же	4	1
8	не что иное как	3	1
9	и вместе с тем	1	1
10	и т д в	1	1
11	в том что он	1	1
12	то это значит что	1	1
13	точно так же как	1	1
14	с одной стороны и	1	1
15	и то и другое	1	1
16	можно ли сказать что	1	1
17	не потому что он	1	1
18	предстала перед нами как	1	1
19	с другой стороны эта	1	1
20	и т д все	1	1
21	есть одно и то	1	1
22	по мере того как	1	1
23	тем не менее в	1	1
24	это не значит что	2	1
25	в том что она	1	1
26	так же как и	1	1
27	и т д мы	1	1
28	а не потому что	1	1
29	есть не что иное	2	1
