N	2gram	Berdyaev_N_1	Problemy
1	и не	11	31
2	и в	16	29
3	в его	1	24
4	может быть	7	24
5	в этом	7	22
6	а не	17	22
7	в нем	5	19
8	не только	5	15
9	то что	4	15
10	и его	1	14
11	но и	3	14
12	уже не	2	13
13	как и	7	12
14	не может	16	12
15	в самом	1	10
16	этом смысле	2	10
17	в то	2	10
18	только в	1	10
19	все эти	2	9
20	с его	6	9
21	это не	4	9
22	но не	2	9
23	что в	9	8
24	по себе	1	8
25	как не	8	8
26	в том	8	8
27	что он	1	8
28	потому что	4	8
29	в своем	1	8
30	в своей	3	8
31	и на	2	7
32	за пределы	3	7
33	но в	2	7
34	в себе	2	7
35	с другими	1	7
36	том что	2	7
37	не в	6	7
38	она не	3	7
39	так и	2	7
40	прежде всего	4	7
41	мира и	2	7
42	а в	2	7
43	так же	2	6
44	менее всего	1	6
45	как в	3	6
46	что она	2	6
47	в мире	3	6
48	могут быть	2	6
49	к нему	1	6
50	этого мира	1	6
51	в конце	1	6
52	так как	1	6
53	и потому	4	6
54	не могут	1	6
55	все это	5	6
56	это и	2	5
57	должна быть	3	5
58	в зависимости	1	5
59	зависимости от	1	5
60	у него	2	5
61	с их	2	5
62	он не	8	5
63	но все	1	5
64	было бы	1	5
65	он и	1	5
66	мысли и	2	5
67	мир и	2	5
68	в сущности	1	5
69	и это	2	5
70	еще не	3	5
71	с ним	1	5
72	во всяком	1	5
73	в этой	1	4
74	перестает быть	4	4
75	не значит	3	4
76	человека в	1	4
77	должно быть	4	4
78	их в	1	4
79	в основе	3	4
80	от того	1	4
81	и с	2	4
82	он есть	1	4
83	единого духа	1	4
84	тем что	1	4
85	превращается в	1	4
86	не было	4	4
87	не на	1	4
88	но это	6	4
89	и для	4	4
90	они не	1	4
91	он может	1	3
92	почвы и	1	3
93	не во	4	3
94	я не	2	3
95	он в	1	3
96	себе и	1	3
97	и пр	3	3
98	уже в	1	3
99	и до	1	3
100	подобно тому	3	3
101	лишь на	1	3
102	этот мир	2	3
103	одна из	2	3
104	никогда не	6	3
105	как будто	2	3
106	в духе	3	3
107	оно не	1	3
108	приводит к	1	3
109	с другой	3	3
110	все в	1	3
111	в них	4	3
112	мы должны	1	3
113	бытия в	2	3
114	во времени	1	3
115	и у	1	3
116	он стремится	1	3
117	мир в	1	3
118	всяком случае	1	3
119	ни в	6	3
120	сами по	1	3
121	друг друга	1	3
122	нового времени	12	3
123	тому как	3	3
124	в мир	1	3
125	по существу	2	3
126	мире а	1	3
127	не знает	6	3
128	сказать что	3	3
129	другой стороны	2	3
130	как на	1	3
131	все что	1	3
132	лишь там	1	2
133	или к	1	2
134	и есть	10	2
135	по преимуществу	1	2
136	оно может	1	2
137	на западе	1	2
138	мы уже	1	2
139	в которой	1	2
140	вопрос о	3	2
141	на себя	1	2
142	разобраться в	1	2
143	в ней	5	2
144	то он	1	2
145	тоже не	1	2
146	идеями в	1	2
147	в истории	3	2
148	в той	1	2
149	с этим	2	2
150	и нет	1	2
151	и к	5	2
152	мира но	1	2
153	в россии	3	2
154	в жизни	5	2
155	в котором	1	2
156	бы к	1	2
157	ее он	1	2
158	но он	1	2
159	героя но	1	2
160	мира не	1	2
161	мысли в	2	2
162	жизни не	3	2
163	к себе	1	2
164	во все	1	2
165	и вполне	1	2
166	воля к	6	2
167	для себя	1	2
168	и что	2	2
169	слова а	1	2
170	то они	1	2
171	и во	1	2
172	нового типа	2	2
173	как например	1	2
174	хотя бы	2	2
175	же и	1	2
176	к идее	1	2
177	конечно не	3	2
178	в большинстве	1	2
179	человеческого духа	1	2
180	большинстве случаев	1	2
181	и даже	2	2
182	до сих	1	2
183	все время	2	2
184	себя и	1	2
185	социальной жизни	1	2
186	к более	2	2
187	нет ни	1	2
188	сих пор	1	2
189	в смысле	2	2
190	можно было	2	2
191	и от	2	2
192	бы он	1	2
193	не есть	3	2
194	жизни а	1	2
195	есть и	1	2
196	жизни и	8	2
197	с идеями	1	1
198	смысле слова	3	1
199	от этой	1	1
200	же как	2	1
201	становится в	1	1
202	века но	2	1
203	также что	1	1
204	можно лишь	1	1
205	духа в	2	1
206	из всех	1	1
207	который в	2	1
208	со всех	4	1
209	создать не	1	1
210	мы не	2	1
211	к самосознанию	1	1
212	это делали	1	1
213	время как	2	1
214	оно есть	1	1
215	жизни как	2	1
216	во внешних	1	1
217	не способен	1	1
218	на их	1	1
219	и мира	1	1
220	во всех	3	1
221	есть своя	1	1
222	нет и	2	1
223	в свои	2	1
224	и ложь	1	1
225	нет надобности	1	1
226	глубже чем	1	1
227	хотя и	2	1
228	и нами	1	1
229	и объединения	1	1
230	от этого	1	1
231	о самом	1	1
232	мира эти	1	1
233	бы сказать	1	1
234	из этих	1	1
235	ни одна	2	1
236	в известном	1	1
237	вообще не	1	1
238	идей и	1	1
239	в статье	1	1
240	вера в	1	1
241	высшей степени	6	1
242	и еще	1	1
243	к одному	1	1
244	иная форма	1	1
245	кризис и	1	1
246	времени он	1	1
247	мысли как	1	1
