N	3gram	Vygotskiy__6	Dialekti
1	с точки зрения	10	14
2	тем не менее	1	10
3	не только не	2	7
4	что иное как	1	6
5	не может быть	2	6
6	не что иное	1	6
7	в самом деле	1	5
8	сам по себе	1	5
9	подобно тому как	1	4
10	значит что он	1	4
11	на первый план	1	4
12	то время как	5	4
13	в то время	6	4
14	возможно только как	1	3
15	как раз и	1	3
16	сами по себе	1	3
17	того что он	2	3
18	с одной стороны	1	3
19	в том что	19	3
20	есть не что	1	3
21	то что мы	2	3
22	как и в	1	3
23	на то что	4	3
24	только тогда когда	1	3
25	потому что его	1	2
26	в силу этого	1	2
27	тем что оно	2	2
28	выйти за пределы	1	2
29	он не может	1	2
30	как и все	1	2
31	из того что	3	2
32	точно так же	1	2
33	с этой точки	1	2
34	в зависимости от	5	2
35	не говорит о	1	2
36	так же как	6	2
37	есть в сущности	1	2
38	и в этом	1	2
39	не могут быть	2	2
40	с другой стороны	2	2
41	по себе совершенно	1	2
42	этой точки зрения	1	2
43	не может существовать	2	2
44	мы не можем	1	2
45	в сущности и	1	2
46	той или иной	1	2
47	к тому что	7	2
48	таким образом что	1	1
49	том что в	1	1
50	а потому что	1	1
51	мы говорим что	2	1
52	что в основе	1	1
53	потому что в	1	1
54	и той же	3	1
55	он исходит из	1	1
56	тогда когда у	1	1
57	на самом деле	1	1
58	так что в	1	1
59	внимание на то	1	1
60	то же самое	6	1
61	же как и	1	1
62	до сих пор	3	1
63	и не может	2	1
64	в лучшем случае	1	1
65	что мы имеем	1	1
66	по себе и	1	1
67	это не может	2	1
68	представить себе что	2	1
69	в этом отношении	3	1
70	как это часто	1	1
71	и что можно	1	1
72	и во всех	1	1
73	есть и в	1	1
74	само себя но	1	1
75	что он должен	1	1
76	это и значит	1	1
77	не может выйти	1	1
78	в последнее время	2	1
79	что мы не	1	1
80	в данном случае	1	1
81	привело нас к	3	1
82	на каждой ступени	7	1
83	тот факт что	1	1
84	не значит что	1	1
85	не содержит в	1	1
86	и в отношении	1	1
87	не могут не	2	1
88	было бы в	1	1
89	может и должен	1	1
90	и как бы	1	1
91	так как мы	1	1
92	эта точка зрения	1	1
93	это не значит	1	1
94	быть выражена и	1	1
95	исходит из того	1	1
96	не знает ни	1	1
97	когда мы говорим	2	1
98	но так как	1	1
99	показывает что это	1	1
100	тем самым не	1	1
101	лишь тогда когда	1	1
102	содержит в себе	1	1
103	оно не имеет	2	1
104	вопрос что такое	1	1
105	и должен быть	1	1
106	и без всяких	1	1
107	само собой напрашивающееся	1	1
108	от того что	6	1
109	том смысле что	2	1
110	заключается только в	2	1
111	все эти факты	1	1
112	связи с этим	1	1
113	которые сами по	1	1
114	и в зависимости	1	1
115	может выйти из	1	1
116	в этом вопросе	2	1
117	в этом заключается	2	1
118	возможно только в	1	1
119	в связи с	2	1
120	как одна из	1	1
121	в том смысле	2	1
122	одной и той	3	1
123	показывает что в	1	1
124	тех или иных	1	1
125	что и в	1	1
