N	2gram	Medvedev_B_1	Literetu
1	не только	1	24
2	а не	1	16
3	и не	2	12
4	прежде всего	1	11
5	и в	1	8
6	в данном	1	5
7	в своей	1	4
8	еще не	1	4
9	все же	1	4
10	так и	1	4
11	таким образом	1	3
12	далеко не	1	3
13	в области	1	3
14	всего в	1	3
15	в пределах	1	3
16	с другой	1	3
17	не было	1	3
18	что в	1	3
19	во всяком	1	3
20	должна быть	1	2
21	отнюдь не	1	2
22	и нет	1	2
23	было бы	1	2
24	всяком случае	1	2
25	как будто	1	2
26	за пределы	1	2
27	можно было	2	2
28	тем более	1	2
29	на самом	1	1
30	установка на	1	1
31	вопрос о	1	1
32	художественного произведения	1	1
33	свободная от	1	1
34	для которой	1	1
35	и более	1	1
36	значительной степени	1	1
37	как таковому	1	1
38	творчества и	1	1
39	по крайней	1	1
40	значение слова	1	1
41	литературы как	1	1
42	говорить о	1	1
43	о них	1	1
44	другой стороны	1	1
45	в эпоху	1	1
46	никак не	1	1
47	в значительной	1	1
48	и во	1	1
49	крайней мере	1	1
50	более что	1	1
51	одной из	1	1
52	было и	1	1
53	теорию литературы	1	1
54	не о	1	1
55	со всем	1	1
56	выходит за	1	1
57	до конца	1	1
58	автора по	1	1
59	и на	1	1
60	и о	1	1
61	между ними	1	1
62	совершенно не	1	1
