N	3gram	Propp_Morf_1	StatiiOP
1	в том что	3	16
2	о том что	1	11
3	в этом отношении	1	9
4	и т д	39	6
5	том что он	1	5
6	до сих пор	1	5
7	для того чтобы	2	5
8	к тому что	3	5
9	после того как	1	4
10	иметь в виду	1	3
11	с другой стороны	4	3
12	во всяком случае	2	3
13	с самого начала	1	3
14	сомневаться в том	1	2
15	с точки зрения	2	2
16	бы то ни	3	2
17	то что в	2	2
18	то ни было	2	2
19	то что он	1	2
20	более или менее	2	2
21	но все же	3	2
22	на то что	2	2
23	тем не менее	4	2
24	но кроме того	1	1
25	в обоих случаях	2	1
26	между прочим и	1	1
27	на самом деле	4	1
28	в настоящее время	3	1
29	и по существу	1	1
30	при таких условиях	1	1
31	т е не	1	1
32	что же касается	1	1
33	здесь не место	1	1
34	между тем в	1	1
35	следует сказать что	1	1
36	в наши дни	1	1
37	ответить на вопрос	1	1
38	и пр на	1	1
39	точно так же	1	1
40	на первом месте	1	1
41	с тех пор	1	1
42	одно и то	1	1
43	т е персонажей	1	1
44	в чем же	1	1
45	в данном случае	1	1
46	в высшей степени	1	1
47	и то же	1	1
48	имеет ничего общего	1	1
49	на самого себя	1	1
50	ли можно сомневаться	1	1
51	в связи с	8	1
52	будет зависеть от	1	1
53	друг к другу	2	1
54	но это еще	1	1
55	вместо того чтобы	1	1
56	вряд ли можно	1	1
57	лишь на то	1	1
58	по отношению к	4	1
59	не по плечу	1	1
60	действующих лиц в	2	1
61	в то время	3	1
62	в этом случае	8	1
63	на ряду с	1	1
64	на этом основании	1	1
65	и что следовательно	1	1
66	с того что	2	1
67	отличие от других	1	1
68	это еще не	1	1
69	дело не в	2	1
70	а затем уже	1	1
71	можно сомневаться в	1	1
72	не имеет ничего	1	1
