N	2gram	Tiupa_Anal_3	Problemy
1	и не	12	31
2	и в	18	29
3	в его	7	24
4	может быть	9	24
5	в этом	14	22
6	а не	9	22
7	в нем	2	19
8	точки зрения	3	19
9	как бы	10	19
10	для него	6	18
11	не только	22	15
12	то что	2	15
13	то же	3	14
14	не как	2	14
15	и его	13	14
16	рядом с	1	14
17	но и	13	14
18	в пределах	4	13
19	с точки	2	13
20	уже не	5	13
21	таким образом	4	12
22	как и	14	12
23	не может	2	12
24	о себе	2	12
25	в самом	5	10
26	этом смысле	1	10
27	в то	3	10
28	только в	2	10
29	в одном	4	10
30	там где	2	10
31	героя и	4	10
32	все эти	2	9
33	с его	8	9
34	все же	4	9
35	это не	2	9
36	если бы	1	9
37	себе самом	1	9
38	же время	3	9
39	одного сознания	1	9
40	но не	7	9
41	в романе	2	9
42	по отношению	7	8
43	самого героя	1	8
44	что в	9	8
45	по себе	4	8
46	в каждом	3	8
47	в том	9	8
48	что он	4	8
49	потому что	1	8
50	в своем	4	8
51	в своей	1	8
52	отношению к	7	8
53	слово о	1	7
54	и на	4	7
55	за пределы	1	7
56	и как	4	7
57	но в	2	7
58	в себе	2	7
59	входит в	2	7
60	с другими	1	7
61	том что	12	7
62	не в	6	7
63	вовсе не	1	7
64	так и	14	7
65	в форме	2	7
66	романе достоевского	1	7
67	прежде всего	5	7
68	мира и	2	7
69	а в	10	7
70	самом деле	2	6
71	как в	3	6
72	сливается с	1	6
73	в целом	3	6
74	что она	2	6
75	в мире	5	6
76	его в	3	6
77	несмотря на	2	6
78	в самой	1	6
79	могут быть	2	6
80	в конце	5	6
81	как раз	7	6
82	и потому	2	6
83	не могут	1	6
84	все это	3	6
85	на самом	1	5
86	это и	2	5
87	в зависимости	1	5
88	той же	5	5
89	зависимости от	1	5
90	у него	1	5
91	с их	3	5
92	перед нами	4	5
93	он не	6	5
94	было бы	3	5
95	он и	3	5
96	автора и	1	5
97	не становится	1	5
98	мысли и	1	5
99	мир и	1	5
100	художественного мира	1	5
101	в сущности	5	5
102	или как	1	5
103	и о	1	5
104	еще не	6	5
105	с ним	1	5
106	ничего не	3	5
107	между тем	5	5
108	именно в	3	5
109	и др	1	5
110	во всяком	2	5
111	идет о	1	4
112	и самого	6	4
113	тем как	1	4
114	бы и	2	4
115	в этой	6	4
116	так сказать	2	4
117	человека в	1	4
118	авторского замысла	1	4
119	должно быть	1	4
120	что было	1	4
121	даже в	2	4
122	как мы	1	4
123	в основе	1	4
124	личности в	3	4
125	в произведении	3	4
126	как объект	1	4
127	в литературе	1	4
128	он есть	1	4
129	тем что	2	4
130	были бы	3	4
131	что и	5	4
132	героя о	1	4
133	превращается в	1	4
134	не было	3	4
135	его как	3	4
136	другого человека	1	4
137	как предмет	1	4
138	но это	1	4
139	и для	2	4
140	в результате	5	4
141	героя в	1	4
142	они не	1	4
143	отношения к	2	3
144	например в	2	3
145	я не	1	3
146	он сам	1	3
147	в художественном	1	3
148	уже в	3	3
149	и до	1	3
150	подобно тому	3	3
151	на почве	1	3
152	лишь на	3	3
153	внешнего мира	1	3
154	далеко не	4	3
155	в их	6	3
156	одна из	2	3
157	на него	1	3
158	героев и	1	3
159	никогда не	5	3
160	как будто	1	3
161	этом отношении	3	3
162	оно не	1	3
163	в себя	2	3
164	приводит к	4	3
165	и здесь	2	3
166	все его	1	3
167	с другой	7	3
168	в них	2	3
169	художественном мире	1	3
170	мы должны	1	3
171	но с	2	3
172	но как	3	3
173	в уста	1	3
174	и у	1	3
175	всяком случае	2	3
176	само по	1	3
177	автора как	1	3
178	тому как	2	3
179	как к	2	3
180	и одновременно	1	3
181	бы в	1	3
182	о своем	2	3
183	не знает	1	3
184	сказать что	2	3
185	другой стороны	5	3
186	и внутренне	1	3
187	себе самому	2	3
188	автора в	1	3
189	таким же	1	3
190	в своих	1	3
191	как на	1	3
192	все что	1	3
193	обращено к	1	2
