N	3gram	Trubetskoy_1	Tvorches
1	в то же	10	13
2	то же время	10	12
3	в том что	7	6
4	о том что	2	5
5	но в то	1	4
6	дело в том	1	3
7	что все это	1	3
8	и все же	1	3
9	с самого начала	1	3
10	самим собой в	1	2
11	то есть не	1	2
12	на самом деле	6	2
13	точно так же	2	2
14	по крайней мере	1	2
15	в данном случае	3	2
16	тем не менее	1	2
17	перед самим собой	1	1
18	не может не	3	1
19	но она не	2	1
20	чтобы мы были	1	1
21	он на самом	1	1
22	верит в возможность	1	1
23	прежде всего на	1	1
24	и того же	1	1
25	в настоящее время	2	1
26	то же самое	1	1
27	в том же	1	1
28	может быть назван	1	1
29	по отношению к	1	1
30	до сих пор	5	1
31	и в других	1	1
32	говорить о том	1	1
33	что он не	2	1
34	только то что	1	1
35	бы то ни	4	1
36	за то что	1	1
37	заключает в себе	1	1
38	с самим собой	2	1
39	то и другое	1	1
40	вместе с тем	3	1
41	и что в	1	1
42	он как будто	1	1
43	то ни было	1	1
44	в конце концов	3	1
45	но при этом	1	1
46	и как бы	1	1
47	не только для	1	1
48	в связи с	1	1
49	и вот в	1	1
50	заключается в том	1	1
51	в свою очередь	1	1
52	отказаться от своей	1	1
53	он верит в	1	1
54	он не может	1	1
55	одного и того	1	1
56	сплошь и рядом	1	1
57	к тому что	2	1
58	к вопросу о	3	1
59	в согласии с	1	1
60	на первый взгляд	1	1
61	к тому же	1	1
