N	3gram	Voloshinov_1	DiskursI
1	в отличие от	1	12
2	в данном случае	3	6
3	в том что	4	6
4	то же время	5	5
5	по отношению к	9	4
6	в этом отношении	2	4
7	в то же	5	4
8	с одной стороны	1	4
9	так и в	2	3
10	не может быть	3	3
11	о том что	1	3
12	и может быть	2	2
13	как и всякое	1	2
14	в этом случае	1	2
15	что же касается	1	2
16	с точки зрения	10	2
17	и не может	1	2
18	в наше время	1	2
19	одно и то	1	2
20	и то же	1	2
21	но при этом	1	2
22	дело в том	1	2
23	в свое время	1	2
24	на первый взгляд	1	2
25	и прежде всего	5	2
26	том что в	1	1
27	приходит в голову	1	1
28	в чем не	2	1
29	при всей ее	1	1
30	к себе самому	1	1
31	с самых ранних	1	1
32	роль в этой	1	1
33	в самом деле	5	1
34	так и его	1	1
35	до известной степени	1	1
36	друг на друга	1	1
37	бы то ни	1	1
38	только то что	2	1
39	того и другого	1	1
40	же из этих	1	1
41	и того и	1	1
42	или по крайней	1	1
43	в этот период	3	1
44	а с другой	1	1
45	самых ранних лет	1	1
46	и между различными	1	1
47	в предыдущей главе	1	1
48	отнюдь не является	1	1
49	то что может	1	1
50	говорит об этом	1	1
51	но в такой	1	1
52	а также и	1	1
53	как будто бы	1	1
54	не могут быть	3	1
55	так и с	1	1
56	картины мира в	1	1
57	мысль о возможности	1	1
58	во всяком случае	3	1
59	и той же	1	1
60	ни в чем	2	1
61	все же остается	1	1
62	во внешнем мире	3	1
63	равно как и	1	1
64	упускать из виду	1	1
65	с самого начала	5	1
66	в себя и	1	1
67	в конечном счете	1	1
68	можно сказать что	3	1
69	в большинстве случаев	4	1
70	одной и той	1	1
71	тем не менее	2	1
72	в себе самом	1	1
73	все то что	2	1
74	по крайней мере	1	1
