N	4gram	Losev_Vesc_1	KulturaY
1	т д и т	5	2
2	одного и того же	1	2
3	д и т д	5	2
4	и т д и	5	2
5	заключается в том что	1	2
6	и в самом деле	1	2
7	а в том что	1	2
8	по крайней мере в	1	1
9	одно и то же	4	1
10	в том что я	1	1
11	еще и потому что	1	1
12	заключается не в том	1	1
13	не что иное как	7	1
14	нуждается в том чтобы	1	1
15	я позволю себе сделать	1	1
16	себе по крайней мере	1	1
17	и т д все	1	1
18	с этой точки зрения	1	1
19	не только потому что	1	1
20	и т д словом	1	1
21	не имеющая ничего общего	1	1
22	в том смысле что	1	1
23	в самом деле в	1	1
24	нужно для того чтобы	1	1
25	т д все это	1	1
26	и не потому что	1	1
27	свидетельствует о том что	3	1
