N	3gram	Nazirov_Tv_1	TeoriaLi
1	по отношению к	1	8
2	в отличие от	1	7
3	в то же	13	6
4	в том что	6	6
5	то же время	12	6
6	в данном случае	2	5
7	в конечном счете	4	4
8	можно сказать что	2	3
9	с другой стороны	1	3
10	тем не менее	2	3
11	в свою очередь	1	3
12	с одной стороны	1	2
13	в войне и	1	2
14	как и в	1	2
15	войне и мире	1	2
16	и того же	1	2
17	одного и того	1	2
18	в русской литературе	2	2
19	в соответствии с	3	2
20	в первой главе	1	1
21	как это имеет	1	1
22	добро и зло	1	1
23	в каждом человеке	2	1
24	бы то ни	1	1
25	по себе а	1	1
26	точно так же	2	1
27	свое я в	1	1
28	перед тем как	1	1
29	в связи с	1	1
30	и в то	2	1
31	но в то	4	1
32	в первую очередь	1	1
33	становится самим собой	1	1
34	самим собой как	1	1
35	таким образом и	1	1
36	то ни было	1	1
37	дело не в	1	1
38	человека и его	2	1
39	это имеет место	1	1
40	же время они	1	1
41	имеем в виду	1	1
42	не менее чем	1	1
43	что он не	1	1
44	о том что	5	1
45	в настоящее время	1	1
46	и как бы	1	1
47	и со всеми	1	1
48	является как бы	1	1
49	том что в	2	1
50	может быть определен	1	1
51	к вопросу о	1	1
52	мы имеем в	1	1
53	только то что	1	1
54	не могут быть	1	1
55	это уже не	2	1
56	по сути дела	3	1
57	в известном смысле	1	1
58	а на деле	1	1
59	отношений между людьми	1	1
60	то что может	1	1
61	имеет место в	1	1
62	может быть назван	1	1
63	дело в том	3	1
64	ту или иную	1	1
65	в отношении к	1	1
66	в одной из	2	1
67	к тому же	1	1
68	по крайней мере	2	1
