N	2gram	Potebnia_M_1	UchenyiS
1	и в	39	14
2	а не	21	10
3	не только	21	10
4	прежде всего	4	8
5	и не	18	8
6	не может	22	7
7	в этом	15	7
8	то что	10	7
9	может быть	27	6
10	то же	6	5
11	и только	2	5
12	все это	1	5
13	хотя бы	2	5
14	перестает быть	1	5
15	с другой	7	4
16	но и	20	4
17	что такое	1	4
18	в их	2	4
19	в этой	3	4
20	то ни	3	3
21	вряд ли	1	3
22	и то	3	3
23	это не	7	3
24	было бы	12	3
25	как и	9	3
26	для этого	2	3
27	в своей	3	3
28	бы то	2	3
29	очевидно что	3	3
30	к сожалению	1	3
31	и формы	1	3
32	в то	4	3
33	все же	6	3
34	но в	9	3
35	формы в	1	3
36	пришлось бы	1	3
37	не следует	5	3
38	же время	4	3
39	в области	1	3
40	только к	1	3
41	у нас	2	3
42	другой стороны	5	3
43	для него	4	3
44	не как	1	3
45	ни было	2	3
46	что все	3	2
47	а между	3	2
48	крайней мере	2	2
49	же не	1	2
50	именно как	1	2
51	одним из	2	2
52	и с	3	2
53	а его	3	2
54	до сих	1	2
55	а как	2	2
56	это было	1	2
57	самом деле	1	2
58	противном случае	3	2
59	должна быть	3	2
60	к области	1	2
61	превращается в	1	2
62	мы не	10	2
63	является в	1	2
64	если бы	14	2
65	что мы	4	2
66	ничего не	1	2
67	не столько	1	2
68	если не	2	2
69	том что	16	2
70	ни от	1	2
71	нас в	1	2
72	с его	1	2
73	но не	8	2
74	не все	2	2
75	в его	5	2
76	по крайней	2	2
77	что и	6	2
78	по себе	10	2
79	более чем	1	2
80	сих пор	1	2
81	но это	5	2
82	этом смысле	4	2
83	в противном	3	2
84	могли бы	2	2
85	в том	26	2
86	и для	5	2
87	что он	1	2
88	в себе	13	2
89	при таком	4	2
90	в самом	3	2
91	между тем	5	2
92	только в	25	2
93	материал как	1	2
94	не в	15	2
95	для всех	5	2
96	вопроса о	2	2
97	очевидно не	1	2
98	все они	2	2
99	не есть	10	2
100	этом отношении	1	2
101	произведение а	1	2
102	их и	2	2
103	не могут	4	2
104	могут быть	9	2
105	смысле этого	1	2
106	тем что	9	2
107	что она	1	2
108	таким образом	13	2
109	даже и	2	2
110	для себя	3	1
111	и это	3	1
112	тем в	1	1
113	же как	1	1
114	человека и	1	1
115	то есть	42	1
116	в виду	2	1
117	деле есть	2	1
118	сам по	1	1
119	входит в	1	1
120	только при	2	1
121	есть язык	1	1
122	и музыкальной	1	1
123	а представления	1	1
124	наука о	1	1
125	понятие не	1	1
126	вообще мы	1	1
127	в произведении	1	1
128	или по	1	1
129	еще одно	1	1
130	что для	3	1
131	слова а	1	1
132	объясняется и	1	1
133	никогда не	4	1
134	так и	13	1
135	по его	7	1
136	одной стороны	3	1
137	той же	3	1
138	относится к	3	1
139	столько же	3	1
140	с тем	5	1
141	мы имеем	1	1
142	место и	1	1
143	со своими	1	1
144	именно к	1	1
145	творчества то	1	1
146	в словах	3	1
147	с которых	1	1
148	и даже	4	1
149	должно быть	7	1
150	случае пришлось	1	1
151	и слово	1	1
152	их образы	1	1
153	остается в	1	1
154	какой именно	1	1
155	восприятия и	3	1
156	смысле и	1	1
157	не вполне	1	1
158	или менее	1	1
159	на значение	1	1
160	стороны в	1	1
161	в г	2	1
162	о нем	1	1
163	к лицу	1	1
164	группы и	1	1
165	утверждением что	1	1
166	как на	3	1
167	приводит к	1	1
168	о том	2	1
169	нельзя свести	1	1
170	в ней	7	1
171	и потому	5	1
172	относятся к	1	1
173	в котором	1	1
174	только для	3	1
175	нужно будет	1	1
176	и что	10	1
177	тех и	2	1
178	обязательна для	1	1
179	но такое	1	1
180	все его	1	1
181	в различных	1	1
182	чем то	1	1
183	признать что	1	1
184	все в	2	1
185	в течение	2	1
186	ее к	1	1
187	он может	1	1
188	в данном	1	1
189	что же	2	1
190	не то	1	1
191	бы в	4	1
192	переходит в	1	1
193	того что	8	1
194	друг другу	3	1
195	в которых	1	1
196	какие мы	1	1
197	доказывает что	2	1
198	не без	1	1
199	их в	1	1
200	на его	1	1
201	ней не	1	1
202	говорит он	4	1
203	это значит	1	1
204	что этот	1	1
205	язык в	8	1
206	за пределы	2	1
207	на то	2	1
208	быть не	4	1
209	вытекать из	1	1
210	его как	1	1
211	она не	3	1
212	задачи и	1	1
213	нас самих	1	1
214	данное время	1	1
215	независимо от	6	1
216	его на	2	1
217	в своем	3	1
218	что с	1	1
219	но для	1	1
220	имеет свою	1	1
221	себе еще	1	1
222	что ему	1	1
223	и все	3	1
224	того как	6	1
225	вне его	1	1
226	сколько и	3	1
227	более или	1	1
228	есть литературный	1	1
229	не существует	2	1
230	которое мы	2	1
231	по мнению	3	1
232	в которой	2	1
233	о котором	3	1
234	бы ни	4	1
235	не было	4	1
236	находятся в	3	1
237	в данное	1	1
238	он в	1	1
239	тогда когда	9	1
240	с одной	3	1
241	с которыми	1	1
242	без этого	1	1
243	почему существо	2	1
244	тем более	2	1
245	в известном	1	1
246	что по	3	1
247	бы только	2	1
248	уже не	2	1
249	далеко не	1	1
250	то и	7	1
251	подобным образом	4	1
252	и необходимо	1	1
253	же в	2	1
254	химии и	1	1
255	в виде	1	1
256	теории и	2	1
257	в нем	20	1
258	связанные с	1	1
259	она строится	1	1
260	или даже	3	1
261	но если	2	1
262	он не	3	1
263	сказать что	3	1
264	одно из	3	1
265	равно как	1	1
266	природе и	1	1
267	этот процесс	1	1
268	в понятии	2	1
269	в современном	1	1
270	не для	1	1
271	несомненно что	2	1
272	есть наука	4	1
273	время не	1	1
274	может служить	1	1
275	но он	2	1
276	но что	1	1
277	у него	1	1
278	само по	4	1
279	мы можем	2	1
280	и независимо	1	1
281	это содержание	1	1
282	явлением и	1	1
283	о необходимости	1	1
284	и делает	1	1
285	что нельзя	1	1
286	что при	5	1
287	отказаться от	1	1
288	к этому	1	1
289	что в	22	1
290	от слова	1	1
291	в таком	5	1
292	все что	2	1
293	общего и	1	1
294	вполне верно	1	1
