N	2gram	Losev_Vlad_3	RusskieA
1	и в	40	29
2	том что	18	22
3	в том	18	22
4	что в	17	22
5	как бы	3	18
6	и другие	1	14
7	так как	7	13
8	может быть	8	13
9	во время	1	12
10	там же	7	12
11	в этом	16	11
12	как и	7	11
13	одна из	1	11
14	в этот	2	10
15	не только	25	10
16	и с	9	10
17	все это	1	10
18	эту теорию	1	9
19	о том	11	9
20	в некоторых	1	9
21	а в	7	9
22	его в	2	8
23	или на	1	8
24	но и	18	8
25	ее в	3	8
26	как в	1	7
27	данном случае	2	7
28	мы видели	3	7
29	представляют собой	1	7
30	мы имеем	3	6
31	мы не	2	6
32	еще не	4	6
33	и на	6	6
34	при этом	3	6
35	таким образом	11	6
36	того чтобы	3	6
37	для нас	5	6
38	для того	2	6
39	с тем	7	6
40	вместе с	7	6
41	в данном	5	6
42	этом случае	1	6
43	же в	3	6
44	но не	4	5
45	но в	4	5
46	на земле	1	5
47	это не	3	5
48	не может	14	5
49	представление о	1	5
50	потому что	11	5
51	и что	8	5
52	будто бы	1	5
53	земли и	1	5
54	к жизни	1	5
55	то что	28	5
56	с ней	1	5
57	к этому	2	5
58	же как	3	4
59	то же	4	4
60	вопрос о	4	4
61	не все	3	4
62	что по	1	4
63	уже не	9	4
64	их в	1	4
65	том же	1	4
66	в них	1	4
67	далеко не	3	4
68	в которых	1	4
69	не в	3	4
70	земле и	1	4
71	у нас	5	4
72	говорится что	1	4
73	а также	8	4
74	к нему	3	4
75	так что	14	4
76	то и	2	4
77	в виде	13	4
78	из них	2	4
79	именно в	3	4
80	а не	8	4
81	о чем	1	4
82	так же	8	4
83	как это	4	4
84	по существу	4	4
85	и все	4	4
86	в таком	3	4
87	в году	10	3
88	и о	4	3
89	в ее	1	3
90	что это	9	3
91	все эти	5	3
92	в этой	8	3
93	что она	2	3
94	и по	2	3
95	и других	1	3
96	этой силы	1	3
97	должен был	2	3
98	не всегда	1	3
99	на первый	2	3
100	в этих	2	3
101	в котором	4	3
102	в отличие	3	3
103	выше мы	2	3
104	не будем	1	3
105	но он	1	3
106	она не	2	3
107	не имеет	4	3
108	и после	1	3
109	как мы	8	3
110	во всех	1	3
111	в свете	1	3
112	а именно	12	3
113	того что	7	3
114	что здесь	3	3
115	как например	2	3
116	в качестве	3	3
117	в последний	1	3
118	за ним	1	3
119	друг друга	2	3
120	отличие от	3	3
121	тем что	5	3
122	в природе	1	3
123	что для	1	3
124	а наоборот	3	3
125	до конца	4	3
126	пишет в	1	3
127	и от	6	3
128	было бы	4	3
129	но если	5	3
130	также что	1	2
131	мы здесь	1	2
132	и то	9	2
133	тем и	1	2
134	на самом	3	2
135	это и	1	2
136	рассматривается как	1	2
137	но она	1	2
138	что иное	1	2
139	на себя	2	2
140	которое в	3	2
141	это время	2	2
142	иное как	1	2
143	не говорится	1	2
