N	3gram	Bakhtin_fo_2	Tvorches
1	в то же	4	13
2	то же время	4	12
3	в том что	3	6
4	о том что	1	5
5	но в то	1	4
6	с большой силой	1	3
7	с самого начала	1	3
8	это как бы	1	3
9	то есть не	1	2
10	на самом деле	1	2
11	и та же	2	2
12	и т п	11	2
13	в данном случае	1	2
14	не только в	5	2
15	в пространстве а	1	2
16	на протяжении всего	2	2
17	можно сказать что	1	2
18	и в то	3	2
19	человека и его	1	2
20	и выйти на	1	1
21	не может не	1	1
22	и того же	1	1
23	и наконец в	1	1
24	равно как и	2	1
25	имеем в виду	3	1
26	о жизни и	1	1
27	протяжении всего романа	2	1
28	то же самое	2	1
29	в том же	4	1
30	контакта с ним	1	1
31	пространства и времени	2	1
32	с установкой на	1	1
33	разрезе одного момента	2	1
34	до сих пор	2	1
35	сами по себе	2	1
36	что он не	1	1
37	в отличие от	1	1
38	друг на друга	2	1
39	и среди них	1	1
40	то что в	1	1
41	же самое время	1	1
42	в естественном состоянии	1	1
43	а вместе с	1	1
44	это вовсе не	1	1
45	вместе с тем	1	1
46	все более и	1	1
47	уже говорили что	1	1
48	в вечности все	1	1
49	говорили о том	1	1
50	с одной стороны	1	1
51	в конце концов	1	1
52	но при этом	1	1
53	вплоть до его	1	1
54	это имеет место	1	1
55	и как бы	1	1
56	и в их	1	1
57	в связи с	7	1
58	в действительной жизни	1	1
59	персидские письма монтескье	1	1
60	это не значит	1	1
61	мы уже говорили	3	1
62	одна и та	2	1
63	объясняется тем что	1	1
64	темы и мотивы	1	1
65	настоящим и прошлым	1	1
66	у него и	1	1
67	не был бы	1	1
68	если же в	1	1
69	в свою очередь	1	1
70	у него есть	2	1
71	это значит что	2	1
72	очень важную роль	1	1
73	более и более	1	1
74	мы имеем в	2	1
75	с другой стороны	1	1
76	одного и того	1	1
77	бы он ни	1	1
78	таким образом и	1	1
79	важную роль в	1	1
80	к тому что	1	1
81	к вопросу о	3	1
82	как и в	1	1
83	на первый взгляд	1	1
84	в основе этой	1	1
85	и т д	3	1
86	особое место в	1	1
87	в разрезе одного	2	1
