N	3gram	Tiupa_Narr_2	Formalny
1	с точки зрения	2	14
2	не может быть	2	14
3	на самом деле	2	12
4	в то же	3	7
5	то же время	3	7
6	во всяком случае	1	6
7	и т п	2	5
8	в зависимости от	1	5
9	в самом деле	1	4
10	подобно тому как	2	4
11	и не может	2	4
12	в данном случае	6	4
13	в связи с	1	4
14	в большинстве случаев	1	4
15	для того чтобы	1	4
16	по отношению к	5	3
17	то же самое	1	3
18	в этом отношении	3	3
19	в том что	8	3
20	с таким же	1	2
21	да и не	1	2
22	одним и тем	1	2
23	в этом смысле	1	2
24	и в то	1	2
25	в отличие от	5	2
26	может быть только	1	2
27	и тем же	1	2
28	так и в	1	2
29	в отвлечении от	1	2
30	не только не	2	2
31	к тому что	3	2
32	тем не менее	4	2
33	внешнего и внутреннего	1	2
34	и того же	1	1
35	хотя и не	2	1
36	невозможно да и	1	1
37	точки зрения на	1	1
38	дело здесь не	1	1
39	того что является	1	1
40	же обстоит дело	1	1
41	иметь в виду	1	1
42	и не объясняет	1	1
43	место в этой	1	1
44	в том или	1	1
45	он говорит о	1	1
46	не могло бы	1	1
47	в той мере	2	1
48	том или ином	1	1
49	здесь не в	1	1
50	а то и	2	1
51	могло бы возникнуть	1	1
52	в противном случае	1	1
53	его существования в	1	1
54	с другой как	1	1
55	с этой точки	1	1
56	до сих пор	1	1
57	и в жизни	1	1
58	и в других	1	1
59	так или иначе	1	1
60	и что в	1	1
61	так же как	2	1
62	не только в	6	1
63	с одной стороны	5	1
64	а не иначе	1	1
65	но при этом	3	1
66	всех без исключения	1	1
67	так а не	1	1
68	так и по	2	1
69	мировоззрение настроение и	1	1
70	не в том	1	1
71	и его смысла	1	1
72	возникающие в сознании	1	1
73	в таком случае	1	1
74	а не только	1	1
75	мере в какой	2	1
76	все то что	2	1
77	этой точки зрения	1	1
78	о том что	4	1
79	того или иного	3	1
80	в частности в	1	1
81	и все же	2	1
82	с той или	1	1
83	можно было бы	1	1
84	той или иной	3	1
85	героя в этом	1	1
86	можно сказать что	3	1
87	между жизнью и	1	1
88	одного и того	1	1
89	не сводится к	6	1
90	в конце жизни	1	1
91	нет никаких оснований	1	1
92	той мере в	2	1
93	находятся в отношении	1	1
94	себе и своей	1	1
95	предполагает установку на	1	1
