N	4gram	Medvedev_F_3	Myshleni
1	одного и того же	1	4
2	одной и той же	1	3
3	вместе с тем и	1	2
4	что именно потому что	1	1
5	понятно с самого начала	1	1
6	с точки зрения своей	1	1
7	как по отношению к	1	1
8	так и по отношению	1	1
9	в том числе и	1	1
10	в пределах одного и	1	1
11	только в связи с	1	1
12	и не может быть	3	1
13	в собственном смысле слова	1	1
14	с этой точки зрения	1	1
15	но с точки зрения	1	1
16	пределах одного и того	1	1
17	нет и не может	2	1
18	которые сами по себе	1	1
19	в зависимости от того	1	1
20	иначе обстоит дело с	3	1
21	и по отношению к	1	1
22	в школьном обучении и	1	1
23	один и тот же	1	1
