N	3gram	Medvedev_U_1	Dialekti
1	не может быть	4	6
2	в самом деле	2	5
3	сам по себе	1	5
4	по крайней мере	2	5
5	само по себе	1	5
6	на первый план	1	4
7	но что такое	1	4
8	и не только	1	3
9	с одной стороны	1	3
10	в том что	2	3
11	и прежде всего	1	3
12	на то что	1	3
13	это было бы	1	2
14	но даже и	2	2
15	не могут быть	2	2
16	с другой стороны	3	2
17	так или иначе	1	2
18	все что угодно	1	1
19	в их взаимоотношении	2	1
20	имеем в виду	1	1
21	то же самое	2	1
22	до сих пор	2	1
23	и в то	1	1
24	кого бы то	1	1
25	и случилось с	1	1
26	в этом отношении	2	1
27	не о чем	1	1
28	могут быть оправданы	1	1
29	в ней не	1	1
30	и в частности	2	1
31	в данном случае	1	1
32	но если нет	1	1
33	или по крайней	1	1
34	не в том	1	1
35	то что все	1	1
36	было бы равносильно	1	1
37	более или менее	1	1
38	то же время	3	1
39	самом деле есть	1	1
40	в конечном счете	4	1
41	бы то ни	3	1
42	то ни было	3	1
43	мы имеем в	1	1
44	в то же	3	1
45	тех или иных	2	1
46	это не только	1	1
47	выдвигает на первый	1	1
