N	3gram	Bakhtin_Pr_2	Poddanst
1	в то же	5	7
2	то же время	5	7
3	в отношении к	2	5
4	в том что	1	4
5	с точки зрения	8	3
6	сами по себе	1	3
7	с одной стороны	1	3
8	в том числе	1	2
9	одной стороны и	1	2
10	но и в	1	2
11	воспринимает не как	1	1
12	одна из важнейших	1	1
13	в этом мире	1	1
14	более или менее	3	1
15	в рамках этого	1	1
16	в выборе и	1	1
17	в настоящее время	2	1
18	в этом смысле	2	1
19	есть прежде всего	1	1
20	что с точки	1	1
21	и не может	4	1
22	хотя бы и	1	1
23	в отличие от	4	1
24	и необходимы и	1	1
25	в собственном смысле	1	1
26	но в отличие	1	1
27	если мы не	1	1
28	в различных формах	1	1
29	еще не решают	1	1
30	во всяком случае	1	1
31	в творчестве достоевского	2	1
32	с другой стороны	3	1
33	не может быть	4	1
34	и в формах	1	1
35	не решают вопроса	1	1
36	само по себе	1	1
37	и это ощущение	1	1
38	но в то	3	1
39	она не только	1	1
40	мы не только	1	1
41	в большинстве случаев	8	1
42	друг с другом	4	1
43	но в этом	1	1
44	он живет в	1	1
45	том числе и	1	1
46	и т д	4	1
