N	3gram	Vygotskiy__4	Otkroven
1	у него в	1	5
2	в нем нет	2	3
3	для того чтобы	19	3
4	и в этом	3	2
5	а не в	1	2
6	у него не	1	2
7	и в самой	1	2
8	не может быть	1	2
9	человеческой природы но	1	2
10	с тем что	1	2
11	до самого конца	2	2
12	человеческой природы и	1	2
13	и никогда не	1	2
14	но он еще	1	1
15	смысле этого слова	3	1
16	она и не	1	1
17	претворить его в	1	1
18	может быть он	1	1
19	в виду не	1	1
20	указывали на то	1	1
21	и он всегда	1	1
22	друг к другу	1	1
23	того чтобы сделать	1	1
24	в самом деле	7	1
25	все это было	2	1
26	и есть та	1	1
27	как бы в	1	1
28	о том как	2	1
29	этом никто не	1	1
30	и не может	1	1
31	во всяком случае	3	1
32	сам по себе	2	1
33	человек и в	1	1
34	о том что	10	1
35	то что в	3	1
36	и в самом	2	1
37	в том что	12	1
38	на то что	6	1
39	друг с другом	4	1
40	вместо того чтобы	2	1
41	а не только	1	1
42	жизнь а в	1	1
43	и в ее	1	1
