N	3gram	Nazirov_Tv_1	Freidism
1	по отношению к	1	8
2	в то же	13	4
3	можно сказать что	2	4
4	на самом деле	2	4
5	то же время	12	4
6	в данном случае	2	4
7	с самого начала	3	3
8	бы то ни	1	3
9	в конечном счете	4	3
10	в свою очередь	1	3
11	с одной стороны	1	2
12	что он сам	1	2
13	но в то	4	2
14	до сих пор	1	2
15	то ни было	1	2
16	в конце концов	1	2
17	в отличие от	1	2
18	не могут быть	1	2
19	то же самое	1	2
20	это прежде всего	1	2
21	тем не менее	2	2
22	что же касается	1	2
23	это вовсе не	1	2
24	о том что	5	1
25	и приводит к	1	1
26	том что в	2	1
27	форму и содержание	1	1
28	но при этом	1	1
29	в беседе с	1	1
30	и когда человек	1	1
31	и вот в	1	1
32	в основе этой	1	1
33	все это является	1	1
34	на этой почве	1	1
35	равно как и	1	1
36	друг на друга	1	1
37	таким образом и	1	1
38	мы все время	1	1
39	а затем с	1	1
40	хотя бы и	1	1
41	имеем в виду	1	1
42	точно такие же	1	1
43	человеческой психики это	1	1
44	он приходит к	1	1
45	бросается в глаза	1	1
46	внутренний протест против	1	1
47	в том что	6	1
48	так ли это?	1	1
49	это уже не	2	1
50	все тот же	1	1
51	является как бы	1	1
52	он хочет быть	1	1
53	и т д	1	1
54	но она не	1	1
55	ни на чем	1	1
56	и тем не	1	1
57	на самом же	1	1
58	в свою противоположность	2	1
59	для него было	1	1
60	себя с ним	1	1
61	мы имеем в	1	1
62	а может быть	1	1
63	говорить о том	1	1
64	нам кажется что	1	1
65	в глубине души	1	1
66	мысль о возможности	1	1
67	самом же деле	1	1
68	ни в какую	1	1
69	а как бы	1	1
70	и не мог	1	1
71	и все же	3	1
72	является одним из	2	1
73	только то что	1	1
74	это как бы	3	1
75	по крайней мере	2	1
76	мы никогда не	1	1
77	нет ни слова	1	1
78	не в его	1	1
79	на первый взгляд	1	1
80	каких бы то	1	1
81	человека и все	1	1
