N	3gram	Tiupa_Narr_2	EvropaiC
1	в том что	8	16
2	до сих пор	1	12
3	по отношению к	5	10
4	с точки зрения	2	8
5	а между тем	1	7
6	на самом деле	2	7
7	более или менее	1	7
8	для того чтобы	1	6
9	в самом деле	1	5
10	по сравнению с	1	5
11	к тому же	4	4
12	не может быть	2	4
13	о том что	4	4
14	начало и конец	1	4
15	тем не менее	4	4
16	и того же	1	3
17	не может не	1	3
18	одного и того	1	3
19	никогда не будет	1	3
20	так же как	2	3
21	в данном случае	6	3
22	так или иначе	1	3
23	в связи с	1	3
24	в том виде	1	2
25	и все что	1	2
26	то же время	3	2
27	с одной стороны	5	2
28	а с другой	1	2
29	во всяком случае	1	2
30	двух или нескольких	1	2
31	в то же	3	2
32	хотя и не	2	1
33	можно представить себе	1	1
34	приходится искать в	1	1
35	в данный момент	1	1
36	лишь то что	1	1
37	иметь в виду	1	1
38	то время как	1	1
39	в этом последнем	1	1
40	но при этом	3	1
41	никак не может	1	1
42	то же самое	1	1
43	но и сам	1	1
44	только по отношению	1	1
45	и не может	2	1
46	что он может	1	1
47	в зависимости от	1	1
48	точки зрения настоящего	1	1
49	и так или	1	1
50	что все эти	1	1
51	иначе говоря для	1	1
52	не совпадающей с	1	1
53	в то что	1	1
54	том или ином	1	1
55	точно так же	2	1
56	точки зрения на	1	1
57	и в жизни	1	1
58	в том или	1	1
59	в противоречие с	1	1
60	свидетельствует о том	1	1
61	и с точки	1	1
62	но в целом	1	1
63	на первый взгляд	1	1
64	состоит в том	4	1
65	не в том	1	1
66	в нем не	1	1
67	что у него	1	1
68	я не могу	1	1
69	а потому не	1	1
70	вместо того чтобы	1	1
71	все то что	2	1
72	тогда как сам	1	1
73	а в том	2	1
74	и все же	2	1
75	том виде в	1	1
76	в другом только	1	1
77	но с другой	1	1
78	именно в такой	1	1
79	в то время	1	1
80	то есть в	1	1
81	не только не	2	1
82	мысль о том	2	1
83	по его мнению	1	1
84	тем более что	1	1
85	это действительно так	1	1
86	к тому что	3	1
87	пока еще не	1	1
88	таким образом для	1	1
89	и у нас	2	1
90	и в другом	1	1
