N	2gram	Nazirov_Vr_1	Mirosoze
1	и в	8	46
2	у достоевского	4	34
3	в нем	6	22
4	у него	5	22
5	может быть	4	21
6	в этом	8	20
7	не только	9	18
8	и не	5	18
9	никогда не	2	18
10	для него	2	18
11	но и	7	15
12	не может	2	15
13	человека в	3	14
14	как и	6	13
15	не есть	1	13
16	друг друга	1	12
17	прежде всего	1	12
18	потому что	1	12
19	и он	2	11
20	не было	5	11
21	но он	3	11
22	в ней	4	11
23	но в	6	10
24	в себе	2	10
25	он не	3	10
26	достоевский был	2	9
27	он был	3	9
28	и есть	1	8
29	отношение к	2	8
30	и достоевский	2	8
31	в своем	3	8
32	человека к	1	8
33	как бы	4	8
34	но это	2	8
35	он –	1	8
36	для достоевского	1	8
37	человека и	1	7
38	в мире	2	7
39	как в	1	7
40	в этой	2	7
41	что он	4	7
42	что это	1	6
43	в бесах	10	6
44	в русской	3	6
45	он сам	2	6
46	доходит до	1	6
47	так же	4	6
48	того что	1	6
49	жизни и	1	6
50	по преимуществу	1	5
51	то же	5	5
52	я не	3	5
53	совсем не	1	5
54	в самом	1	5
55	в своей	2	5
56	в конце	3	5
57	достоевский не	3	5
58	русский народ	1	5
59	во всем	1	5
60	и его	3	5
61	и это	2	5
62	достоевского к	3	5
63	это не	4	5
64	один из	1	5
65	в его	3	5
66	то что	7	5
67	тот кто	1	5
68	и все	7	5
69	в духе	1	5
70	также и	1	4
71	достоевского –	2	4
72	с его	3	4
73	его на	2	4
74	чем у	1	4
75	петр верховенский	3	4
76	в жизни	1	4
77	человек который	1	4
78	том что	3	4
79	жизнь и	1	4
80	его отношение	1	4
81	не имеет	1	4
82	что у	3	4
83	так и	1	4
84	себя в	1	4
85	уже не	2	4
86	в свою	2	4
87	они не	1	4
88	до конца	1	4
89	т е	3	4
90	что в	7	4
91	все что	1	4
92	же как	2	3
93	это и	1	3
94	высшей степени	1	3
95	той же	1	3
96	в чем	3	3
97	достоевского не	4	3
98	как он	1	3
99	в россии	5	3
100	не будет	1	3
101	и с	6	3
102	в глубине	1	3
103	его в	3	3
104	в них	2	3
105	в высшей	1	3
106	все равно	1	3
107	всю жизнь	1	3
108	не мог	2	3
109	сам достоевский	3	3
110	того как	1	3
111	он хочет	1	3
112	по своей	1	3
113	людей и	1	3
114	достоевский в	8	3
115	достоевского о	3	3
116	было в	1	3
117	отношение достоевского	1	3
118	с ним	4	3
119	и перед	1	3
120	о том	4	3
121	не стоит	1	3
122	и во	3	3
123	и можно	1	3
124	что они	1	3
125	в том	3	3
126	но достоевский	1	3
127	и никогда	1	3
128	тем что	3	3
