N	3gram	Bakhtin_Pr_1	FransuaR
1	мы уже говорили	1	11
2	как мы уже	2	6
3	о том что	2	5
4	то же время	7	5
5	в то же	7	5
6	в самом деле	2	4
7	все то что	3	4
8	в той же	3	4
9	в большинстве случаев	2	4
10	в этом отношении	5	3
11	в первом случае	1	3
12	до сих пор	2	3
13	вполне понятно что	1	2
14	существенную роль в	1	2
15	не только с	1	2
16	с точки зрения	15	2
17	и то что	1	2
18	прямо сказать что	1	2
19	в данном случае	2	2
20	это прежде всего	1	2
21	в одной плоскости	3	2
22	во всех этих	1	2
23	почти во всех	1	2
24	можно прямо сказать	1	2
25	с другой стороны	2	2
26	то есть только	1	2
27	но и с	1	2
28	т.п все это	1	2
29	то есть в	3	2
30	нужно сказать что	1	2
31	в том что	7	2
32	и т.п все	1	2
33	конечно не в	1	2
34	мы уже отмечали	1	2
35	по отношению к	11	1
36	конечно и в	1	1
37	по этому вопросу	1	1
38	является таким образом	1	1
39	своего времени и	1	1
40	в четвертой главе	1	1
41	дело в том	1	1
42	из этих трех	1	1
43	в своем собственном	1	1
44	сводить к нему	1	1
45	и по отношению	1	1
46	осмыслены в плане	1	1
47	в нем и	1	1
48	не могут нести	1	1
49	и не только	1	1
50	точку зрения на	1	1
51	уже не могут	2	1
52	него в руках	1	1
53	в лучшем случае	2	1
54	как мы сказали	1	1
55	недопустимо сводить к	2	1
56	в первой главе	1	1
57	является одним из	1	1
58	у него в	1	1
59	между тем как	4	1
60	в себе и	1	1
61	он должен быть	1	1
62	на этот вопрос	1	1
63	во второй главе	1	1
64	говорит он здесь	1	1
65	до известной степени	1	1
66	внутренний и внешний	1	1
67	мы увидим дальше	1	1
68	только то что	2	1
69	в третьей главе	1	1
70	но в то	2	1
71	в руках и	1	1
72	но благодаря этому	1	1
73	в конце концов	4	1
74	смысле этого слова	1	1
75	до него и	1	1
76	в сущности только	2	1
77	мы видим что	1	1
78	и как бы	1	1
79	притом не только	1	1
80	все же не	1	1
81	то что он	1	1
82	а не как	3	1
83	поставить и разрешить	1	1
84	в пределах того	1	1
85	один из этих	1	1
86	друг к другу	1	1
87	они уже не	3	1
88	как бы в	2	1
89	для того чтобы	2	1
90	не может быть	3	1
91	не совпадает с	1	1
92	в зависимости от	3	1
93	в то время	2	1
94	в значительной степени	1	1
95	в индивидуальном и	1	1
96	заключается в том	2	1
97	начинается там где	1	1
98	то есть все	1	1
99	почву на которой	1	1
100	играет громадную роль	1	1
101	та или иная	1	1
102	большой и разнообразный	1	1
103	в одном из	2	1
104	и превращается в	1	1
105	не только в	1	1
106	но все же	1	1
107	и в романе	2	1
108	можно сказать что	2	1
109	к смертной казни	1	1
110	о себе самом	6	1
111	том что он	4	1
112	несмотря на их	1	1
113	что и в	1	1
114	таким образом все	2	1
115	есть все то	1	1
