N	2gram	Medvedev_V_1	FransuaR
1	и в	2	45
2	и не	1	15
3	в этом	1	14
4	и его	1	13
5	то же	1	11
6	в том	2	10
7	том что	2	7
8	потому что	1	7
9	в конце	2	7
10	все это	1	7
11	так как	1	6
12	самом деле	1	5
13	но это	1	5
14	в самом	1	4
15	в их	1	4
16	только в	1	4
17	по поводу	1	4
18	в которых	1	3
19	дело в	1	3
20	в другом	1	3
21	именно в	1	3
22	по существу	1	3
23	не будем	1	2
24	том же	1	2
25	для них	1	2
26	так в	1	2
27	другом месте	1	2
28	и т.д	1	2
29	в значительной	1	2
30	ведь это	1	2
31	и только	1	2
32	хотя бы	1	2
33	к этому	1	2
34	чем больше	1	1
35	столь же	1	1
36	время в	1	1
37	одном и	1	1
38	более чем	1	1
39	и положения	1	1
40	дело именно	1	1
41	значительной степени	1	1
42	далеко не	1	1
43	книге в	2	1
44	все то	1	1
45	тем более	1	1
46	и том	1	1
47	под влиянием	1	1
48	в частности	1	1
49	образом связаны	1	1
50	да и	1	1
51	в книге	3	1
52	этому и	1	1
53	речи и	1	1
