N	4gram	Losev_Prob_3	Vladivir
1	дело в том что	2	4
2	то это значит что	2	4
3	не имеет ничего общего	3	2
4	что бы то ни	1	2
5	на самом же деле	4	2
6	еще и потому что	1	2
7	бы то ни стало	1	2
8	как мы видели выше	1	2
9	в то время как	4	2
10	во что бы то	1	2
11	имеет ничего общего с	1	2
12	также и то что	4	2
13	они мало чем отличаются	1	1
14	и тем не менее	3	1
15	может быть и не	1	1
16	и то и другое	1	1
17	взятое само по себе	2	1
18	а то что является	1	1
19	само собой разумеется что	1	1
20	же в конце концов	1	1
21	одно и то же	3	1
22	если иметь в виду	1	1
23	имеет никакого отношения к	1	1
24	не имеют никакого отношения	2	1
25	не что иное как	4	1
26	говорит не просто о	1	1
27	но все дело в	1	1
28	дело в том и	1	1
29	точно так же и	1	1
30	говорим о том что	1	1
31	в том что вся	2	1
32	имеют никакого отношения к	2	1
33	что все такого рода	1	1
34	мы видели выше есть	1	1
35	тоже никуда не годится	1	1
36	так же как и	1	1
37	бы то ни было	3	1
38	с этой точки зрения	1	1
39	не имеющих никакого отношения	1	1
40	не говорим о том	1	1
41	в том что он	1	1
42	не имеет никакого отношения	1	1
43	то же самое время	4	1
44	том и заключается что	1	1
45	в настоящем пункте нашего	1	1
46	с начала до конца	1	1
47	все дело в том	1	1
48	ничего общего ни с	1	1
49	то более то менее	1	1
50	и в таком случае	1	1
51	заключается в том что	2	1
52	на этот раз уже	1	1
53	в том что и	1	1
54	в том и заключается	1	1
55	по существу же между	1	1
56	мы должны сказать что	2	1
57	в то же самое	4	1
