N	3gram	Medvedev_S_1	Psycholo
1	в том что	2	12
2	то же самое	1	6
3	с одной стороны	1	3
4	это и есть	1	3
5	и в этом	1	3
6	сама по себе	1	3
7	то что в	1	3
8	в конце концов	2	3
9	во всяком случае	1	3
10	должно было бы	1	2
11	о том как	1	2
12	именно в том	1	2
13	в сущности есть	1	1
14	что все это	1	1
15	истории литературы и	1	1
16	том что это	1	1
17	для этого и	1	1
18	но только в	1	1
19	и в то	1	1
20	когда мы переходим	1	1
21	по существу дела	1	1
22	а с другой	1	1
23	и никак не	1	1
24	и как только	1	1
25	по отношению к	2	1
26	не было бы	1	1
27	в то же	1	1
28	в конечном счете	1	1
29	только то что	1	1
30	и мы не	1	1
31	то же время	1	1
32	мы переходим к	1	1
33	как бы он	1	1
34	в том и	1	1
