N	2gram	Medvedev_S_1	Hudozhes
1	и в	3	28
2	том что	2	19
3	и не	1	18
4	в том	5	15
5	в этом	5	13
6	не в	3	13
7	о том	1	12
8	перед нами	1	11
9	не только	3	11
10	как и	1	11
11	в его	3	11
12	но и	2	9
13	так и	1	8
14	между тем	1	8
15	что он	1	8
16	может быть	2	8
17	по отношению	2	7
18	что она	1	7
19	в мире	1	7
20	в частности	2	7
21	с ним	1	7
22	отношению к	2	7
23	я и	1	6
24	в котором	1	6
25	то же	2	6
26	не было	1	6
27	в своей	1	6
28	в то	1	6
29	тем что	1	6
30	это не	1	6
31	а в	1	6
32	то что	2	6
33	в этой	1	5
34	что это	1	5
35	у него	1	5
36	никогда не	1	5
37	ничего не	1	5
38	и его	1	5
39	как бы	2	5
40	что в	2	5
41	а между	1	4
42	но не	1	4
43	тому что	1	4
44	же время	1	4
45	как будто	2	4
46	и о	1	4
47	в конечном	1	4
48	только в	2	4
49	не может	1	4
50	еще не	2	3
51	столь же	1	3
52	что все	1	3
53	было бы	2	3
54	в них	1	3
55	в этих	1	3
56	как только	2	3
57	же самое	1	3
58	с одной	1	3
59	для нас	3	3
60	конечном счете	1	3
61	что на	1	3
62	с другой	1	3
63	а с	1	3
64	прежде всего	1	3
65	одной стороны	1	3
66	все это	7	3
67	более чем	3	2
68	все же	1	2
69	но именно	1	2
70	же не	1	2
71	его в	1	2
72	место в	1	2
73	а вот	1	2
74	дело не	2	2
75	представляется нам	1	2
76	в строгом	1	2
77	она может	2	2
78	те же	1	2
79	том как	1	2
80	жизни он	1	2
81	только когда	1	2
82	и только	3	2
83	один из	1	2
84	именно на	1	2
85	в виде	1	2
86	вовсе не	1	2
87	в соответствующих	1	2
88	именно в	1	2
89	как же	3	2
90	еще и	1	2
91	что личность	1	2
92	в данном	1	2
93	только для	1	2
94	отнюдь не	1	2
95	хотя бы	1	2
96	между ними	1	2
97	это и	2	1
98	полагает что	1	1
99	мы не	1	1
100	в сущности	1	1
101	между собой	1	1
102	и стало	1	1
103	друг от	1	1
104	в свои	1	1
105	за пределы	2	1
106	все эти	1	1
107	вне пределов	1	1
108	но ведь	3	1
109	что без	1	1
110	же это	1	1
111	в силу	1	1
112	и заключается	2	1
113	в каждом	1	1
114	такого построения	1	1
115	характера это	1	1
116	эти два	1	1
117	даже в	1	1
118	никак не	1	1
119	стало быть	1	1
120	и более	1	1
121	в конце	2	1
122	не должна	1	1
123	стоит только	1	1
124	и какие	1	1
125	мысли в	1	1
126	в области	1	1
127	факта что	1	1
128	героя который	1	1
129	когда мы	1	1
130	ли не	1	1
131	бы он	1	1
132	от друга	1	1
133	иначе говоря	1	1
134	из путей	1	1
135	на что	1	1
136	в настоящее	1	1
137	по себе	1	1
138	образом в	1	1
139	автор не	1	1
140	настоящее время	1	1
141	и что	2	1
142	должно было	1	1
143	тотчас же	1	1
144	собой не	1	1
145	и потому	1	1
146	но как	1	1
147	не мешает	1	1
148	это же	1	1
149	без этого	1	1
150	в серьезных	1	1
151	него и	1	1
152	или даже	2	1
153	представить себе	1	1
154	ведь это	2	1
155	строгом значении	1	1
156	может служить	1	1
157	это по	1	1
158	наконец в	1	1
159	вступает в	1	1
160	теперь он	1	1
161	ни на	1	1
162	легко но	1	1
163	его собственные	1	1
164	по существу	2	1
165	его собственная	1	1
166	к которому	2	1
167	слова но	1	1
168	только тогда	1	1
169	из себя	1	1
170	бы в	1	1
171	только как	2	1
