N	2gram	Nazirov_Vr_1	VLabPisa
1	таким образом	2	27
2	в этом	8	26
3	и в	8	25
4	не только	9	22
5	может быть	4	21
6	во сне	1	21
7	и не	5	19
8	не может	2	17
9	т е	3	17
10	в его	3	15
11	в процессе	1	14
12	в письме	5	14
13	этом отношении	1	13
14	в том	3	13
15	прежде всего	1	13
16	в частности	1	12
17	все это	4	12
18	в силу	1	11
19	с другой	1	11
20	из них	2	11
21	в качестве	1	10
22	о том	4	10
23	письме к	4	10
24	то же	5	9
25	что в	7	9
26	об этом	5	9
27	для него	2	9
28	но и	7	9
29	к этому	3	9
30	в своем	3	8
31	другой стороны	1	8
32	могут быть	1	8
33	в году	18	7
34	во всех	1	7
35	он пишет	2	7
36	было бы	1	7
37	как и	6	7
38	том что	3	7
39	говорит о	1	7
40	не было	5	7
41	вместе с	2	7
42	же в	2	7
43	это и	1	6
44	в себе	2	6
45	в нем	6	6
46	это не	4	6
47	их в	2	6
48	том же	2	6
49	и его	3	6
50	в то	5	6
51	так и	1	6
52	между тем	5	6
53	у него	5	6
54	в основном	1	6
55	то что	7	6
56	одним из	3	5
57	и есть	1	5
58	в их	1	5
59	как говорит	1	5
60	все же	6	5
61	в плане	1	5
62	же время	5	5
63	связи с	3	5
64	на основе	2	5
65	работы над	1	5
66	один из	1	5
67	как бы	4	5
68	письме от	2	5
69	их и	1	4
70	с его	3	4
71	в этой	2	4
72	в самом	1	4
73	в целом	1	4
74	в них	2	4
75	одна из	2	4
76	никогда не	2	4
77	в ее	1	4
78	что он	4	4
79	в нашей	2	4
80	в одном	1	4
81	как раз	2	4
82	в связи	3	4
83	в романе	6	4
84	равно как	1	4
85	в своей	2	4
86	человека и	1	3
87	в котором	6	3
88	и он	2	3
89	но как	2	3
90	в наброске	1	3
91	что они	1	3
92	с этим	1	3
93	мая года	2	3
94	и как	3	3
95	при создании	2	3
96	всех этих	1	3
97	говорить не	1	3
98	его в	3	3
99	далеко не	3	3
100	во время	2	3
101	точки зрения	2	3
102	и ее	2	3
103	в дневнике	4	3
104	одном из	1	3
105	у тургенева	11	3
106	а вот	1	3
107	как о	1	3
108	в другую	1	3
109	том как	1	3
110	в виду	4	3
111	вслед за	1	3
112	того что	1	3
113	и образы	2	3
114	п в	2	3
115	и их	1	3
116	в конце	3	3
117	что пишет	1	3
118	именно в	1	3
119	мы знаем	2	3
120	него в	1	3
121	так же	4	3
122	этого типа	1	3
123	от мая	1	3
124	и от	1	3
125	бы в	1	3
126	только что	1	3
127	жизни и	1	3
128	как на	1	3
129	как известно	1	2
130	также что	1	2
131	также и	1	2
132	н ф	1	2
133	и этот	1	2
134	уже по	1	2
135	по его	1	2
136	же как	2	2
137	говорить о	1	2
138	разобраться в	1	2
139	в ней	4	2
140	еще не	2	2
141	тургенева и	18	2
142	в чем	3	2
143	но не	1	2
144	если в	1	2
145	и достоевский	2	2
146	отнюдь не	2	2
147	хотя и	1	2
148	но в	6	2
149	с нею	2	2
150	как он	1	2
151	этот процесс	1	2
152	после этого	2	2
153	он не	3	2
154	что ни	1	2
155	человека в	3	2
156	тургенев писал	1	2
157	заключается в	1	2
158	в жизни	1	2
159	только о	1	2
160	достоевского и	7	2
161	не всегда	1	2
162	он и	1	2
163	года и	1	2
164	художник как	1	2
165	всяком случае	1	2
166	по крайней	1	2
167	не менее	2	2
168	только не	1	2
169	внутреннюю логику	1	2
170	от апреля	1	2
171	ли это	1	2
172	от того	1	2
173	ли не	1	2
174	отличается от	1	2
175	на это	2	2
176	роль в	1	2
177	он сам	2	2
178	и даже	6	2
179	во всяком	1	2
180	по воспоминаниям	1	2
181	от них	1	2
182	во всей	1	2
183	крайней мере	1	2
184	конце концов	1	2
185	но с	1	2
186	апреля года	3	2
187	пробивается к	1	2
188	целого ряда	1	2
189	при помощи	2	2
190	ни с	1	2
191	к ним	2	2
192	в особенности	1	2
193	до сих	1	2
194	марта года	3	2
195	что для	1	2
196	к сожалению	1	2
197	о чем	2	2
198	не об	1	2
199	было в	1	2
200	начиная с	2	2
201	из которых	1	2
202	сих пор	1	2
203	между прочим	1	2
204	но для	1	2
205	вне его	1	2
206	такое понимание	1	2
207	а в	2	2
208	а о	1	2
209	о своем	1	2
210	о творчестве	1	2
211	его произведений	1	2
212	в своих	4	2
213	от марта	1	2
214	они не	1	2
215	а между	1	1
216	вряд ли	1	1
217	можно говорить	1	1
218	речь идет	3	1
219	начинается с	1	1
220	достоевского в	7	1
221	этого в	1	1
222	он всегда	1	1
223	без труда	1	1
224	у гоголя	1	1
225	говорит достоевский	1	1
226	что прототипом	1	1
227	содержания в	1	1
228	именно к	1	1
229	не слишком	1	1
230	мы получаем	1	1
231	это время	1	1
232	свою очередь	1	1
233	и то	2	1
234	а другие	1	1
235	собой в	1	1
236	он был	3	1
237	не был	1	1
238	служит для	1	1
239	по своему	1	1
240	не все	1	1
241	ответ на	2	1
242	каком направлении	1	1
243	некоторые черты	1	1
244	в известном	2	1
245	в истории	4	1
246	только об	1	1
247	и дети	2	1
248	что ее	1	1
249	целый ряд	4	1
250	и наконец	1	1
251	не являются	1	1
252	ноябре года	2	1
253	эту проблему	1	1
254	роль играет	1	1
255	то в	1	1
256	писал я	1	1
257	уже в	4	1
258	за это	1	1
259	только два	1	1
260	рассказ о	1	1
261	тому же	1	1
262	на то	3	1
263	но на	1	1
264	отцов и	4	1
265	время и	2	1
266	да и	1	1
267	уже не	2	1
268	и речи	1	1
269	одно и	1	1
270	общественное положение	1	1
271	он просил	1	1
272	августа года	1	1
273	этом смысле	1	1
274	соответствии с	1	1
275	эти годы	2	1
276	писал о	1	1
277	этого не	1	1
278	писал фету	1	1
279	которой он	1	1
280	несмотря на	4	1
281	в анненкова	1	1
282	на этот	1	1
283	в этих	1	1
284	или вообще	1	1
285	пяти лет	1	1
286	отцы и	2	1
287	впечатлений и	1	1
288	о романе	2	1
289	этому же	1	1
290	на свою	1	1
291	в черновиках	3	1
292	письмо к	2	1
293	ряда других	1	1
294	но он	3	1
295	что этот	1	1
296	не должна	1	1
297	связь этого	1	1
298	что есть	3	1
299	портретность персонажей	1	1
300	вплоть до	1	1
301	что эта	1	1
302	еще до	1	1
303	писателя с	1	1
304	того как	1	1
305	даже во	1	1
306	и тургенев	4	1
307	не могло	1	1
308	не имеет	1	1
309	это то	1	1
310	к типу	2	1
311	друг друга	1	1
312	текста к	1	1
313	свою мать	1	1
314	года в	7	1
315	мы бы	1	1
316	достоевский в	8	1
317	что самые	1	1
318	в каком	1	1
319	к идиоту	1	1
320	тем это	1	1
321	один раз	1	1
322	об одном	1	1
323	время сна	1	1
324	и гончарова	1	1
325	ничего общего	1	1
326	и это	2	1
327	с ее	1	1
328	у чехова	1	1
329	же не	2	1
330	в в	2	1
331	тургенев в	4	1
332	то время	1	1
333	художником и	1	1
334	и сам	1	1
335	что у	3	1
336	же говорил	1	1
337	нельзя не	1	1
338	списан с	1	1
339	перед сном	1	1
340	но у	1	1
341	жизнь и	1	1
342	короче говоря	1	1
343	о котором	1	1
344	с ним	4	1
345	писал п	1	1
346	о нем	6	1
347	году и	2	1
348	и детей	4	1
349	художественные произведения	1	1
350	и что	8	1
351	для нас	4	1
352	а также	2	1
353	июня года	1	1
354	доходит до	1	1
355	затем в	1	1
356	и во	3	1
357	в форме	1	1
358	творческой фантазии	1	1
359	романа в	1	1
360	в ту	1	1
361	в свете	1	1
362	года на	1	1
363	если это	1	1
364	в него	2	1
365	быть и	1	1
366	писал достоевскому	1	1
367	известном письме	1	1
368	и кончая	1	1
369	сложности и	1	1
370	об их	2	1
371	своем дневнике	1	1
372	в начале	6	1
373	и явно	1	1
374	его и	2	1
375	к творчеству	3	1
376	и из	1	1
377	в известной	1	1
378	для правильного	1	1
379	отношение к	2	1
380	каждый из	1	1
381	и никогда	1	1
382	тем что	3	1
383	ф м	1	1
384	десять лет	1	1
385	художником в	1	1
386	анекдота о	1	1
387	о своей	1	1
388	так не	1	1
389	все основания	1	1
390	что тот	1	1
391	в свою	2	1
392	как же	2	1
393	труд и	1	1
394	в соответствии	1	1
395	целым рядом	1	1
396	и самый	1	1
397	обычно не	1	1
398	что из	1	1
399	деталей и	2	1
400	нет ничего	1	1
401	в духе	1	1
402	в ноябре	2	1
403	как в	1	1
404	и самые	1	1
405	тургенев не	4	1
406	в той	2	1
407	некоторых его	1	1
408	бы его	1	1
409	ли эта	1	1
410	я с	1	1
411	может идти	1	1
412	у которого	1	1
413	еще к	1	1
414	еще раз	1	1
415	февраля года	4	1
416	но это	2	1
417	романа с	1	1
418	и общим	1	1
419	нем можно	1	1
420	я всегда	1	1
421	это как	1	1
422	романа и	1	1
423	ее и	1	1
424	у некоторых	1	1
425	и все	7	1
426	о достоевском	2	1
427	у достоевского	4	1
428	еще более	1	1
429	потому что	1	1
430	которых он	1	1
431	хотя в	1	1
432	сходятся в	1	1
433	но вот	1	1
434	мертвые души	1	1
435	еще в	1	1
436	а н	2	1
437	личность и	2	1
438	это в	2	1
439	по которой	1	1
440	к этой	1	1
441	это было	1	1
442	же на	1	1
443	к страхову	1	1
444	в таком	1	1
445	образа его	1	1
