N	3gram	Vygotskiy__5	VelikijI
1	то что мы	2	3
2	к тому что	6	3
3	том что он	1	2
4	вместо того чтобы	1	2
5	в нем нет	1	2
6	никогда еще не	1	2
7	в том что	14	2
8	и т д	3	2
9	и есть то	1	1
10	чтобы сделать их	1	1
11	людей все это	1	1
12	есть одна из	2	1
13	по крайней мере	1	1
14	вместе с тем	3	1
15	в своей сущности	1	1
16	что он был	1	1
17	того что есть	1	1
18	все равно не	1	1
19	в конце концов	2	1
20	в последних словах	1	1
21	потому что оно	1	1
22	и в этом	1	1
23	не могут быть	1	1
24	ни для чего	1	1
25	с такой силой	2	1
26	он говорит что	2	1
27	с другой стороны	5	1
28	как бы в	2	1
29	по сравнению с	4	1
30	жизни и потому	1	1
31	после того как	1	1
32	мы видим что	3	1
33	и что в	3	1
34	в жизни и	1	1
