N	3gram	Propp_Morf_1	Stilisti
1	для того чтобы	2	7
2	с точки зрения	2	5
3	и то же	1	4
4	одно и то	1	4
5	с самого начала	1	4
6	на самом деле	4	3
7	в этом случае	8	3
8	которое может быть	2	3
9	но все же	3	3
10	но об этом	1	2
11	ни к чему	2	2
12	тех случаях когда	2	2
13	как мы увидим	4	2
14	в этом отношении	1	2
15	на первый взгляд	3	2
16	не может быть	9	2
17	в тех случаях	2	2
18	к чему не	2	2
19	связи с этим	4	2
20	в точном смысле	1	2
21	о том что	1	2
22	мы будем говорить	1	2
23	можно сказать что	1	2
24	в связи с	8	2
25	к тому что	3	2
26	мы видим что	9	2
27	тех или иных	1	2
28	дает нам возможность	1	1
29	в форме диалога	1	1
30	до наших дней	2	1
31	нужно помнить что	1	1
32	мы должны будем	1	1
33	двух точек зрения	1	1
34	более сложный случай	1	1
35	хотя бы только	1	1
36	по отношению к	4	1
37	более или менее	2	1
38	для наших целей	1	1
39	можно говорить лишь	1	1
40	то что же	1	1
41	это дает нам	1	1
42	до сих пор	1	1
43	если же он	1	1
44	это будет видно	1	1
45	независимо от того	3	1
46	в собственном смысле	3	1
47	как таковое не	1	1
48	не задаваясь вопросом	1	1
49	в наши дни	1	1
50	в большинстве случаев	3	1
51	мы увидим дальше	1	1
52	с другими формами	1	1
53	в качестве примера	1	1
54	и ни к	1	1
55	тем не менее	4	1
56	иметь в виду	1	1
57	собственном смысле слова	3	1
58	но там оно	1	1
59	образом мы приходим	2	1
60	это еще не	1	1
61	бросается в глаза	1	1
62	мы не можем	1	1
63	таким образом мы	5	1
64	то для того	1	1
65	мы увидим ниже	5	1
66	но то что	1	1
67	между тем в	1	1
68	как же быть	1	1
69	мы имеем в	1	1
70	с другой стороны	4	1
71	мы приходим к	2	1
72	том что такое	1	1
73	в том что	3	1
74	как и в	2	1
75	мы увидим что	1	1
76	задаваясь вопросом о	1	1
