N	2gram	Vinokur_St_3	NovoeSre
1	а не	5	17
2	и в	25	16
3	не может	7	16
4	и не	10	11
5	в эпоху	1	9
6	что в	19	9
7	в том	20	8
8	жизни и	1	8
9	он не	5	8
10	в этом	24	7
11	может быть	19	7
12	как и	4	7
13	это есть	4	7
14	с его	3	6
15	не в	6	6
16	ни в	5	6
17	никогда не	2	6
18	лишь в	4	6
19	но это	4	6
20	не знает	1	6
21	должен быть	2	5
22	с ее	2	5
23	в ней	4	5
24	истории в	1	5
25	и к	4	5
26	не только	12	5
27	в жизни	4	5
28	xix века	4	5
29	все это	8	5
30	в нем	1	5
31	не во	1	4
32	о том	8	4
33	наше время	1	4
34	в них	5	4
35	то что	12	4
36	это не	7	4
37	прежде всего	10	4
38	не было	4	4
39	должно быть	1	4
40	истории к	1	4
41	не менее	2	4
42	и для	4	4
43	не имеет	2	4
44	и все	1	4
45	потому что	5	4
46	с другой	5	3
47	смысле слова	1	3
48	в ее	1	3
49	должна быть	1	3
50	вопрос о	1	3
51	исторической эпохи	2	3
52	еще не	2	3
53	во всех	2	3
54	за пределы	1	3
55	в истории	1	3
56	наряду с	1	3
57	как в	6	3
58	конечно не	1	3
59	перейти к	1	3
60	но и	9	3
61	это было	8	3
62	к власти	1	3
63	и пр	13	3
64	не означает	1	3
65	с тем	4	3
66	бога и	1	3
67	в своей	4	3
68	к жизни	1	3
69	тому как	1	3
70	в россии	6	3
71	история в	2	3
72	что такое	7	3
73	в наше	1	3
74	в духе	2	3
75	к тому	2	3
76	сказать что	4	3
77	и это	5	2
78	связана с	4	2
79	не человек	1	2
80	время как	4	2
81	можно было	1	2
82	так и	5	2
83	времени и	2	2
84	мы не	2	2
85	и с	4	2
86	для этого	2	2
87	стремление к	1	2
88	еще до	1	2
89	и должно	1	2
90	вот почему	1	2
91	и что	3	2
92	и на	6	2
93	быть в	1	2
94	времени в	1	2
95	должно было	1	2
96	на протяжении	4	2
97	но не	2	2
98	в новом	2	2
99	образ мыслей	1	2
100	века и	1	2
101	все время	2	2
102	в центре	4	2
103	с этим	7	2
104	но в	5	2
105	духа в	1	2
106	который в	1	2
107	в обществе	1	2
108	все эти	3	2
109	с одной	2	2
110	думать что	1	2
111	есть в	2	2
112	уже не	3	2
113	в употреблении	1	2
114	вернуться к	1	2
115	это связано	3	2
116	не к	1	2
117	том чтобы	2	2
118	у него	9	2
119	что она	1	2
120	что все	3	2
121	нет и	2	2
122	связаны с	1	2
123	этом смысле	4	2
124	к более	1	2
125	но я	1	2
126	том что	15	2
127	вместе с	2	2
128	так же	1	2
129	я уже	1	2
130	место в	6	2
131	не знал	1	2
132	одной стороны	3	2
133	такого рода	5	2
134	другой стороны	5	2
135	по существу	1	2
136	не могли	1	2
137	xviii века	1	2
138	такой же	2	2
139	но для	1	2
140	в смысле	4	2
141	в то	7	2
142	одна из	2	2
143	в мировой	3	2
144	того чтобы	1	2
