N	2gram	Vygotskiy__4	formyVre
1	и в	33	46
2	в этом	28	22
3	прежде всего	2	14
4	и т	6	14
5	вовсе не	5	13
6	и его	5	12
7	т п	3	11
8	во всех	2	11
9	только в	4	11
10	не только	7	11
11	точки зрения	6	10
12	то есть	13	10
13	в том	21	10
14	во время	6	10
15	но в	2	10
16	как бы	25	10
17	и для	3	9
18	не в	2	9
19	вместе с	8	9
20	но и	3	9
21	и не	13	9
22	мы уже	5	9
23	у него	6	9
24	в связи	1	8
25	как и	5	8
26	жизни и	4	8
27	связи с	2	8
28	смерть и	1	8
29	того чтобы	22	8
30	потому что	24	8
31	то же	9	8
32	в его	10	8
33	с точки	4	8
34	для того	23	8
35	из них	4	8
36	так и	3	7
37	в одном	3	7
38	то что	44	7
39	в них	2	7
40	всех этих	3	7
41	так сказать	1	7
42	и на	5	7
43	может быть	22	7
44	все же	5	6
45	и с	2	6
46	еще не	1	6
47	и наконец	2	6
48	при этом	2	6
49	и все	12	6
50	и во	1	6
51	здесь в	3	6
52	те же	2	6
53	его в	3	6
54	никогда не	5	6
55	и времени	1	6
56	как мы	4	6
57	в основе	3	6
58	в особенности	1	6
59	этого ряда	1	6
60	все это	13	6
61	так как	12	6
62	все эти	6	5
63	в пределах	3	5
64	но не	3	5
65	что в	21	5
66	в дальнейшем	1	5
67	в смысле	1	5
68	в то	3	5
69	с этим	5	5
70	должно быть	3	5
71	и др	1	5
72	в нем	7	5
73	он не	11	5
74	в частности	4	5
75	по существу	2	5
76	и у	1	5
77	в своем	7	5
78	в себе	6	4
79	же время	2	4
80	жизни в	1	4
81	место в	2	4
82	что они	6	4
83	же в	1	4
84	в котором	2	4
85	и их	1	4
86	тела в	1	4
87	с ним	5	4
88	так что	7	4
89	друг с	4	4
90	и было	1	4
91	с этой	4	4
92	с другом	4	4
93	как в	3	4
94	из этих	2	4
95	человека и	1	4
96	в истории	1	4
97	значение и	1	4
98	уже говорили	1	4
99	и он	3	4
100	в мире	3	4
101	также и	2	4
102	их в	3	4
103	о том	20	4
104	а не	6	4
105	уже в	2	4
106	конечно не	3	4
107	том что	22	4
108	почти все	2	3
109	и совершенно	5	3
110	во времени	1	3
111	в другом	1	3
112	таким образом	13	3
113	т д	2	3
114	в этот	1	3
115	нас это	2	3
116	не было	3	3
117	точка зрения	2	3
118	и другие	1	3
119	временем в	1	3
120	в их	2	3
121	это значит	1	3
122	в средние	1	3
123	а в	4	3
124	в это	2	3
125	на протяжении	1	3
126	средние века	1	3
127	здесь мы	3	3
128	для него	1	3
129	того что	4	3
130	мы еще	1	3
131	к тому	12	3
132	что и	3	3
133	и даже	1	3
134	жизнь и	4	3
135	в этих	1	3
136	в совершенно	1	3
137	та же	3	3
138	ее в	4	3
139	переходим к	1	3
140	что на	1	3
141	тот же	3	3
142	не на	2	3
143	новое и	1	3
144	не является	2	3
145	том как	3	3
146	тем что	3	3
147	не могли	1	3
148	в виду	2	3
149	на первый	1	3
150	на нас	4	3
151	слова и	4	3
152	себя и	1	3
153	мы будем	5	3
154	того же	1	3
155	все они	2	3
156	а также	1	3
157	целый ряд	5	3
158	в которых	3	3
159	к этому	4	3
160	что он	20	3
161	и как	5	3
162	же самое	6	3
163	не могла	1	2
164	и затем	3	2
165	и вот	6	2
166	во всяком	3	2
167	человеческой природы	2	2
168	говорить о	3	2
169	можно сказать	2	2
170	но он	6	2
171	от этого	3	2
172	не может	10	2
173	так же	13	2
174	как на	6	2
175	утверждает что	4	2
176	смысла и	4	2
177	рядом с	1	2
178	свет и	1	2
179	значение для	1	2
180	одна и	2	2
181	сих пор	3	2
182	и так	4	2
183	там где	1	2
184	в конце	8	2
185	до сих	3	2
186	романа в	1	2
187	в некоторых	1	2
188	как это	14	2
189	если в	1	2
190	по себе	9	2
191	а на	2	2
192	и есть	4	2
193	как его	1	2
194	и о	4	2
195	совсем не	1	2
196	принадлежит к	2	2
197	и только	7	2
198	не был	2	2
199	только один	1	2
200	почти всегда	2	2
201	о смерти	5	2
202	в корне	1	2
203	сами по	3	2
204	в той	3	2
205	это не	6	2
206	и к	2	2
207	после этого	6	2
208	и всегда	1	2
209	и более	1	2
210	в уста	3	2
211	дано в	1	2
212	у нас	4	2
213	и самая	1	2
214	как он	5	2
215	и самый	1	2
216	и от	2	2
217	в сущности	6	2
218	во все	3	2
219	в одной	2	2
220	один из	2	2
221	в сюжете	1	2
222	и потому	2	2
223	много в	1	2
224	мы имеем	2	2
225	что все	11	2
226	без всякого	2	2
227	лежит в	2	2
228	из самых	1	2
229	далеко не	3	2
230	равно как	1	2
231	в этой	9	2
232	и та	2	2
233	в двух	4	2
234	именно в	2	2
235	с одной	3	2
236	всего романа	2	2
237	не для	3	2
238	значение имеет	3	2
239	мы видим	6	2
240	с тем	4	2
241	она не	3	2
242	ее и	2	2
243	на этом	3	2
244	в отношении	1	2
245	с другой	2	2
246	одном из	1	2
247	смерть как	1	2
248	для чего	4	2
249	только для	1	2
250	ее к	1	2
251	о его	1	2
252	он утверждает	1	2
253	этого романа	1	2
254	тем же	1	2
255	было бы	12	2
256	все основные	1	2
257	до конца	7	2
258	в самой	6	2
259	и это	5	2
260	со своими	1	2
261	не быть	1	2
262	история о	1	2
263	ряд смерти	1	2
264	в день	1	2
265	все в	1	2
266	в заключение	1	2
267	до того	1	2
268	и до	3	2
269	и других	4	2
270	но это	1	2
271	связи и	1	1
272	меч и	1	1
273	только начало	1	1
274	и глубоко	1	1
275	его от	1	1
276	характера а	1	1
277	может не	1	1
278	так много	1	1
279	в которой	4	1
280	бы нам	1	1
281	о которых	2	1
282	по прямой	3	1
283	одна из	4	1
284	в полном	1	1
285	и ясный	1	1
286	в отдельности	1	1
287	образом и	1	1
288	когда мы	6	1
289	весь этот	1	1
290	и никак	1	1
291	и здесь	3	1
292	реальное время	1	1
293	на его	1	1
294	исходя из	4	1
295	так для	1	1
296	дыхание и	1	1
297	своих героев	1	1
298	мире в	2	1
299	вопрос о	2	1
300	это мы	1	1
301	что тут	1	1
302	конце концов	3	1
303	надо было	2	1
304	это на	1	1
305	за исключением	1	1
306	это обычно	1	1
307	из себя	1	1
308	этих вещей	1	1
309	одной стороны	3	1
