N	2gram	Nazirov_Tv_2	Russkaja
1	не может	7	22
2	и не	9	19
3	в том	8	17
4	в этом	8	17
5	и в	20	14
6	то что	3	13
7	то же	7	11
8	таким образом	10	11
9	в то	10	10
10	же время	7	10
11	но и	8	10
12	в себе	3	9
13	не только	13	9
14	том что	4	9
15	может быть	8	9
16	во всяком	2	9
17	прежде всего	8	8
18	как на	1	8
19	самом деле	2	7
20	отнюдь не	4	7
21	и если	2	7
22	к богу	1	7
23	и с	8	7
24	к тому	1	7
25	о том	5	7
26	самого себя	1	7
27	ни к	2	7
28	к которой	1	6
29	если в	1	6
30	и к	1	6
31	в россии	2	6
32	в своих	3	6
33	признать что	1	6
34	если бы	4	6
35	все это	6	6
36	и для	1	6
37	что он	6	6
38	всяком случае	2	6
39	для него	3	6
40	а между	1	5
41	и на	5	5
42	между собой	1	5
43	во имя	1	5
44	во всех	1	5
45	на то	1	5
46	в нем	3	5
47	при этом	8	5
48	он не	3	5
49	было бы	1	5
50	в своей	6	5
51	никогда не	11	5
52	потому что	7	5
53	между тем	3	5
54	а потому	1	5
55	и только	2	5
56	только в	2	5
57	или иной	1	5
58	до сих	3	5
59	сих пор	3	5
60	а в	4	5
61	жизни в	3	5
62	смотреть на	1	4
63	но не	5	4
64	себя в	2	4
65	все же	5	4
66	не в	4	4
67	в этой	5	4
68	на земле	1	4
69	его в	3	4
70	как и	6	4
71	которой он	2	4
72	в их	3	4
73	точку зрения	2	4
74	а лишь	1	4
75	ли это	1	4
76	не могут	1	4
77	приводит к	2	4
78	в мире	5	4
79	можно было	1	4
80	в его	10	4
81	чудесным образом	1	4
82	так как	3	4
83	со стороны	1	4
84	вместе с	3	4
85	он будет	1	4
86	что же	1	4
87	как бы	11	4
88	отказаться от	2	4
89	что в	7	4
90	вряд ли	1	3
91	и т	13	3
92	то в	1	3
93	говорить о	2	3
94	и ни	1	3
95	еще не	5	3
96	он сам	3	3
97	из этих	1	3
98	что они	4	3
99	во что	2	3
100	в самом	3	3
101	что это	1	3
102	главным образом	1	3
103	и по	2	3
104	в другом	1	3
105	лишь в	1	3
106	для них	1	3
107	несмотря на	1	3
108	должно быть	1	3
109	но если	2	3
110	таким же	1	3
111	знаем что	1	3
112	том чтобы	1	3
113	одна из	3	3
114	связи с	1	3
115	в сознании	1	3
116	то это	1	3
117	что оно	1	3
118	той или	1	3
119	приходит к	1	3
120	что все	1	3
121	сводится к	2	3
122	может не	1	3
123	при котором	1	3
124	что и	1	3
125	одной из	3	3
126	в большинстве	1	3
127	в виде	2	3
128	из них	2	3
129	в конце	6	3
130	друг друга	2	3
131	тем что	3	3
132	именно в	6	3
133	что для	1	3
134	не было	2	3
135	и потому	4	3
136	и как	1	3
137	не есть	1	3
138	из этого	2	3
139	от этой	2	2
140	речь идет	1	2
141	и есть	2	2
142	видеть в	1	2
143	из всех	1	2
144	на себя	1	2
145	в таком	3	2
146	по отношению	3	2
147	тогда как	3	2
148	не просто	1	2
149	с этим	1	2
150	и наконец	2	2
151	но в	4	2
152	не можем	1	2
153	все эти	4	2
154	что ничего	1	2
155	во многих	2	2
156	не к	1	2
157	и вот	1	2
158	мы уже	1	2
159	того или	1	2
160	в глазах	1	2
161	по себе	1	2
162	ведь в	1	2
163	участие в	1	2
164	и тогда	2	2
165	в этих	1	2
166	во время	1	2
167	в котором	3	2
168	место в	3	2
169	в силу	1	2
170	и более	1	2
171	их в	2	2
172	том же	2	2
173	любовь к	1	2
174	тому что	1	2
175	она не	1	2
176	только для	2	2
177	в таких	1	2
178	что с	1	2
179	для нас	1	2
180	у него	6	2
181	и является	1	2
182	как будто	1	2
183	в области	1	2
184	свое собственное	1	2
185	к себе	1	2
186	в роде	1	2
187	отличается от	1	2
188	указывает на	1	2
189	если же	1	2
190	для себя	1	2
191	и о	1	2
192	и человек	1	2
193	культуры и	1	2
194	ясно что	1	2
195	даже не	1	2
196	и должно	1	2
197	и что	2	2
198	любви к	3	2
199	от него	1	2
200	этот вопрос	3	2
201	совершенно не	1	2
202	даже если	1	2
203	так что	2	2
204	уже не	3	2
205	в начале	3	2
206	является не	1	2
207	его и	2	2
208	не так	2	2
209	ни в	1	2
210	не о	1	2
211	только с	2	2
212	и даже	5	2
213	а с	3	2
214	зависит от	2	2
215	а не	6	2
216	себя на	2	2
217	в частности	2	2
218	так же	5	2
219	в меру	1	2
220	в течение	1	2
221	или иного	1	2
222	но это	5	2
223	общественной жизни	1	2
224	остается в	1	2
225	если не	4	2
226	и от	4	2
227	в результате	1	2
228	не должен	1	2
229	с ним	3	2
230	отношении к	1	2
231	на это	1	2
232	тем самым	4	2
233	точно так	1	2
234	с новыми	1	1
235	не должны	2	1
236	в сфере	1	1
237	материальных интересов	1	1
238	должен быть	1	1
239	связи между	1	1
240	это и	1	1
241	что дает	1	1
242	на деле	1	1
243	в среду	1	1
244	ту же	1	1
245	выводом из	1	1
246	и за	1	1
247	мы не	4	1
248	же как	3	1
249	поставить себя	1	1
250	на место	1	1
251	у себя	1	1
252	не была	1	1
253	это отношение	1	1
254	событий и	1	1
255	с большим	3	1
256	они считают	1	1
257	в создании	1	1
258	он был	1	1
259	не был	1	1
260	столь же	1	1
261	что его	2	1
262	в область	3	1
263	к этому	3	1
264	отказ от	1	1
265	они имеют	2	1
266	но как	1	1
267	а только	1	1
268	точка зрения	2	1
269	есть по	1	1
270	должны были	1	1
271	в истории	2	1
272	в одной	3	1
273	общую черту	2	1
274	перед нами	1	1
275	когда он	4	1
276	не являются	1	1
277	имеет в	2	1
278	и материальными	1	1
279	христианство с	1	1
280	не быть	1	1
281	за границей	1	1
282	еще на	1	1
283	в которой	2	1
284	бы не	2	1
285	но ведь	2	1
286	тому же	2	1
287	в жертву	1	1
288	если он	5	1
289	своим собственным	1	1
290	он всегда	2	1
291	на его	4	1
292	а скорее	2	1
293	отказа от	1	1
294	от которого	1	1
295	о которой	1	1
296	эта последняя	1	1
297	же это	1	1
298	в принципе	4	1
299	к одному	1	1
300	богом если	1	1
301	этого вопроса	1	1
302	такого человека	1	1
303	так например	3	1
304	об этой	1	1
305	об этом	4	1
306	а по	1	1
307	то есть	5	1
308	себя не	1	1
309	в будущее	1	1
310	или даже	2	1
311	входит в	1	1
312	заключается в	1	1
313	с другими	2	1
314	его личности	1	1
315	это не	7	1
316	и мы	3	1
317	то все	1	1
318	в жизни	1	1
319	и рядом	1	1
320	из нее	1	1
321	человека на	1	1
322	этого слова	1	1
323	это положение	1	1
324	как видно	1	1
325	со своими	2	1
326	всегда и	1	1
327	жизни но	1	1
328	нет и	2	1
329	сильнее чем	1	1
330	еще одну	1	1
331	такой же	2	1
332	в один	1	1
333	перед собой	1	1
334	отчасти в	1	1
335	от своего	1	1
336	нас не	1	1
337	в такой	2	1
338	и без	2	1
339	древних греков	1	1
