N	3gram	Losev_Dial_2	TeoriaLi
1	в том что	6	6
2	то же время	4	6
3	в то же	3	6
4	в данном случае	2	5
5	того или иного	1	5
6	более или менее	2	4
7	с другой стороны	4	3
8	тем не менее	2	3
9	можно сказать что	3	3
10	той или иной	1	3
11	в этом смысле	1	3
12	так и его	1	2
13	с точки зрения	8	2
14	с одной стороны	1	2
15	и то же	4	2
16	так или иначе	2	2
17	одно и то	4	2
18	то что они	1	2
19	сама по себе	7	2
20	не может быть	3	2
21	точки зрения и	1	1
22	я думаю что	1	1
23	том что в	1	1
24	если он не	1	1
25	– все это	1	1
26	в той или	2	1
27	в виду не	1	1
28	он мог бы	1	1
29	это было бы	1	1
30	подобно тому как	1	1
31	со всех сторон	1	1
32	не было и	1	1
33	– независимо от	1	1
34	в таком случае	3	1
35	и в то	1	1
36	личности а не	1	1
37	или преступления –	1	1
38	бы то ни	1	1
39	в каждом человеке	1	1
40	только то что	4	1
41	точно так же	1	1
42	также что в	1	1
43	а только лишь	1	1
44	по крайней мере	9	1
45	то или иное	4	1
46	в мире без	1	1
47	может быть и	3	1
48	субъект и объект	1	1
49	как раз в	1	1
50	содержит в себе	3	1
51	и религии миф	1	1
52	и не быть	1	1
53	мы имеем не	1	1
54	не содержит в	1	1
55	не могут быть	2	1
56	и в этой	1	1
57	и как бы	1	1
58	я никогда не	1	1
59	в связи с	4	1
60	исторического бытия и	1	1
61	а в другом	1	1
62	так же как	1	1
63	субъекта и объекта	4	1
64	в то время	3	1
65	имея в виду	1	1
66	это и есть	1	1
67	а не ее	1	1
68	о том что	4	1
69	личности как это	1	1
70	чужой психики но	1	1
71	в душе моей	1	1
72	и прежде всего	2	1
73	но я никогда	1	1
74	ту или иную	1	1
75	каждой из них	1	1
76	та или иная	2	1
77	в силу своей	2	1
78	в том и	1	1
79	всем потому что	1	1
80	дело не в	1	1
81	том что он	1	1
82	на театральной сцене	1	1
83	к тому же	1	1
84	по себе а	1	1
