N	2gram	Vinokur_St_2	VeschiIm
1	т е	10	42
2	не может	2	33
3	не только	19	31
4	может быть	2	29
5	и не	9	28
6	и в	29	26
7	то что	11	24
8	и т	9	21
9	т д	6	20
10	а не	5	20
11	не просто	1	18
12	что я	2	16
13	что она	1	14
14	только в	2	14
15	по себе	3	13
16	и что	6	13
17	того что	5	13
18	и то	1	12
19	все же	6	12
20	что это	3	12
21	было бы	5	12
22	но и	19	12
23	сказать что	2	12
24	таким образом	10	11
25	с нею	3	11
26	что же	1	11
27	то же	2	10
28	есть нечто	1	10
29	в ней	7	10
30	как бы	5	10
31	что такое	2	10
32	потому что	9	10
33	бы то	2	9
34	в самом	7	9
35	то ни	2	9
36	и с	4	9
37	в том	27	9
38	еще и	3	9
39	прежде всего	5	9
40	ни было	2	9
41	в себе	2	8
42	на то	2	8
43	и это	2	8
44	ничего не	4	8
45	себя и	1	8
46	но это	3	8
47	также и	2	7
48	говорить о	1	7
49	если она	1	7
50	в этом	21	7
51	не будет	1	7
52	его в	2	7
53	с другими	1	7
54	том что	27	7
55	в то	2	7
56	что оно	1	7
57	в свете	1	7
58	и их	1	7
59	так как	2	7
60	как раз	8	7
61	и пр	8	7
62	если оно	1	7
63	е в	1	7
64	совершенно не	2	7
65	со стороны	2	6
66	что они	2	6
67	и как	2	6
68	но в	8	6
69	одно и	1	6
70	что является	1	6
71	точки зрения	5	6
72	но если	1	6
73	она не	1	6
74	отличается от	1	6
75	можно было	1	6
76	так что	3	6
77	ни с	2	6
78	для него	4	6
79	но что	1	6
80	то не	1	6
81	в результате	2	6
82	жизни и	1	6
83	что в	19	6
84	того же	2	5
85	это и	1	5
86	и до	1	5
87	и тут	1	5
88	в сущности	1	5
89	на себя	3	5
90	в чем	1	5
91	но не	3	5
92	чем же	1	5
93	вообще не	3	5
94	с тем	7	5
95	не в	4	5
96	тем не	2	5
97	в отношении	2	5
98	не менее	3	5
99	одна из	1	5
100	у нас	3	5
101	свою очередь	1	5
102	в ее	2	5
103	должны быть	1	5
104	если бы	2	5
105	еще не	1	5
106	что для	1	5
107	ни на	1	5
108	с этой	2	5
109	и для	1	5
110	а в	1	5
111	в свою	1	5
112	в и	13	4
113	мы не	1	4
114	это что	1	4
115	я не	7	4
116	в их	3	4
117	точка зрения	1	4
118	нет и	2	4
119	независимо от	1	4
120	с этим	3	4
121	в своем	9	4
122	тут не	1	4
123	на почве	2	4
124	как и	2	4
125	что значит	1	4
126	с точки	2	4
127	и более	2	4
128	что есть	1	4
129	можно ли	1	4
130	же время	1	4
131	и о	4	4
132	о том	17	4
133	с другой	4	4
134	судить о	1	4
135	что и	2	4
136	этот вопрос	2	4
137	то и	1	4
138	е не	1	4
139	из них	3	4
140	тем что	3	4
141	и даже	3	4
142	даже не	1	4
143	и потому	2	4
144	в данном	2	4
145	быть не	1	4
146	вы говорите	1	4
147	с полной	1	4
148	не существует	1	4
149	и все	1	4
150	между ними	1	4
151	оно не	3	4
152	сам по	1	3
153	самом деле	3	3
154	в чисто	2	3
155	к другому	1	3
156	бы что	1	3
157	вопрос о	6	3
158	из того	1	3
159	не то	3	3
160	более или	2	3
161	в нем	4	3
162	перестает быть	1	3
163	на этом	1	3
164	было в	1	3
165	несмотря на	2	3
166	нисколько не	1	3
167	или менее	2	3
168	в своей	7	3
169	все это	11	3
170	есть еще	2	3
171	между прочим	12	3
172	в основе	1	3
173	того чтобы	6	3
174	к ней	1	3
175	ему не	2	3
176	ни о	1	3
177	к тому	10	3
178	на это	2	3
179	без всякого	1	3
180	и сам	2	3
181	так и	9	3
182	и вообще	2	3
183	можно сказать	1	3
184	один из	1	3
185	тот же	1	3
186	что он	13	3
187	но как	1	3
188	только на	1	3
189	а это	1	3
190	в одном	6	3
191	отношение к	1	3
192	принципиально не	1	3
193	никогда не	3	3
194	а с	3	3
195	вместе с	7	3
196	что именно	2	3
197	в той	5	3
198	да и	1	3
199	бы в	1	3
200	хотя бы	3	3
201	с самим	1	3
202	это однако	1	2
203	как это	2	2
204	тем же	2	2
205	в первом	1	2
206	ту же	1	2
207	из его	2	2
208	поэтому и	1	2
209	той же	1	2
210	как мы	1	2
211	иметь никакого	1	2
212	оба эти	3	2
213	бы ни	2	2
214	конечно и	2	2
215	тогда как	2	2
216	себе и	1	2
217	тут же	1	2
218	как в	3	2
219	понимать в	1	2
220	когда он	1	2
221	я должен	1	2
222	что на	3	2
223	так или	1	2
224	выражение в	2	2
225	остановиться на	1	2
226	только один	1	2
227	есть но	1	2
228	и если	1	2
229	он не	9	2
230	для того	7	2
231	прочим и	1	2
232	говорите что	1	2
233	но все	7	2
234	а затем	2	2
235	различие между	1	2
236	об этом	6	2
237	на все	1	2
238	на этой	1	2
239	и тем	1	2
240	которая была	2	2
241	ни в	3	2
242	но уже	1	2
243	и уже	1	2
244	не мог	3	2
245	и эти	1	2
246	тому что	7	2
247	нею и	1	2
248	суждения о	2	2
249	но они	2	2
250	что ему	3	2
251	дело в	4	2
252	на него	1	2
253	но только	1	2
254	чем не	1	2
255	для всего	1	2
256	как она	1	2
257	и его	6	2
258	не потому	2	2
259	у меня	3	2
260	исходить из	1	2
261	для такого	1	2
262	данном случае	1	2
263	в в	1	2
264	с собой	1	2
265	не с	1	2
266	в виду	7	2
267	именно потому	1	2
268	но к	1	2
269	на вопрос	3	2
270	никак не	2	2
271	и во	1	2
272	это было	2	2
273	заключается в	1	2
274	во втором	1	2
275	еще более	4	2
276	что только	1	2
277	но между	1	2
278	в качестве	5	2
279	качества не	1	2
280	но совершенно	1	2
281	только к	2	2
282	относится не	1	2
283	мы можем	1	2
284	не случайно	1	2
285	свое выражение	2	2
286	о которых	2	2
287	о каком	1	2
288	в особенности	2	2
289	или иначе	1	2
290	не относится	1	2
291	не годится	1	2
