N	2gram	Propp_Morf_1	Retstnzi
1	не может	14	4
2	и в	13	3
3	один из	5	2
4	если в	5	2
5	не смог	1	1
6	о формах	2	1
7	в особенности	1	1
8	и не	12	1
9	тому что	4	1
10	значительное количество	1	1
11	не только	4	1
12	связи с	10	1
13	бы на	1	1
14	точки зрения	2	1
15	но и	4	1
16	и заставляет	1	1
17	не менее	5	1
18	с другими	1	1
19	тех же	4	1
20	может спасти	1	1
21	теми или	1	1
22	становится особенно	1	1
23	может и	1	1
24	с теми	4	1
25	в то	3	1
26	если один	1	1
27	с точки	2	1
28	и на	1	1
29	вопрос что	2	1
30	при сравнении	1	1
31	для него	1	1
32	мы видим	13	1
33	может не	1	1
34	формальных приемов	1	1
35	в выборе	1	1
36	к тому	4	1
37	а не	11	1
38	вторая половина	2	1
39	может быть	52	1
40	несмотря на	4	1
41	в его	1	1
42	то же	7	1
43	и все	1	1
44	из этих	1	1
45	можно назвать	3	1
46	если бы	2	1
47	в каждом	1	1
